latitude,longitude,Residential EUI (kWh/m2/year),Non-residential EUI (kWh/m2/year),Residential Area (ft²),Non-residential Area (ft²)
42.3555,-71.0565,,211.36646634293487,,236688.0
42.3555,-71.0565,175.36431385287668,,135344.0,
42.3555,-71.0565,,117.56594230481457,,255383.0
42.3555,-71.0565,,174.41041165781962,,134789.0
42.3555,-71.0565,,192.66975021247563,,455682.0
42.3555,-71.0565,,371.03765579913977,,406898.0
42.3555,-71.0565,,186.9107538785015,,1091885.0
42.3555,-71.0565,,161.96852497213425,,239877.0
42.3555,-71.0565,157.20022585188977,,135800.0,
42.3555,-71.0565,,150.95981303627292,,148037.0
42.3555,-71.0565,,220.7560023559615,,476238.0
42.3555,-71.0565,,232.1270369317103,,58306.0
42.3555,-71.0565,,225.0738113661166,,78608.0
42.3555,-71.0565,,252.5148687435091,,356286.0
42.3555,-71.0565,304.9989052065755,,113806.0,
42.3555,-71.0565,,6.060584656240947,,110832.0
42.3555,-71.0565,,440.2189257456005,,71844.0
42.3555,-71.0565,162.92160420857167,,296552.0,
42.3555,-71.0565,128.1550945169818,,384094.0,
42.3555,-71.0565,,142.21771148603452,,708310.0
42.3555,-71.0565,,163.59458757489455,,88203.0
42.3555,-71.0565,359.9024350429847,,54674.0,
42.3555,-71.0565,90.51093918283506,,37445.0,
42.3555,-71.0565,160.97340662108968,,75370.0,
42.3555,-71.0565,,,38640.0,
42.3555,-71.0565,,142.3065760493174,,777776.0
42.3555,-71.0565,200.53159143668887,,70831.0,
42.3555,-71.0565,202.56496125542063,,48132.0,
42.3555,-71.0565,248.42459079861734,,27566.0,
42.3555,-71.0565,,135.76631152648227,,85103.0
42.3555,-71.0565,298.5951304369761,,131932.0,
42.3555,-71.0565,174.95875489571836,,31200.0,
42.3555,-71.0565,214.24850763411885,,109493.0,
42.3555,-71.0565,123.19612487079732,,36160.0,
42.3555,-71.0565,206.38312720011706,,25030.0,
42.3555,-71.0565,,255.75734730421732,,906422.0
42.3555,-71.0565,,181.7463573018663,,157000.0
42.3555,-71.0565,,184.6902677841153,,53500.0
42.3555,-71.0565,,143.93528637323638,,138350.0
42.3555,-71.0565,,133.93153850240085,,226530.0
42.3555,-71.0565,266.9779797669702,,187656.0,
42.3555,-71.0565,252.90028501763373,,158387.0,
42.3555,-71.0565,242.0668777934308,,140990.0,
42.3555,-71.0565,,148.2148477454547,,125031.0
42.3555,-71.0565,,91.42691036732627,,102863.0
42.3555,-71.0565,,106.32496851824381,,63937.0
42.3555,-71.0565,165.42224233824606,,22833.0,
42.3555,-71.0565,131.97560897383477,,41115.0,
42.3555,-71.0565,123.6899494115906,,141620.0,
42.3555,-71.0565,89.22905604001228,,94300.0,
42.3555,-71.0565,,168.76360952100467,,143954.0
42.3555,-71.0565,198.8334713996948,,612131.0,
42.3555,-71.0565,,95.08230869045644,,149105.0
42.3555,-71.0565,,190.86891826854574,,37000.0
42.3555,-71.0565,169.90436864995743,,377239.0,
42.3555,-71.0565,,113.82688610051306,,309915.0
42.3555,-71.0565,323.629137170229,,39275.0,
42.3555,-71.0565,307.69271138621747,,36038.0,
42.3555,-71.0565,382.4586306057943,,137561.0,
42.3555,-71.0565,,293.1855283599161,,94000.0
42.3555,-71.0565,116.34841647516859,,45976.0,
42.3555,-71.0565,,153.8225347354585,,140980.0
42.3555,-71.0565,249.72366239463534,,26125.0,
42.3555,-71.0565,439.4561447578626,,212011.0,
42.3555,-71.0565,,216.4973518007598,,511226.0
42.3555,-71.0565,,220.10054728010493,,378975.0
42.3555,-71.0565,,148.30818402101315,,1185425.0
42.3555,-71.0565,117.37588614300296,,259607.0,
42.3555,-71.0565,193.89064997154563,,36294.0,
42.3555,-71.0565,205.2382323782901,,147560.0,
42.3555,-71.0565,122.15260032421094,,38080.0,
42.3555,-71.0565,,109.42607090826172,,49336.0
42.3555,-71.0565,,140.52089101639228,,349140.0
42.3555,-71.0565,,154.92647211249013,,36000.0
42.3555,-71.0565,,187.12040957818857,,99170.0
42.3555,-71.0565,147.58406969792182,,133677.0,
42.3555,-71.0565,138.97790237501638,,133677.0,
42.3555,-71.0565,114.60613551441958,,46387.0,
42.3555,-71.0565,,176.9507198798325,,578261.0
42.3555,-71.0565,,168.85094501211117,,837615.0
42.3555,-71.0565,251.0659876384239,,52701.0,
42.3555,-71.0565,,378.26122875350893,,161486.0
42.3555,-71.0565,,256.2735155848654,,40216.0
42.3555,-71.0565,125.28378668889025,,59992.0,
42.3555,-71.0565,90.26388195684112,,32080.0,
42.3555,-71.0565,,123.63401235670375,,73553.0
42.3555,-71.0565,,136.95370245474356,,92708.0
42.3555,-71.0565,,70.36010089758882,,97929.0
42.3555,-71.0565,,130.63811708109867,,116805.0
42.3555,-71.0565,,159.98782773252532,,251332.0
42.3555,-71.0565,202.2969893538463,,131933.0,
42.3555,-71.0565,237.64465897455327,,47130.0,
42.3555,-71.0565,,90.57231885149429,,36801.0
42.3555,-71.0565,,310.0094391474689,,40920.0
42.3555,-71.0565,,479.5727959719689,,125072.0
42.3555,-71.0565,,120.26643204503623,,40000.0
42.3555,-71.0565,263.21040674077375,,234459.0,
42.3555,-71.0565,107.30584003762364,,110244.0,
42.3555,-71.0565,,240.47271452029256,,63096.0
42.3555,-71.0565,158.95622113725892,,31312.0,
42.3555,-71.0565,194.1940777312235,,15936.0,
42.3555,-71.0565,,,,201900.0
42.3555,-71.0565,152.98141096534158,,34705.0,
