latitude,longitude,Residential EUI (kWh/m2/year),Non-residential EUI (kWh/m2/year),Residential Area (ft²),Non-residential Area (ft²)
37.424156,-121.9579082,,54.5798305759771,,71800.0
37.4202625,-121.9520215,,546.4292864600714,,76799.0
37.4203331,-121.9535324,,283.6258247849908,,150000.0
37.4228445,-121.9581538,,47.954533222823805,,77805.0
37.8070209,-122.4193841,,182.6689127369407,,133675.0
37.8076086,-122.4203465,,170.99576978138492,,180000.0
37.4221259,-121.9581612,,74.14023228528681,,76319.0
37.8069595,-122.4190795,,127.14261111051312,,319933.0
37.4201487,-121.9575666,,25.239228012012532,,66000.0
37.8080677,-122.4146499,,71.3008191339354,,121481.0
37.4194384,-121.9710837,,227.46854245826293,,127124.0
37.8077627,-122.4132217,,188.9787197399438,,225235.0
37.4204904,-121.9748157,,92.12318224384575,,71169.0
37.4201231,-121.9744159,,197.81244954414822,,52142.0
37.4196807,-121.974016,,147.96497422042347,,52214.0
37.8072961,-122.4129242,,155.85223297417738,,345000.0
37.8068427,-122.4170605,,232.8318784108156,,126250.0
37.8066333,-122.4164364,,173.83518293273633,,164550.0
37.806587,-122.4180126,,95.2780857453473,,249352.0
37.4202722,-121.9623973,,170.04929873093442,,105720.0
37.8065467,-122.4202367,,262.17248097478017,,68312.0
37.4211802,-121.9639302,,53.94884987567679,,187660.0
37.4204832,-121.9637525,,227.15305210811277,,182717.0
37.4275867,-121.9663296,,,,
37.4267072,-121.9652632,,31.54903501501566,,321262.0
37.4256346,-121.9638413,,34.38844816636708,,477573.0
37.8054686,-122.4168365,,139.1312444162191,,135560.0
37.806191,-122.4160276,,161.21556892673007,,260355.0
37.4235766,-121.9639008,,35.01942886666738,,83051.0
37.4217578,-121.9781103,,166.89439522943286,,166340.0
37.805354,-122.4166877,29.97158326426488,,164167.0,
37.4175167,-121.9784588,,63.41356038018149,,212863.0
37.4185808,-121.9782222,,109.79064185225451,,220761.0
37.4191383,-121.9786809,,258.7020871231284,,220761.0
37.4181601,-121.9788142,,162.47753032733067,,209212.0
37.4052287,-121.8793863,94.33161469489683,,113629.0,
37.8057323,-122.4074816,58.68120512792915,,87870.0,
37.41369,-121.8767183,,165.9479241789824,,108268.0
37.8056458,-122.4106676,100.95691204805013,,76576.0,
37.805618,-122.411296,69.40787703303447,,50212.0,
37.8055155,-122.413738,125.8806497099125,,351326.0,
37.4185183,-121.941356,,,,
37.4184459,-121.945089,,350.19428866667386,,96502.0
37.8031059,-122.4201363,216.74187055315764,,88970.0,
37.8030007,-122.4212645,116.73142955555797,,98460.0,
37.803057,-122.4210212,63.09807003003132,,217738.0,
37.4183613,-121.9468666,,1.5774517507507833,,101194.0
37.4183302,-121.9484665,,221.47422580541,,77209.0
37.418149,-121.9500663,,356.81958601982717,,96640.0
37.8038951,-122.4137187,63.72905073033164,,68062.0,
37.803934,-122.414117,65.93748318138273,,54396.0,
37.803839,-122.414563,57.73473407747866,,59325.0,
37.4054899,-121.9499774,,,,
37.4050286,-121.9427781,,725.6278053453603,,79838.0
37.4034705,-121.9457112,,165.9479241789824,,54074.0
37.4032411,-121.9472222,,235.98678191231716,,87608.0
37.4032114,-121.943578,100.32593134774982,,289052.0,
37.8055562,-122.4055121,,188.34773903964353,,152812.0
37.4024806,-121.9451335,164.68596277838176,,153782.0,
37.4026951,-121.9433394,151.75085842222535,,236048.0,
37.4018335,-121.94034,165.00145312853192,,415641.0,
37.8041508,-122.4038199,105.37377695015232,,306134.0,
37.4039815,-121.9422504,132.19045671291565,,346621.0,
37.4032859,-121.9408135,141.02418651712003,,319309.0,
37.4075569,-121.9427337,,40.698255169370206,,76690.0
37.4090619,-121.9438447,,209.80108284985417,,84035.0
37.4104899,-121.9398607,,154.59027157357676,,109243.0
37.4109808,-121.9429559,,77.92611648708869,,84049.0
37.4114638,-121.9408755,131.24398566246518,,180278.0,
37.8021712,-122.4207557,56.47277267687803,,109584.0,
37.406428,-121.9422411,126.19614006006265,,168399.0,
37.4071616,-121.9411782,114.52299710450686,,264925.0,
37.8015137,-122.4175701,138.81575406606893,,52027.0,
37.4083807,-121.9402449,136.60732161501784,,288847.0,
37.4064643,-121.9385753,137.23830231531812,,289591.0,
37.8021486,-122.4142959,254.28522222102623,,72912.0,
37.4058868,-121.9398005,122.72574620841092,,264853.0,
37.4050045,-121.9397063,138.1847733657686,,289753.0,
37.4086584,-121.9388227,138.1847733657686,,296986.0,
37.4099871,-121.9374006,149.8579163213244,,243007.0,
37.4074654,-121.9358006,151.4353680720752,,106722.0,
37.4072727,-121.9381669,134.7143795141169,,340673.0,
37.4090024,-121.9365561,133.7679084636664,,448311.0,
37.407955,-121.9376672,219.8967740546592,,93578.0,
37.412961,-121.9414893,111.05260325285514,,226849.0,
37.4030981,-121.936645,,23.34628591111159,,100024.0
37.4017832,-121.9384672,,394.9939183879962,,177103.0
37.8029046,-122.4020596,,135.02986986426703,,94111.0
37.802451,-122.4026697,,62.782579679881174,,156178.0
37.4010646,-121.9354895,,128.7200628612639,,106462.0
37.4020674,-121.9354006,,623.7244222468596,,127890.0
37.8025454,-122.4033221,,151.75085842222535,,67930.0
37.4011943,-121.9365561,,274.47660463063625,,128740.0
37.4018945,-121.9339783,,9.780200854654856,,259714.0
37.4032259,-121.9348008,,1211.7984349267517,,141998.0
37.399524,-121.934084,,10.411181554955169,,201500.0
37.4176017,-121.9537546,,768.5344929657816,,135167.0
37.4181643,-121.9531325,,227.46854245826293,,227663.0
37.4185043,-121.952377,,231.2544266600648,,236040.0
37.4172068,-121.9521993,,69.0923866828843,,125323.0
37.4165665,-121.9529547,,184.56185483784165,,116628.0
37.4181795,-121.9561986,,157.74517507507832,,137954.0
37.3987089,-121.9189498,,2215.3732387544,,141033.0
37.7994536,-122.4185214,218.63481265405855,,61657.0,
37.3986468,-121.9205551,106.95122870090309,,280512.0,
37.3999259,-121.9204218,92.43867259399589,,285844.0,
37.4006261,-121.9194978,102.84985414895107,,227424.0,
37.413565,-121.939018,150.80438737177485,,480955.0,
37.4124906,-121.9399338,152.38183912252563,,219416.0,
37.4046336,-121.9268669,,501.3141663885989,,194000.0
37.4029288,-121.9248144,119.25535235675922,,221925.0,
37.8018263,-122.4023928,,127.14261111051312,,357000.0
37.4005292,-121.9288894,,481.438274329139,,104303.0
37.801777,-122.4014635,,104.742796249852,,228617.0
37.4007061,-121.9306894,,381.1123429813892,,163034.0
37.4010803,-121.9294448,,211.37853460060495,,162840.0
37.4041751,-121.9321908,123.98770760901155,,441502.0,
37.8006833,-122.4008556,,17.03647890810846,,104344.0
37.402865,-121.9321442,118.30888130630873,,451965.0,
37.8007843,-122.4023928,,146.38752246967266,,205964.0
37.4025183,-121.930156,134.39888916396674,,411873.0,
37.4031111,-121.9295979,125.24966900961219,,389520.0,
37.4029828,-121.9268828,147.018503169973,,360392.0,
37.4038739,-121.9247112,124.30319795916171,,521151.0,
37.4047746,-121.9315218,89.28376909249434,,324610.0,
37.4148633,-121.9556209,86.75984629129307,,500000.0,
37.4124173,-121.9604422,99.37946029729935,,159276.0,
37.4122681,-121.9596374,87.70631734174356,,206932.0,
37.4124616,-121.9517549,,125.24966900961219,,64339.0
37.4119979,-121.9503579,,266.9048362270325,,65188.0
37.7982681,-122.4174152,190.87166184084478,,103000.0,
37.4113021,-121.9496219,,127.14261111051312,,80908.0
37.7985744,-122.4143623,48.27002357297397,,93126.0,
37.4105807,-121.9532658,,156.16772332432754,,141447.0
37.4119214,-121.953799,,185.82381623844225,,187780.0
37.4119869,-121.9555765,,89.28376909249434,,141429.0
37.4096885,-121.9463778,,467.8721892726823,,636145.0
37.8002032,-122.4018618,,110.10613220240467,,66028.0
37.799811,-122.4016848,,93.06965329429622,,92061.0
37.7996478,-122.4022158,,171.31126013153505,,59463.0
