latitude,longitude,Residential EUI (kWh/m2/year),Non-residential EUI (kWh/m2/year),Residential Area (ft²),Non-residential Area (ft²)
41.88736471232649,-87.653505317143,,103.48083484925138,,104849.0
41.903424405382026,-87.66940457779671,342.6225202630701,,106888.0,
41.881965330252534,-87.62679322159418,,387.1066596342422,,240076.0
41.88092403509479,-87.62493419985192,890.9447488240422,,144036.0,
41.79221307,-87.59994981,,776.1062613693854,,64028.0
41.92201051,-87.65461957,364.3913544234309,,170000.0,
41.88326409,-87.66151492,,394.3629376876958,,159626.0
41.8365795,-87.66384491,,556.8404680150264,,74495.0
41.80747487,-87.59126397,316.4368212006071,,627680.0,
41.873335,-87.65102071,,178.8830285351388,,555524.0
41.89575232,-87.638901,,198.7589205945987,,130007.0
41.87429514,-87.65017516,93.38514364444636,,83000.0,
41.77391183,-87.63872071,,309.1805431471535,,98018.0
41.89920885,-87.62650606,,235.0403108618667,,2731896.0
41.853983,-87.630083,261.54150027447986,,311326.0,
41.8682103,-87.62733,216.74187055315764,,199600.0,
42.01036185,-87.66829765,750.8670333573727,,77004.0,
41.79382847,-87.68432907,,448.62727791352273,,64960.0
41.9720897,-87.70256,256.1781643219272,,53800.0,
41.94895308,-87.77785435,,272.8991528798855,,93200.0
41.8914469,-87.61889748,,351.7717404174246,,1975361.0
41.90225377,-87.68447845,188.66322938979366,,112734.0,
41.880609,-87.639778,,290.56661248829425,,1554884.0
41.97223008,-87.6645957,241.35011786486984,,50986.0,
41.91901757,-87.74788079,,277.63150813213787,,150436.0
41.9398511,-87.65844752,325.27055100481147,,56880.0,
41.9398511,-87.65844752,244.82051171652154,,155144.0,
41.88474397,-87.63249596,,182.0379320366404,,464498.0
41.84364282,-87.61673336,433.7992314564654,,289267.0,
41.865858,-87.6195328,205.69970829790213,,1343820.0,
41.9037676,-87.63983401,245.76698276697203,,159968.0,
41.88332,-87.667592,,155.85223297417738,,263250.0
41.92382673,-87.65658512,,552.4236031129243,,127900.0
41.88321395,-87.64336601,236.30227226246734,,178336.0,
41.9393396,-87.65423,122.41025585826077,,148500.0,
41.91023785,-87.63363509,275.7385660312369,,166700.0,
41.84550365,-87.63055693,222.42069685586043,,101333.0,
41.95925122,-87.78261967,,238.8261950636686,,78111.0
41.6981819,-87.66236671,331.5803580078146,,65505.0,
41.89139925,-87.62079715,330.63388695736415,,819946.0,
41.96811845,-87.68927436,,200.33637234534945,,61042.0
41.96968174,-87.6544131,343.8844816636708,,189225.0,
41.97419798,-87.696868,,129.3510435615642,,68141.0
41.78205573,-87.63426731,,339.1521264114184,,188800.0
41.88108964,-87.62858918,,310.44250454775414,,311003.0
41.97223008,-87.6645957,314.85936944985633,,200000.0,
41.88326842,-87.63512143,246.39796346727232,,344323.0,
41.8808242,-87.72327934,295.6144580906968,,68664.0,
41.95402016,-87.6620278,265.0118941261316,,114400.0,
41.89325924,-87.62587447,598.4851942348471,,72000.0,
41.79535144,-87.59076509,312.01995629850495,,579783.0,
41.897733,-87.635684,269.4287590282338,,490568.0,
41.84526992,-87.62201708,296.2454387909971,,247000.0,
41.840909,-87.705078,,324.95506065466134,,62071.0
41.8842525,-87.63245,165.63243382883226,,63110.0,
41.8992147,-87.62541324,256.49365467207735,,108587.0,
41.96865627,-87.65524596,,220.84324510510967,,206154.0
41.87333117,-87.62422947,147.64948387027331,,385000.0,
41.74246,-87.58007,,292.4595545891952,,54000.0
41.90225377,-87.68447845,352.7182114678751,,52240.0,
41.976491,-87.654964,,937.0063399459652,,55129.0
41.88176792,-87.6467544,226.20658105766233,,114000.0,
41.89022006,-87.63488473,,198.12793989429838,,66095.0
42.00094554,-87.65816364,,205.69970829790213,,124285.0
41.94009886,-87.70193107,,159.00713647567895,,105920.0
41.73937185,-87.73003923,,181.4069513363401,,79722.0
41.8659887,-87.624587,210.74755390030464,,441181.0,
41.87630749,-87.6401831,,140.39320581681972,,539738.0
41.76263015,-87.57255287,372.27861317718487,,101200.0,
42.01036185,-87.66829765,286.1497475861921,,52000.0,
41.87510719,-87.6279746,200.65186269549963,,387025.0,
41.81098941,-87.59800845,,281.10190198378956,,147109.0
41.96092641,-87.6712754,,240.0881564642692,,76423.0
41.78921164,-87.5964353,,612.0512792913039,,103012.0
41.9494826,-87.6937,,408.87549379460296,,275000.0
42.01036185,-87.66829765,176.0436153837874,,85129.0,
41.655086,-87.544686,,307.60309139640276,,81950.0
42.00574707,-87.70855729,384.2672464828908,,360669.0,
41.73979805,-87.65349931,348.3013465657729,,67170.0,
41.77517105,-87.71389848,370.70116142643406,,74185.0,
41.827401,-87.620126,,221.7897161555601,,62750.0
41.88039405,-87.75826967,206.96166969850276,,91968.0,
41.88,-87.6548399,290.88210283844444,,110435.0,
41.87284786,-87.63364515,163.7394917279313,,563659.0,
41.71516268,-87.5337866,,436.3231542576667,,87628.0
41.75447542,-87.55737916,,146.70301281982285,,143266.0
41.80224043,-87.60332678,395.9403894384466,,64000.0,
41.86619413,-87.62121604,204.12225654715138,,1151549.0,
41.842325,-87.62715344,,0.31549035015015664,,68398.0
41.78046327,-87.6053081,227.15305210811277,,52272.0,
41.86684246,-87.72623661,,349.8787983165238,,72000.0
41.88284628,-87.63290243,,196.23499779339744,,1095104.0
41.88606221,-87.63169041,,174.46616363303662,,1191631.0
41.87269291,-87.62837598,207.27716004865295,,151865.0,
41.85862339,-87.62421069,277.00052743183755,,684299.0,
41.83790661,-87.71883999,,246.39796346727232,,132193.0
41.98474511,-87.65522225,303.5017168444507,,259996.0,
41.88737377,-87.62565442,298.138380891898,,250000.0,
41.85622477,-87.66713005,,112.94554535375606,,131200.0
41.9037528,-87.63558845,255.23169327147676,,220000.0,
41.77517105,-87.71389848,330.318396607214,,60000.0,
41.692987,-87.679776,,259.9640485237291,,63257.0
41.89042593,-87.63864217,217.37285125345795,,686958.0,
41.88425,-87.63245,263.4344423753808,,96737.0,
41.77984105,-87.71918715,,175.4126346834871,,218200.0
41.90163587,-87.62949064,156.79870402462788,,135086.0,
41.91878607,-87.68377909,,332.2113387081149,,103904.0
41.92416242,-87.64878559,,337.5746746606676,,242343.0
41.87384,-87.630698,277.00052743183755,,205348.0,
41.92132822,-87.72244339,,228.73050385886359,,92365.0
41.92390285,-87.65817716,,304.76367824505127,,68245.0
41.73856744,-87.62024724,,276.05405638138706,,71870.0
41.89234316,-87.63534055,,160.58458822642973,,60892.0
41.76400303,-87.60189552,,204.12225654715138,,115500.0
41.80363832,-87.62178136,123.98770760901155,,97465.0,
41.88529085,-87.62152084,,220.84324510510967,,3457865.0
41.87902474,-87.63734431,,169.10282768048395,,865070.0
41.92201051,-87.65461957,224.31363895676137,,196000.0,
41.89981331,-87.62141411,333.4733001087156,,177137.0,
41.87894567,-87.64445559,376.06449737898674,,353135.0,
41.78617286,-87.73238001,,186.77028728889272,,98900.0
41.89611172,-87.63720777,,199.07441094474885,,74458.0
41.79805484,-87.68983953,,285.51876688589175,,140838.0
41.9037528,-87.63558845,204.43774689730148,,80457.0,
41.88385328,-87.63167966,,320.222705402409,,638592.0
41.99090057,-87.66660744,324.6395703045112,,104500.0,
41.8831353,-87.65056,254.60071257117642,,204813.0,
41.8007869,-87.59048115,243.87404066607107,,148157.0,
41.87399385,-87.651678,118.93986200660906,,99552.0,
41.794687,-87.58046479,311.70446594835477,,180351.0,
41.93973305,-87.64000019,187.7167583393432,,475020.0,
41.9398511,-87.65844752,234.09383981141625,,81300.0,
41.84915346,-87.67089596,280.15543093333906,,69455.0,
41.80752955,-87.74863158,135.66085056456734,,88080.0,
41.90423,-87.638225,144.49458036877172,,127872.0,
41.98760277,-87.65521384,339.1521264114184,,160000.0,
41.89821936,-87.63056762,433.7992314564654,,354934.0,
41.89361489,-87.63342151,,215.79539950270717,,329845.0
41.72901449,-87.55425891,716.1630948408556,,103330.0,
41.88833261,-87.62950362,,242.2965889153203,,54600.0
42.00899392,-87.70844514,434.1147218066156,,333000.0,
41.6887948,-87.66968662,,387.4221499843923,,53700.0
41.87500832,-87.63122808,,342.9380106132203,,636217.0
41.912405,-87.668589,,372.594103527335,,60929.0
41.93692151,-87.63910514,8075.2910024434095,,158320.0,
41.94159842,-87.7192968,,303.8172071946008,,113870.0
41.99090057,-87.66660744,260.91051957417955,,51840.0,
41.93130757,-87.67737064,,618.361086294307,,142374.0
41.99090057,-87.66660744,286.46523793634225,,77900.0,
41.99090057,-87.66660744,477.0214094270369,,57600.0,
41.87995,-87.679167,,265.3273844762817,,70600.0
41.95402016,-87.6620278,207.59265039880307,,65918.0,
41.98515127,-87.83015397,398.1488218894977,,160000.0,
41.76532371,-87.65837324,,424.0190306018106,,69366.0
41.93626929,-87.63934761,243.55855031592097,,244440.0,
41.84099565,-87.68627778,,245.76698276697203,,349767.0
41.87883538,-87.715548,,154.59027157357676,,187689.0
41.9109805,-87.62673635,261.2260099243297,,406524.0,
41.86170088,-87.6202348,283.941315135141,,403018.0,
41.90531026,-87.62553343,329.6874159069137,,136591.0,
41.88778801,-87.64178715,188.03224868949337,,76037.0,
41.78456,-87.61478,213.27147670150586,,86580.0,
41.84550365,-87.63055693,465.9792471717813,,53143.0,
41.72857136,-87.59664019,,257.4401257225278,,77300.0
42.01809002,-87.67364706,,456.83002701742686,,78136.0
41.89237,-87.636345,298.138380891898,,275000.0,
41.92201051,-87.65461957,263.11895202523067,,38456.0,
41.815727,-87.633569,,206.33068899820248,,56857.0
41.88897886,-87.62803747,,219.8967740546592,,75940.0
41.99781208,-87.65504913,,157.74517507507832,,130027.0
41.9398511,-87.65844752,117.67790060600841,,80576.0,
41.91062948,-87.66609288,,293.7215159897958,,55030.0
41.76678503,-87.61131313,,348.6168369159231,,62706.0
41.87921245,-87.65673552,141.33967686727019,,139200.0,
41.86850103,-87.62470375,257.4401257225278,,810159.0,
41.9037528,-87.63558845,309.8115238474538,,583000.0,
41.86590325,-87.66859961,,745.18820705467,,63407.0
41.8742951,-87.65018,221.1587354552598,,104076.0,
