latitude,longitude,Residential EUI (kWh/m2/year),Non-residential EUI (kWh/m2/year),Residential Area (ft²),Non-residential Area (ft²)
25.7617,-80.1918,,119.57084270690936,,"  770,195 "
25.7617,-80.1918,141.33967686727019,,"  774,300 ",
25.7617,-80.1918,,124.30319795916171,,"  610,395 "
25.7617,-80.1918,,215.16441880240683,,"  108,187 "
25.7617,-80.1918,,129.03555321141405,,"  517,450 "
25.7617,-80.1918,100.64142169789996,,"  104,989 ",
25.7617,-80.1918,96.85553749609808,,"  1,160,232 ",
25.7617,-80.1918,,76.34866473633791,,"  132,408 "
25.7617,-80.1918,171.9422408318354,,"  1,160,553 ",
25.7617,-80.1918,93.06965329429622,,"  159,708 ",
25.7617,-80.1918,,23.66177626126175,,"  112,599 "
25.7617,-80.1918,,308.5495624468532,,"  310,046 "
25.7617,-80.1918,,765.6950798144302,,"  243,072 "
25.7617,-80.1918,165.31694347868208,,"  242,294 ",
25.7617,-80.1918,,280.47092128348925,,"  95,886 "
25.7617,-80.1918,140.39320581681972,,"  634,081 ",
25.7617,-80.1918,,95.2780857453473,,"  1,654,863 "
25.7617,-80.1918,146.0720321195225,,"  1,857,478 ",
25.7617,-80.1918,,409.19098414475314,,"  252,404 "
25.7617,-80.1918,,188.9787197399438,,"  116,339 "
25.7617,-80.1918,,156.79870402462788,,"  176,023 "
25.7617,-80.1918,,155.85223297417738,,"  656,821 "
25.7617,-80.1918,130.29751461201468,,"  750,122 ",
25.7617,-80.1918,,188.34773903964353,,"  152,410 "
25.7617,-80.1918,127.45810146066329,,"  3,238,436 ",
25.7617,-80.1918,,207.59265039880307,,"  236,877 "
25.7617,-80.1918,,149.8579163213244,,"  214,935 "
25.7617,-80.1918,77.61062613693854,,"  377,438 ",
25.7617,-80.1918,166.5789048792827,,"  403,585 ",
25.7617,-80.1918,184.2463644876915,,"  251,004 ",
25.7617,-80.1918,145.75654176937238,,"  1,599,938 ",
25.7617,-80.1918,86.75984629129307,,"  633,777 ",
25.7617,-80.1918,148.91144527087394,,"  210,392 ",
25.7617,-80.1918,95.90906644564761,,"  299,736 ",
25.7617,-80.1918,,141.33967686727019,,"  115,340 "
25.7617,-80.1918,154.9057619237269,,"  737,810 ",
25.7617,-80.1918,,108.84417080180404,,"  450,342 "
25.7617,-80.1918,96.22455679579777,,"  1,192,145 ",
25.7617,-80.1918,,484.9086681807907,,"  291,755 "
25.7617,-80.1918,,138.1847733657686,,"  2,039,308 "
25.7617,-80.1918,,120.83280410750999,,"  290,745 "
25.7617,-80.1918,119.88633305705952,,"  3,714,957 ",
25.7617,-80.1918,96.54004714594794,,"  635,950 ",
25.7617,-80.1918,132.82143741321596,,"  373,660 ",
25.7617,-80.1918,136.60732161501784,,"  772,622 ",
25.7617,-80.1918,,175.4126346834871,,"  195,356 "
25.7617,-80.1918,101.58789274835046,,"  369,564 ",
25.7617,-80.1918,,84.23592349009182,,"  180,646 "
25.7617,-80.1918,126.51163041021282,,"  207,265 ",
25.7617,-80.1918,129.03555321141405,,"  135,938 ",
25.7617,-80.1918,175.09714433333693,,"  1,007,453 ",
25.7617,-80.1918,,149.54242597117425,,"  414,493 "
25.7617,-80.1918,166.26341452913255,,"  137,481 ",
25.7617,-80.1918,,49.84747532372476,,"  465,774 "
25.7617,-80.1918,,11.042162255255484,,"  257,712 "
25.7617,-80.1918,,284.5722958354413,,"  465,000 "
25.7617,-80.1918,,180.46048028588962,,"  2,323,805 "
25.7617,-80.1918,187.7167583393432,,"  881,103 ",
25.7617,-80.1918,,190.24068114054447,,"  212,955 "
25.7617,-80.1918,94.96259539519716,,"  135,226 ",
25.7617,-80.1918,179.19851888528896,,"  249,614 ",
25.7617,-80.1918,98.43298924684888,,"  204,628 ",
25.7617,-80.1918,,136.922811965168,,"  102,978 "
25.7617,-80.1918,75.08670333573728,,"  186,896 ",
25.7617,-80.1918,99.06396994714919,,"  234,365 ",
25.7617,-80.1918,161.5310592768802,,"  2,094,580 ",
25.7617,-80.1918,94.647105045047,,"  209,201 ",
25.7617,-80.1918,107.58220940120341,,"  113,440 ",
25.7617,-80.1918,384.582736833041,,"  312,426 ",
25.7617,-80.1918,201.5983337459501,,"  192,793 ",
25.7617,-80.1918,,11.042162255255484,,"  571,872 "
25.7617,-80.1918,179.82949958558928,,"  1,179,690 ",
25.7617,-80.1918,248.29090556817326,,"  738,020 ",
25.7617,-80.1918,65.93748318138273,,"  158,664 ",
25.7617,-80.1918,,409.19098414475314,,"  127,739 "
25.7617,-80.1918,,1717.2139758673027,,"  763,761 "
25.7617,-80.1918,114.52299710450686,,"  739,484 ",
25.7617,-80.1918,,361.5519412720795,,"  224,313 "
25.7617,-80.1918,75.08670333573728,,"  334,370 ",
25.7617,-80.1918,97.4865181963984,,"  106,046 ",
25.7617,-80.1918,,386.16018858379175,,"  332,452 "
25.7617,-80.1918,,379.21940088048825,,"  132,610 "
25.7617,-80.1918,,254.91620292132657,,"  126,946 "
25.7617,-80.1918,,2649.803450911166,,"  296,816 "
25.7617,-80.1918,69.72336738318462,,"  105,132 ",
25.7617,-80.1918,,86.75984629129307,,"  556,956 "
25.7617,-80.1918,,243.87404066607107,,"  260,820 "
25.7617,-80.1918,,219.8967740546592,,"  205,383 "
25.7617,-80.1918,99.06396994714919,,"  264,180 ",
25.7617,-80.1918,,314.85936944985633,,"  300,303 "
25.7617,-80.1918,,78.55709718738899,,"  123,632 "
25.7617,-80.1918,,187.7167583393432,,"  226,098 "
25.7617,-80.1918,95.2780857453473,,"  133,241 ",
25.7617,-80.1918,85.8133752408426,,"  543,622 ",
25.7617,-80.1918,,19.87589205945987,,"  112,819 "
25.7617,-80.1918,146.0720321195225,,"  2,539,933 ",
25.7617,-80.1918,,335.0507518594664,,"  261,512 "
25.7617,-80.1918,39.75178411891974,,"  833,802 ",
25.7617,-80.1918,82.02749103904073,,"  163,455 ",
25.7617,-80.1918,192.76460394174572,,"  2,365,360 ",
25.7617,-80.1918,,195.28852674294697,,"  1,346,294 "
25.7617,-80.1918,109.47515150210437,,"  135,393 ",
25.7617,-80.1918,,111.9990743033056,,"  147,450 "
25.7617,-80.1918,,97.4865181963984,,"  114,785 "
25.7617,-80.1918,79.81905858798963,,"  158,619 ",
25.7617,-80.1918,98.74847959699905,,"  171,447 ",
25.7617,-80.1918,,169.10282768048395,,"  1,110,657 "
25.7617,-80.1918,,139.1312444162191,,"  419,174 "
25.7617,-80.1918,115.7849585051075,,"  295,591 ",
25.7617,-80.1918,89.91474979279464,,"  241,050 ",
25.7617,-80.1918,100.95691204805013,,"  214,926 ",
25.7617,-80.1918,,128.40457251111377,,"  197,951 "
25.7617,-80.1918,97.80200854654855,,"  3,461,417 ",
25.7617,-80.1918,161.5310592768802,,"  843,405 ",
25.7617,-80.1918,169.41831803063414,,"  940,544 ",
25.7617,-80.1918,,402.25019644144976,,"  174,596 "
25.7617,-80.1918,78.24160683723885,,"  100,169 ",
25.7617,-80.1918,,72.56278053453603,,"  962,270 "
25.7617,-80.1918,82.02749103904073,,"  295,408 ",
25.7617,-80.1918,,138.1847733657686,,"  110,353 "
25.7617,-80.1918,,23.977266611411903,,"  128,970 "
25.7617,-80.1918,,95.2780857453473,,"  760,947 "
25.7617,-80.1918,112.63005500360593,,"  599,395 ",
25.7617,-80.1918,144.49458036877172,,"  426,786 ",
25.7617,-80.1918,,104.742796249852,,"  619,660 "
25.7617,-80.1918,,125.24966900961219,,"  730,731 "
25.7617,-80.1918,57.419243727328514,,"  345,000 ",
25.7617,-80.1918,,88.96827874234417,,"  309,424 "
25.7617,-80.1918,185.19283553814196,,"  100,803 ",
25.7617,-80.1918,122.72574620841092,,"  586,764 ",
25.7617,-80.1918,121.14829445766016,,"  146,000 ",
25.7617,-80.1918,278.5779791825883,,"  317,284 ",
25.7617,-80.1918,,19.560401709309712,,"  146,489 "
25.7617,-80.1918,,31.23354466486551,,"  109,551 "
25.7617,-80.1918,,234.09383981141625,,"  120,000 "
25.7617,-80.1918,110.737112902705,,"  255,000 ",
25.7617,-80.1918,97.4865181963984,,"  746,942 ",
25.7617,-80.1918,82.65847173934104,,"  239,414 ",
25.7617,-80.1918,,77.92611648708869,,"  839,292 "
25.7617,-80.1918,32.810996415616295,,"  378,000 ",
25.7617,-80.1918,,31.54903501501566,,"  146,000 "
25.7617,-80.1918,,186.4547969387426,,"  104,690 "
25.7617,-80.1918,131.24398566246518,,"  1,174,325 ",
25.7617,-80.1918,111.9990743033056,,"  426,782 ",
25.7617,-80.1918,,68.77689633273415,,"  223,562 "
25.7617,-80.1918,120.51731375735984,,"  1,235,348 ",
25.7617,-80.1918,178.56753818498868,,"  779,491 ",
25.7617,-80.1918,,78.24160683723885,,"  539,000 "
25.7617,-80.1918,,184.87734518799178,,"  110,576 "
25.7617,-80.1918,,47.63904287267365,,"  119,800 "
25.7617,-80.1918,72.87827088468619,,"  470,000 ",
25.7617,-80.1918,62.46708932973102,,"  193,273 ",
25.7617,-80.1918,75.40219368588743,,"  272,052 ",
25.7617,-80.1918,117.99339095615858,,"  240,174 ",
25.7617,-80.1918,,88.33729804204387,,"  1,422,969 "
