latitude,longitude,Residential EUI (kWh/m2/year),Non-residential EUI (kWh/m2/year),Residential Area (ft²),Non-residential Area (ft²)
40.7539361,-73.9942033,,416.13177184805664,,197027.0
40.6663714,-73.7801604,,674.5183686210349,,42550.0
40.8916764,-73.8985292,411.08392624565414,,27800.0,
40.8731215,-73.8520469,,329.37192555676353,,36263.0
40.7132009,-73.9896438,,187.08577763904287,,37565.0
40.7602096,-73.8343105,,318.6452536516582,,37810.0
40.7494704,-73.9942651,,372.594103527335,,104199.0
40.5967227,-73.9415218,,234.4093301615664,,43998.0
40.6492285,-73.9552311,,313.91289839940583,,30750.0
40.7064268,-73.9627886,272.58366252973536,,26450.0,
40.7372948,-73.9951574,284.5722958354413,,27075.0,
40.8479368,-73.8305787,403.1966674919002,,42000.0,
40.7713129,-73.9160638,,413.60784904685534,,26700.0
40.7846166,-73.8254605,,300.9777940432495,,108474.0
40.8366134,-73.8535953,446.7343358126218,,93000.0,
40.8201958,-73.8809853,,235.671291562167,,167315.0
40.7543121,-73.993929,,441.68649021021935,,39291.0
40.7509765,-73.9852636,,307.9185817465529,,54725.0
40.747263,-73.9863471,,459.0384594684779,,80185.0
40.845272,-73.9426189,489.9565137831933,,25765.0,
40.5884926,-73.9392571,326.53251240541215,,222000.0,
40.7552907,-73.9817398,,742.6642842534688,,59000.0
40.6325479,-73.9845368,,256.1781643219272,,31600.0
40.6970216,-73.9213504,201.28284339579992,,26250.0,
40.7794878,-73.9582741,407.9290227441526,,77689.0,
40.7308142,-74.0077611,437.2696253081171,,122114.0,
40.6331611,-74.0244813,495.9508304360462,,28000.0,
40.7903969,-73.972514,294.6679870402463,,233880.0,
40.6733771,-74.0098777,,206.33068899820248,,55186.0
40.8025796,-73.9404091,,1003.8902941777984,,28549.0
40.8263197,-73.9425522,336.62820361021716,,73645.0,
40.5754234,-73.9620949,246.0824731171222,,203500.0,
40.7038086,-73.9331614,,601.0091170360485,,26743.0
40.7033415,-73.9877988,204.43774689730148,,30010.0,
40.8394001,-73.9222337,228.41501350871343,,46400.0,
40.6491,-73.9998595,,390.2615631357438,,35200.0
40.7101499,-73.8583458,,228.41501350871343,,78530.0
40.7383503,-73.9827404,,502.2606374390494,,32369.0
40.6054051,-73.7523426,,185.50832588829212,,32300.0
40.8464603,-73.9049921,,304.132697544751,,38000.0
40.7754876,-73.9554784,315.49035015015664,,28559.0,
40.7550692,-73.988125,,1096.9599474720947,,158519.0
40.6870911,-73.9779688,699.1266159327472,,27144.0,
40.71107,-73.9358342,,214.21794775195636,,30000.0
40.7640287,-73.9974622,,385.52920788349144,,37100.0
40.7553395,-73.9779679,,492.1649462342444,,87016.0
40.7305839,-73.8669257,329.6874159069137,,65730.0,
40.8583872,-73.8999031,,399.41078329009827,,38500.0
40.6283796,-73.9565168,,168.7873373303338,,44551.0
40.8016312,-73.9631364,471.342583124334,,28770.0,
40.5880694,-73.811983,,407.9290227441526,,27597.0
40.753766,-73.9945571,,481.7537646792892,,93090.0
40.7394988,-73.9947134,,760.9627245621779,,53030.0
40.7823328,-73.9549683,292.7750449393453,,206792.0,
40.7802215,-73.960942,382.3743043819899,,100250.0,
40.6506678,-73.9580339,,419.2866753495582,,32000.0
40.7466677,-73.9427724,356.18860531952686,,83546.0,
40.7830956,-73.9714157,256.49365467207735,,261030.0,
40.7538692,-73.9413766,,193.39558464204603,,81000.0
40.647725,-73.9207743,,319.59172470210865,,144000.0
40.5850916,-73.9502374,376.06449737898674,,27450.0,
40.78846,-73.7853186,,992.848131922543,,38475.0
40.7948654,-73.9730973,377.3264587795873,,35130.0,
,,,234.7248205117166,,60931.0
40.817163,-73.8982382,470.71160242403363,,49980.0,
40.739786,-73.984299,,515.8267224955061,,163311.0
40.7874687,-73.8369258,,576.7163600744864,,106186.0
40.616884,-74.0366211,292.7750449393453,,40446.0,
40.6779884,-73.9634246,210.1165732000043,,33710.0,
40.7630194,-73.8191312,289.6201414378438,,30364.0,
40.8473444,-73.9376581,,371.9631228270347,,91138.0
40.7699477,-73.7356037,,405.40509994295127,,52515.0
40.8347971,-73.9305688,,407.9290227441526,,89457.0
40.8644533,-73.9002049,,506.04652164085127,,80684.0
40.7574574,-73.942922,,516.4577031958064,,69045.0
40.7520993,-73.9234184,,729.7291798973123,,37610.0
40.7562581,-73.9920519,,393.4164666372453,,72824.0
40.8642667,-73.8651506,655.9044379621757,,30816.0,
40.7806138,-73.7786061,,411.71490694595445,,46917.0
40.7440245,-73.9892385,,711.4307395886033,,30966.0
40.8517858,-73.9288811,,204.75323724745166,,119715.0
40.6802942,-73.9381388,679.2507238732873,,38400.0,
40.7481994,-73.9912119,,699.1266159327472,,121000.0
40.7759046,-73.9882368,,205.06872759760182,,487162.0
