latitude,longitude,Residential EUI (kWh/m2/year),Non-residential EUI (kWh/m2/year),Residential Area (ft²),Non-residential Area (ft²)
39.95052011,-75.16619282,,399.41078329009827,,62118.0
39.9512734,-75.16431263,,343.2535009633704,,334050.0
39.94740488,-75.16624195,388.9996017351432,,95551.0,
39.94883356,-75.16791508,126.19614006006265,,,
39.95680987,-75.16540056,,534.1251628042153,,162086.0
39.94792804,-75.16582997,150.80438737177485,,,
39.9487119,-75.16676054,202.54480479640057,,,
39.95148459,-75.16493734,117.67790060600841,,,
39.94859696,-75.16589636,185.82381623844225,,,
39.94672247,-75.16731487,457.46100771772717,,,
39.94845366,-75.16848795,,339.7831071117187,,83043.0
39.95269644,-75.16921654,,205.38421794775195,,1183616.0
39.95183727,-75.17331677,189.9251907903943,,117495.0,
39.95309537,-75.17244864,,137.5537926654683,,500000.0
39.95388171,-75.17264175,147.64948387027331,,455000.0,
39.95380575,-75.1719466,,190.5561714906946,,760635.0
39.95891408,-75.17818518,88.96827874234417,,348200.0,
39.95075278,-75.16814015,127.14261111051312,,88978.0,
39.9529363,-75.17115071,,196.86597849369775,,1143040.0
39.95560272,-75.16889212,,222.10520650571027,,1200000.0
39.95114359,-75.17567194,71.93179983423572,,305280.0,
39.95361225,-75.17036464,,145.44105141922222,,708750.0
39.95993008,-75.1709484,,405.40509994295127,,131664.0
39.95256027,-75.16808522,,160.58458822642973,,1464000.0
39.95318086,-75.17641358,,315.49035015015664,,68967.0
39.95356426,-75.16726787,,217.37285125345795,,544200.0
39.95285126,-75.17045512,,384.89822718319107,,275500.0
39.95443571,-75.16940746,,204.43774689730148,,1200021.0
39.95528479,-75.1682033,170.68027943123474,,126840.0,
39.94971565,-75.17514581,914.291034735154,,124040.0,
39.95078256,-75.17359742,54.895320926127255,,85328.0,
39.95142024,-75.17337358,319.59172470210865,,69540.0,
39.94928622,-75.16924816,221.7897161555601,,551838.0,
39.95387332,-75.16708202,,129.3510435615642,,798189.0
39.95162256,-75.17996995,,121.14829445766016,,148496.0
39.95185031,-75.16813922,,408.56000344445283,,144660.0
39.9542666,-75.17447618,,199.07441094474885,,1152520.0
39.95639879,-75.17012058,,177.62106713453815,,735630.0
39.95584349,-75.17070345,172.25773118198552,,254000.0,
39.9497831,-75.17037316,202.86029514655073,,465000.0,
39.95017882,-75.18086141,138.50026371591878,,198064.0,
39.9510694,-75.18011153,,79.81905858798963,,101676.0
39.95456988,-75.1705112,194.02656534234634,,738207.0,
39.9509132,-75.17903486,291.51308353874475,,247464.0,
39.9557261,-75.16978354,,195.28852674294697,,803012.0
39.95565422,-75.16821297,,112.94554535375606,,340000.0
39.95741787,-75.17098656,,200.33637234534945,,151440.0
39.95988045,-75.16734448,103.79632519940154,,416100.0,
39.95594838,-75.17317075,,135.66085056456734,,95000.0
39.95247782,-75.17972312,115.7849585051075,,364898.0,
39.95036774,-75.17041479,208.8546117994037,,84000.0,
39.95478278,-75.17208701,111.9990743033056,,623182.0,
39.95728374,-75.1669024,,229.67697490931405,,696000.0
39.94919852,-75.16578744,,862.8661076606784,,
39.95247564,-75.16738887,,148.28046457057363,,859989.0
39.95220855,-75.16941515,,211.06304425045482,,659340.0
39.95629227,-75.16895292,,225.89109070751212,,246512.0
39.95338062,-75.17717021,222.10520650571027,,304676.0,
39.95362999,-75.16942011,,168.7873373303338,,1449928.0
39.95499312,-75.17042213,,287.7271993369429,,212310.0
39.95431056,-75.17904596,,373.22508422763525,,600523.0
39.95874946,-75.17210978,,1553.7899744895215,,221300.0
39.95328135,-75.17377698,,344.1999720138209,,696261.0
39.95115622,-75.16856046,,91.80769189369559,,124740.0
39.95016194,-75.16887166,337.25918431051747,,72709.0,
39.95081775,-75.16864354,,469.76513137358324,,148896.0
39.95143383,-75.17280522,169.73380838078427,,260172.0,
39.9527809,-75.16991637,,179.82949958558928,,137284.0
39.9531712,-75.16733191,,178.56753818498868,,797220.0
39.95066504,-75.17155163,,240.7191371645695,,560000.0
39.95211889,-75.1765705,176.67459608408774,,330183.0,
39.9479895,-75.16518509,,359.65899917117855,,144080.0
39.94823624,-75.16667851,94.96259539519716,,677140.0,
39.95562887,-75.16343349,,436.3231542576667,,241200.0
39.94834316,-75.16755636,158.06066542522848,,143600.0,
39.9579243,-75.16650855,,210.43206355015448,,244000.0
39.95217654,-75.16614251,,177.93655748468834,,2215276.0
39.9547158,-75.16362206,165.63243382883226,,220304.0,
39.94841263,-75.16505618,,215.79539950270717,,232500.0
39.9542062,-75.16571959,,2359.5523287730216,,336663.0
39.94702115,-75.16490295,238.19521436336828,,368991.0,
39.9476471,-75.16521282,,251.761299419825,,74591.0
39.9497343,-75.16568163,,180.46048028588962,,68004.0
39.94762055,-75.16666133,,71.61630948408556,,218900.0
39.95496987,-75.16358612,,199.38990129489903,,106224.0
39.95155067,-75.16585429,,224.62912930691155,,255000.0
39.95065369,-75.16549454,151.75085842222535,,161486.0,
39.94665634,-75.16577632,,442.6329612606698,,468307.0
39.94940095,-75.16693081,,299.4003422924987,,101500.0
39.95354585,-75.16448065,,273.845623930336,,421296.0
39.95738271,-75.18248116,,213.90245740180617,,782208.0
39.95720759,-75.19190657,224.62912930691155,,552275.0,
39.95268921,-75.19591157,,1298.5582812180448,,91260.0
39.95614945,-75.1875812,135.34536021441718,,489553.0,
39.95251118,-75.18339721,141.6551672174203,,474280.0,
39.97561745,-75.21382137,,117.99339095615858,,123750.0
39.95683771,-75.19605345,,649.9101213093227,,172000.0
39.95122649,-75.19584597,,838.5733506991164,,92237.0
39.95850838,-75.19923492,,681.1436659741883,,1188574.0
39.95468676,-75.18846807,,386.16018858379175,,259691.0
39.95489742,-75.20557441,,204.75323724745166,,110157.0
39.95500064,-75.20053606,1022.8197151868078,,268381.0,
39.9552328,-75.19463887,279.2089598828886,,65380.0,
39.95581246,-75.1934566,,477.9678804774873,,54912.0
39.95167035,-75.18284973,,153.95929087327644,,869995.0
39.95252136,-75.18469625,,1850.0354132805185,,120000.0
39.94596934,-75.19615015,,15.14353680720752,,400000.0
,,,921.8628031387577,,213750.0
39.95639879,-75.17012058,,456.83002701742686,,338200.0
,,,113.26103570390623,,100392.0
,,143.23261896817112,,,
,,122.72574620841092,,73614.0,
39.95756081,-75.1678152,,246.7134538174225,,
,,116.73142955555797,,60557.0,
39.94811192,-75.1697857,217.0573609033078,,,
,,122.41025585826077,,71993.0,
,,11.673142955555795,,555000.0,
,,,107.26671905105326,,90999.0
,,10.726671905105325,,300264.0,
,,,801.6609797315481,,210000.0
,,184.87734518799178,,858000.0,
39.95486648,-75.19274201,109.79064185225451,,525469.0,
,,,902.6178917795982,,500000.0
,,,212.32500565105542,,122612.0
,,,147.96497422042347,,62001.0
,,,176.99008643423787,,55512.0
,,,324.6395703045112,,53340.0
,,,394.3629376876958,,156275.0
,,,175.09714433333693,,
,,,766.0105701645803,,206365.0
,,,121.14829445766016,,139020.0
39.95667035,-75.19453345,341.99153956276984,,354372.0,
39.95084832,-75.14797144,,542.6434022582694,,582120.0
39.95619932,-75.14496879,126.51163041021282,,63000.0,
39.9471931,-75.14830599,141.33967686727019,,64390.0,
39.95408294,-75.15048491,,217.37285125345795,,63402.0
39.95026876,-75.15103898,,271.63719147928487,,404118.0
39.94995941,-75.14698308,,673.2564072204343,,83976.0
39.94963109,-75.15166103,,130.61300496216484,,375396.0
39.95210872,-75.1429008,18.613930658859243,,51004.0,
39.95164006,-75.15267317,,160.26909787627957,,845230.0
39.94611504,-75.15308097,,606.6879433387512,,70326.0
39.94652988,-75.15432755,,332.2113387081149,,57853.0
39.94906655,-75.1468191,,74.14023228528681,,84410.0
39.95500978,-75.14404788,102.21887344865074,,173048.0,
39.95253327,-75.15204593,,270.37523007868424,,193880.0
39.94903308,-75.14788593,,263.4344423753808,,112380.0
39.95436874,-75.14515162,114.83848745465703,,,
39.94861721,-75.14372131,,322.11564750330996,,54999.0
39.95142804,-75.14221761,153.01281982282597,,,
39.94726657,-75.15053891,,183.9308741375413,,986960.0
39.95276945,-75.14367771,154.9057619237269,,,
39.95603382,-75.14579436,110.737112902705,,,
39.95040647,-75.13946834,132.19045671291565,,,
39.95151255,-75.13910503,93.38514364444636,,,
39.95255679,-75.14438449,124.93417865946203,,,
39.94923498,-75.14823899,234.4093301615664,,,
39.94723996,-75.15364916,396.25587978859676,,,
39.95580638,-75.15202012,145.75654176937238,,,
39.94610172,-75.20602983,,105.68926730030248,,63850.0
39.9551355,-75.20160222,,388.9996017351432,,63654.0
39.95182584,-75.18411898,,113.89201640420656,,184770.0
39.95491976,-75.20576812,314.85936944985633,,65910.0,
39.95568948,-75.19940387,,172.25773118198552,,51876.0
39.9560287,-75.19662956,,274.47660463063625,,165000.0
39.96388551,-75.21147333,54.26434022582695,,132267.0,
39.95351107,-75.2032069,,320.85368610270933,,110166.0
39.95462712,-75.2033692,,185.50832588829212,,72000.0
39.95574319,-75.19305871,,804.5003928828995,,50315.0
39.96303424,-75.21137766,,315.49035015015664,,475995.0
39.94746052,-75.19801712,,331.8958483579648,,69120.0
39.95482307,-75.19902548,,462.8243436702798,,138262.0
39.95001362,-75.19409241,,947.4175215009204,,1588163.0
39.95452179,-75.19001812,,312.01995629850495,,
39.94443619,-75.20716885,,322.11564750330996,,
39.95406074,-75.18645967,,394.3629376876958,,279420.0
39.94771117,-75.15380284,143.23261896817112,,665742.0,
39.94443619,-75.20716885,,324.0085896042109,,
,,183.29989343724102,,305591.0,
,,,259.6485581735789,,107996.0
,,201.5983337459501,,123753.0,
,,,294.35249669009613,,549330.0
,,,287.09621863664256,,72576.0
,,,166.5789048792827,,71000.0
,,,297.8228905417479,,355036.0
,,117.99339095615858,,253276.0,
,,,305.39465894535164,,293854.0
,,,17.03647890810846,,159344.0
,,,259.6485581735789,,318307.0
,,123.0412365585611,,655699.0,
39.95013552,-75.16131753,,76.03317438618775,,
 , ,,192.76460394174572,,
,,123.0412365585611,,115299.0,
,,147.96497422042347,,596464.0,
39.95527404,-75.16769232,,910.1896601832019,,147420.0
39.95425518,-75.17219848,171.9422408318354,,514689.0,
39.95284765,-75.17777749,,201.5983337459501,,75495.0
39.95743983,-75.17765759,107.26671905105326,,,
39.95716053,-75.17632517,100.95691204805013,,,
39.9483596,-75.1712542,125.24966900961219,,,
