latitude,longitude,Residential EUI (kWh/m²/year),Non-residential EUI (kWh/m²/year),Residential Area,Non-Residential Area
47.6122,-122.33799,,184.5327438482084,,88434.0
47.61307,-122.33361,,199.21531327423773,,103566.0
47.61367,-122.33822,,144.6795565540299,,956110.0
47.61375,-122.34047,,231.34565256892188,,175580.0
47.61623,-122.33657,,310.97179597085676,,97288.0
47.6139,-122.33283,,225.95685080338603,,83008.0
47.60294,-122.33263,,291.0195700090156,,163984.0
47.60284,-122.33184,139.1545080661595,,63712.0,
47.60738,-122.33362,,183.57048851137694,,333176.0
47.60809,-122.33212,,167.25707810628123,,353111.0
47.60649,-122.33297,,105.57026158351404,,412000.0
47.60681,-122.33078,,192.79263310815844,,460902.0
47.60515,-122.33159,,291.6830525096743,,57452.0
47.60376,-122.33194,,195.02229850339697,,104352.0
47.60265,-122.33051,,293.5578155227459,,540360.0
47.60378,-122.32842,,389.1495684386991,,385274.0
47.54576,-122.26853,,,,
47.65958,-122.31738,,124.34419404132409,,88592.0
47.61816,-122.33629,,211.99016116553236,,126593.0
47.61784,-122.32966,,147.4733911101625,,171866.0
47.62266,-122.30547,,,,
47.61558,-122.34186,,159.01921928107865,,68410.0
47.70994,-122.29301,,,,
47.6329,-122.35172,,,,
47.66583,-122.29965,,193.6394229106204,,81871.0
47.53493,-122.31788,,,,
47.65671,-122.39047,,,,
47.68252,-122.29498,,,,
47.58034,-122.31132,,136.07765033263308,,52554.0
47.68891,-122.33553,,176.12340056161585,,175015.0
47.61351,-122.35129,,56.92869748714377,,70586.0
47.60946,-122.33337,,116.91880922801853,,332210.0
47.6113,-122.33659,,183.3349321155104,,88717.0
47.61076,-122.33765,,57.411629503860716,,57428.0
47.61048,-122.33794,,85.95322138426776,,59400.0
47.60886,-122.33744,,575.9520858367725,,64597.0
47.61087,-122.33339,,,,
47.60997,-122.34138,,270.631302710043,,71150.0
47.61155,-122.34114,,123.0579089172654,,122810.0
47.62001,-122.34274,,130.58880212392677,,150453.0
47.62025,-122.34314,,124.3854207666686,,116300.0
47.62023,-122.35951,,143.32578880255693,,155602.0
47.63442,-122.30793,,228.83825175808911,,56072.0
47.62519,-122.34456,,96.45055958685147,,122942.0
47.60823,-122.30956,,169.76151075621212,,54984.0
47.55837,-122.37751,,360.65984741051915,,371257.0
47.61988,-122.33211,,135.97707990855815,,84103.0
47.5097,-122.37759,,,,
47.61244,-122.3214,,132.39566059362284,,329489.0
47.60845,-122.32637,,235.9516582457243,,121099.0
47.62424,-122.33646,,99.48767283999076,,438093.0
47.62642,-122.33325,,190.97004100791503,,282863.0
