geonameid,latitude,longitude,population_density
292968,24.45118,54.39696,6027.494801291544
1138958,34.52813,69.17233,40085.123056040866
3183875,41.3275,19.81889,26918.855497502205
616052,40.18111,44.51361,13532.44701656575
2240449,-8.83682,13.23432,37139.85077821314
2243271,-5.56717,12.19787,20561.739843185245
3347019,-15.19611,12.15222,12990.131575130152
3347719,-11.78333,19.91667,10661.96654974751
3435910,-34.61315,-58.37723,18614.355283617973
3836350,-49.0,-70.0,0.0
3844419,-34.5,-68.5,0.0
3860259,-31.4135,-64.18105,11852.757259975671
3865086,-38.7176,-62.26545,9520.702189293173
2761369,48.20849,16.37208,16040.106080830097
2063042,-20.31215,118.61059,31.751481231674557
2063523,-31.95224,115.8614,3879.4322697014236
2073124,-12.46113,130.84185,1940.096409600463
2078025,-34.92866,138.59863,2445.14276800869
2147714,-33.86785,151.20732,6964.191273947803
2158177,-37.814,144.96332,5865.708114918976
2172517,-35.28346,149.12807,937.0625272541454
2174003,-27.46794,153.02809,5214.028727957856
587084,40.37767,49.89201,3760.1163017951058
3191281,43.84864,18.35644,6199.847883217864
3204541,44.77842,17.19386,7226.499957734667
1185241,23.7104,90.40744,120234.29228368073
1337182,23.75,90.58333,959.5809661756456
1337200,22.91667,91.5,637.2708965994791
2800866,50.85045,4.34878,15320.437170174388
2357048,12.36566,-1.53388,9562.866713187994
727012,42.66667,23.8,0.5057427883148191
728193,42.15,24.75,10981.065050092164
425378,-3.38193,29.36142,13533.112072507425
7668939,6.48047,2.62129,13275.530299298392
3903987,-19.03332,-65.26274,16141.48625257004
6300770,-16.1398,-62.02799,775.5956811064482
3390760,-8.05389,-34.88111,7616.924502634868
3399415,-3.71722,-38.54306,7097.392561083882
3405870,-1.45583,-48.50444,4733.137754921803
3448439,-23.5475,-46.63611,13359.658367552162
3449433,-23.96083,-46.33361,18030.057682034185
3450554,-12.97563,-38.49096,28208.583884338586
3451190,-22.90642,-43.18223,11170.19346117278
3452925,-30.03283,-51.23019,12488.582974200268
3455077,-24.5,-51.33333,8.563129028123804
3462377,-16.67861,-49.25389,11816.743792698942
3464975,-25.42778,-49.27306,7899.745600674897
3469058,-15.77972,-47.92972,4716.229137342789
3470127,-19.92083,-43.93778,14870.384590468026
3663517,-3.10194,-60.025,12230.694703347574
1252416,27.46609,89.64191,254.91855110486443
11778169,-24.64639,25.91194,1791.8983924623021
620127,55.1904,30.2049,8184.879681250328
623549,52.12153,26.06726,6630.017646883705
625143,53.9,27.56667,19532.613762656743
625665,53.9168,30.3449,8524.381849225196
627904,53.6884,23.8258,16389.57220774924
629634,52.09755,23.68775,9820.581499771939
3582678,17.25,-88.75,1232.8602196235165
6167865,43.70643,-79.39864,10399.335648120794
6173331,49.24966,-123.11934,4913.819712004362
209228,-6.13603,23.58979,18777.278893488645
922704,-11.66089,27.47938,7937.403168844878
922773,-10.71484,25.46674,3428.416874031946
2314302,-4.32758,15.31357,63391.914265050895
2389853,4.36122,18.55496,28872.8040437945
2260535,-4.26613,15.28318,45314.71672355652
2660646,46.20222,6.14569,16655.72714975621
2661604,47.55839,7.57327,8706.278371810084
2279755,6.82055,-5.27674,8644.938914383576
2290956,7.69385,-5.03031,10203.26151178319
2293538,5.35444,-4.00167,6191.211698393803
3868626,-33.036,-71.62963,7615.35746856315
3871336,-33.45694,-70.64827,7696.299639356297
3899539,-23.65236,-70.3954,19850.661421325876
2220957,3.86667,11.51667,23313.772333894227
2232593,4.04827,9.70428,22945.61545447707
1792947,39.14222,117.17667,25921.778756601943
1796236,31.22222,121.45806,18955.66607827197
1808894,30.57436,114.27713,40069.78777483224
1809858,23.11667,113.25,32583.696650954484
1816670,39.9075,116.39723,11497.249195456505
2034937,41.79222,123.43278,35261.221690683946
3674962,6.25184,-75.56359,38615.55167949043
3687238,10.39972,-75.51444,21098.68467178345
3687925,3.43722,-76.5225,19395.567641811373
3688689,4.60971,-74.08175,26149.21968629837
3689147,10.96854,-74.78132,16743.25375591278
3621849,9.93333,-84.08333,5032.276027660369
3622228,9.97691,-84.8379,1188.4132183617867
3622247,9.99074,-83.03596,5961.90965077987
3623076,10.63504,-85.43772,6979.739143486982
3623486,10.00236,-84.11651,9044.090820486545
3624370,9.86444,-83.91944,7273.952615972459
3624955,10.01625,-84.21163,11262.81291732207
3374333,14.93152,-23.51254,1373.8444644360616
11919554,34.9155,33.61977,4379.619231330604
3067696,50.08804,14.42076,10185.537294374235
2825297,48.78232,9.17702,8896.912015829648
