geonameid,2m_temperature_2023_avg,2m_dewpoint_temperature_2023_avg,total_precipitation_2023
292968,302.02,292.78,0.048
1138958,283.49,272.82,0.378
3183875,289.5,283.59,1.327
616052,284.26,274.88,0.367
2240449,298.57,294.96,0.668
2243271,298.29,295.76,1.573
3347019,295.2,289.42,0.175
3347719,294.66,285.95,1.373
3435910,291.62,285.74,0.774
3836350,281.49,270.53,0.234
3844419,288.69,276.82,0.292
3860259,291.18,283.03,0.506
3865086,289.23,280.99,0.514
2761369,285.33,279.67,0.776
2063042,299.57,291.15,0.198
2063523,292.23,284.77,0.405
2073124,300.67,293.62,1.785
2078025,288.78,283.18,0.523
2147714,291.57,286.23,0.83
2158177,287.86,282.8,0.704
2172517,285.83,280.73,0.565
2174003,293.27,287.65,0.65
587084,289.5,285.44,0.165
3191281,283.17,278.95,1.361
3204541,286.3,281.82,1.074
1185241,299.51,295.21,1.7
1337182,299.51,295.21,1.7
1337200,299.29,295.06,1.94
2800866,285.04,281.28,1.027
2357048,302.29,288.7,0.584
727012,283.68,279.24,0.824
728193,287.92,280.11,0.399
425378,297.33,289.81,0.999
7668939,300.55,297.43,1.404
3903987,288.91,280.17,0.853
6300770,297.69,292.67,1.122
3390760,299.24,295.22,0.954
3399415,300.37,296.05,1.195
3405870,300.65,296.89,1.829
3448439,293.67,289.27,1.246
3449433,296.08,292.99,1.982
3450554,298.99,295.18,1.297
3451190,297.43,293.38,1.04
3452925,293.53,289.35,1.915
3455077,293.0,289.26,1.584
3462377,297.2,289.09,0.785
3464975,290.98,288.03,1.578
3469058,295.35,287.85,1.134
3470127,294.3,288.38,0.948
3663517,300.44,296.07,2.378
1252416,282.74,279.78,2.574
11778169,294.3,281.46,0.384
620127,280.77,276.52,0.79
623549,283.07,278.81,0.849
625143,281.24,276.92,0.767
625665,281.29,276.78,0.804
627904,282.44,277.95,0.811
629634,283.28,278.7,0.81
3582678,299.88,296.26,1.262
6167865,282.69,277.88,0.864
6173331,283.48,279.65,1.884
209228,298.66,291.97,1.225
