Country,Continent,ISO_Code,Level,GDLCODE,Region,"Subnational HDI","Educational index ","Income index"
"Afghanistan","Asia/Pacific","AFG","National","AFGt","Total",0.462,0.381,0.391
"Albania","Europe","ALB","National","ALBt","Total",0.789,0.740,0.760
"Algeria","Africa","DZA","National","DZAt","Total",0.745,0.663,0.710
"Andorra","Europe","AND","National","ANDt","Total",0.884,0.742,0.951
"Angola","Africa","AGO","National","AGOt","Total",0.591,0.533,0.601
"Antigua and Barbuda","America","ATG","National","ATGt","Total",0.826,0.782,0.791
"Argentina","America","ARG","National","ARGt","Total",0.849,0.871,0.815
"Armenia","Europe","ARM","National","ARMt","Total",0.786,0.778,0.761
"Australia","Asia/Pacific","AUS","National","AUSt","Total",0.946,0.924,0.936
"Austria","Europe","AUT","National","AUTt","Total",0.926,0.865,0.957
"Azerbaijan","Europe","AZE","National","AZEt","Total",0.760,0.705,0.757
"Bahamas, The","America","BHS","National","BHSt","Total",0.820,0.755,0.874
"Bahrain","Asia/Pacific","BHR","National","BHRt","Total",0.888,0.821,0.935
"Bangladesh","Asia/Pacific","BGD","National","BGDt","Total",0.670,0.578,0.631
"Barbados","America","BRB","National","BRBt","Total",0.809,0.789,0.755
"Belarus","Europe","BLR","National","BLRt","Total",0.801,0.796,0.788
"Belgium","Europe","BEL","National","BELt","Total",0.942,0.918,0.949
"Belize","America","BLZ","National","BLZt","Total",0.700,0.640,0.684
"Benin","Africa","BEN","National","BENt","Total",0.504,0.391,0.533
"Bhutan","Asia/Pacific","BTN","National","BTNt","Total",0.681,0.557,0.705
"Bolivia","America","BOL","National","BOLt","Total",0.698,0.745,0.662
"Bosnia and Herzegovina","Europe","BIH","National","BIHt","Total",0.779,0.720,0.772
"Botswana","Africa","BWA","National","BWAt","Total",0.708,0.665,0.755
"Brazil","America","BRA","National","BRAt","Total",0.760,0.709,0.753
"Brunei Darussalam","Asia/Pacific","BRN","National","BRNt","Total",0.823,0.688,0.964
"Bulgaria","Europe","BGR","National","BGRt","Total",0.799,0.766,0.840
"Burkina Faso","Africa","BFA","National","BFAt","Total",0.438,0.302,0.455
"Burundi","Africa","BDI","National","BDIt","Total",0.420,0.387,0.297
"Cabo Verde","Africa","CPV","National","CPVt","Total",0.661,0.523,0.654
