iter	Passed	Remaining
0	1	597
1	3	477
2	5	503
3	6	464
4	7	438
5	9	481
6	11	475
7	12	459
8	14	454
9	15	448
10	17	447
11	18	444
12	20	455
13	21	447
14	23	439
15	25	449
16	27	452
17	28	446
18	30	450
19	32	451
20	34	456
21	36	458
22	37	452
23	39	455
24	41	458
25	43	454
26	44	448
27	46	450
28	48	452
29	49	449
30	52	452
31	54	454
32	56	454
33	57	451
34	59	452
35	61	452
36	63	448
37	64	443
38	66	445
39	67	441
40	68	431
41	70	432
42	71	427
43	72	423
44	75	426
45	77	427
46	78	423
47	80	424
48	82	422
49	83	418
50	85	416
51	87	415
52	88	413
53	90	411
54	91	409
55	93	407
56	95	406
57	96	403
58	98	400
59	99	398
60	101	396
61	102	393
62	103	390
63	105	387
64	106	386
65	108	384
66	109	381
67	111	379
68	112	376
69	114	376
70	116	376
71	118	376
72	120	374
73	121	372
74	124	372
75	125	370
76	126	367
77	128	366
78	129	363
79	132	363
80	134	362
81	135	360
82	136	357
83	137	354
84	140	354
85	142	355
86	144	353
87	146	352
88	148	351
89	150	351
90	152	350
91	155	350
92	156	348
93	159	348
94	161	347
95	162	345
96	164	343
97	165	341
98	167	340
99	169	338
100	171	337
101	173	336
102	174	334
103	176	332
104	178	331
105	180	330
106	181	327
107	183	326
108	185	324
109	186	322
110	188	321
111	191	320
112	193	320
113	196	319
114	198	319
115	201	319
116	203	317
117	204	315
118	206	313
119	207	311
120	210	311
121	212	310
122	215	309
123	217	308
124	218	306
125	221	305
126	222	303
127	225	302
128	227	301
129	229	299
130	231	298
131	233	297
132	235	296
133	237	294
134	239	292
135	240	290
136	243	289
137	245	288
138	247	286
139	249	285
140	251	283
141	253	282
142	255	281
143	257	278
144	259	277
145	261	275
146	263	273
147	265	272
148	266	270
149	268	268
150	270	266
151	272	265
152	275	264
153	276	262
154	278	260
155	280	258
156	282	257
157	284	255
158	286	253
159	288	252
160	290	250
161	292	249
162	294	247
163	297	246
164	298	244
165	300	242
166	302	240
167	303	238
168	305	236
169	306	234
170	308	232
171	309	230
172	310	228
173	312	226
174	314	224
175	315	222
176	316	220
177	318	218
178	319	215
179	320	213
180	322	212
181	324	210
182	326	208
183	327	206
184	329	204
185	330	202
186	333	201
187	335	199
188	336	197
189	338	196
190	340	194
191	342	192
192	343	190
193	344	188
194	346	186
195	347	184
196	348	182
197	351	180
198	352	178
199	353	176
200	355	174
201	356	173
202	358	171
203	359	169
204	361	167
205	362	165
206	364	163
207	365	161
208	367	159
209	368	157
210	369	155
211	372	154
212	374	152
213	376	151
214	377	149
215	379	147
216	381	145
217	383	144
218	384	142
219	386	140
220	387	138
221	388	136
222	390	134
223	392	133
224	393	131
225	395	129
226	397	127
227	398	125
228	400	124
229	402	122
230	403	120
231	404	118
232	406	116
233	407	114
234	409	113
235	410	111
236	412	109
237	414	108
238	416	106
239	418	104
240	420	103
241	422	101
242	424	99
243	426	97
244	428	96
245	429	94
246	430	92
247	432	90
248	433	88
249	435	87
250	437	85
251	438	83
252	440	81
253	441	79
254	442	78
255	444	76
256	445	74
257	447	72
258	448	71
259	450	69
260	452	67
261	454	65
262	455	64
263	457	62
264	458	60
265	460	58
266	462	57
267	464	55
268	465	53
269	467	51
270	468	50
271	470	48
272	472	46
273	473	44
274	475	43
275	477	41
276	480	39
277	482	38
278	484	36
279	486	34
280	487	32
281	489	31
282	491	29
283	493	27
284	494	26
285	496	24
286	498	22
287	500	20
288	502	19
289	504	17
290	505	15
291	507	13
292	509	12
293	511	10
294	512	8
295	514	6
296	515	5
297	517	3
298	519	1
299	521	0
