Region,Target,Strategy,Model,Features Used,Features Abbreviated,MSE,R²,MAE,RMSE,MAPE,WAPE
Asia & Oceania,Residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,950.34,0.55,20.59,30.83,25.65,23.28
Asia & Oceania,Non-residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,941.42,0.6,21.13,30.68,14.48,14.85
Europe,Residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,6790.8,-1.16,59.32,82.41,44.04,30.63
Europe,Non-residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,9551.07,-1.2,63.99,97.73,38.45,27.16
Africa,Residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,179.66,-0.09,7.2,13.4,8.76,9.7
Africa,Non-residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,151.8,0.03,5.18,12.32,8.4,5.0
Central and South America,Residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,113.8,-0.08,8.72,10.67,11.88,11.64
Central and South America,Non-residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,82.92,-1.05,6.75,9.11,6.33,6.37
Northern America,Residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,935.1,0.38,22.55,30.58,11.45,13.33
Northern America,Non-residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,4611.83,-1.43,60.21,67.91,21.15,22.14
Total,Residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,1793.94,-0.07999999999999996,23.676,33.577999999999996,20.356,17.716
Total,Non-residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,3067.808,-0.61,31.452000000000005,43.55,17.762,15.104
