,Region,Target,Strategy,Model,Model Details,Features Used,Features Abbreviated,MSE,RMSE,MAE,R²,MAPE,WAPE
0,Asia & Oceania,Residential EUI (kWh/m2/year),within_domain,LR Lasso,"Lasso, alpha = 1.0","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_10_0, Cluster_10_1, Cluster_10_2, Cluster_10_3, Cluster_10_4, Cluster_10_5, Cluster_10_6, Cluster_10_7, Cluster_10_8, Cluster_10_9",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9,947.895,30.788,22.277,0.562,28.5,25.4
1,Asia & Oceania,Non-residential EUI (kWh/m2/year),within_domain,LR Lasso,"Lasso, alpha = 1.0","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_10_0, Cluster_10_1, Cluster_10_2, Cluster_10_3, Cluster_10_4, Cluster_10_5, Cluster_10_6, Cluster_10_7, Cluster_10_8, Cluster_10_9",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9,599.468,24.484,18.426,0.569,13.8,13.5
2,Europe,Residential EUI (kWh/m2/year),within_domain,LR Lasso,"Lasso, alpha = 1.0","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_10_0, Cluster_10_1, Cluster_10_2, Cluster_10_3, Cluster_10_4, Cluster_10_5, Cluster_10_6, Cluster_10_7, Cluster_10_8, Cluster_10_9",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9,4984.19,70.599,50.891,-0.588,38.5,26.3
3,Europe,Non-residential EUI (kWh/m2/year),within_domain,LR Lasso,"Lasso, alpha = 1.0","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_10_0, Cluster_10_1, Cluster_10_2, Cluster_10_3, Cluster_10_4, Cluster_10_5, Cluster_10_6, Cluster_10_7, Cluster_10_8, Cluster_10_9",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9,4187.83,64.713,49.219,0.036,26.8,20.9
4,Africa,Residential EUI (kWh/m2/year),within_domain,LR Lasso,"Lasso, alpha = 1.0","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_10_0, Cluster_10_1, Cluster_10_2, Cluster_10_3, Cluster_10_4, Cluster_10_5, Cluster_10_6, Cluster_10_7, Cluster_10_8, Cluster_10_9",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9,107.42,10.364,6.354,0.348,8.1,8.6
5,Africa,Non-residential EUI (kWh/m2/year),within_domain,LR Lasso,"Lasso, alpha = 1.0","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_10_0, Cluster_10_1, Cluster_10_2, Cluster_10_3, Cluster_10_4, Cluster_10_5, Cluster_10_6, Cluster_10_7, Cluster_10_8, Cluster_10_9",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9,156.797,12.522,4.695,0.003,8.1,4.5
6,Central and South America,Residential EUI (kWh/m2/year),within_domain,LR Lasso,"Lasso, alpha = 1.0","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_10_0, Cluster_10_1, Cluster_10_2, Cluster_10_3, Cluster_10_4, Cluster_10_5, Cluster_10_6, Cluster_10_7, Cluster_10_8, Cluster_10_9",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9,50.081,7.077,5.484,0.525,7.1,7.3
7,Central and South America,Non-residential EUI (kWh/m2/year),within_domain,LR Lasso,"Lasso, alpha = 1.0","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_10_0, Cluster_10_1, Cluster_10_2, Cluster_10_3, Cluster_10_4, Cluster_10_5, Cluster_10_6, Cluster_10_7, Cluster_10_8, Cluster_10_9",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9,40.21,6.341,5.015,0.065,4.8,4.7
8,Northern America,Residential EUI (kWh/m2/year),within_domain,LR Lasso,"Lasso, alpha = 1.0","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_10_0, Cluster_10_1, Cluster_10_2, Cluster_10_3, Cluster_10_4, Cluster_10_5, Cluster_10_6, Cluster_10_7, Cluster_10_8, Cluster_10_9",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9,884.989,29.749,23.932,0.418,12.6,14.2
9,Northern America,Non-residential EUI (kWh/m2/year),within_domain,LR Lasso,"Lasso, alpha = 1.0","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_10_0, Cluster_10_1, Cluster_10_2, Cluster_10_3, Cluster_10_4, Cluster_10_5, Cluster_10_6, Cluster_10_7, Cluster_10_8, Cluster_10_9",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9,4363.828,66.059,52.114,-1.295,17.5,19.2
10,Asia & Oceania,Residential EUI (kWh/m2/year),cross_domain,LR Lasso,"Lasso, alpha = 1.0","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_10_0, Cluster_10_1, Cluster_10_2, Cluster_10_3, Cluster_10_4, Cluster_10_5, Cluster_10_6, Cluster_10_7, Cluster_10_8, Cluster_10_9",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9,1215.547,34.865,27.995,0.439,44.5,31.9
