,Region,Target,Strategy,Model,Model Details,Features Used,Features Abbreviated,MSE,RMSE,MAE,R²,MAPE,WAPE
0,Asia & Oceania,Residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations=100, depth=6, learning_rate=0.1, loss_function=RMSE, verbose=False, random_seed=42, eval_metric=RMSE, early_stopping_rounds=20, subsample=0.8, colsample_bylevel=0.8, l2_leaf_reg=3, bootstrap_type=Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_10_0, Cluster_10_1, Cluster_10_2, Cluster_10_3, Cluster_10_4, Cluster_10_5, Cluster_10_6, Cluster_10_7, Cluster_10_8, Cluster_10_9",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9,813.035,28.514,18.529,0.624,20.3,21.1
1,Asia & Oceania,Non-residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations=100, depth=6, learning_rate=0.1, loss_function=RMSE, verbose=False, random_seed=42, eval_metric=RMSE, early_stopping_rounds=20, subsample=0.8, colsample_bylevel=0.8, l2_leaf_reg=3, bootstrap_type=Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_10_0, Cluster_10_1, Cluster_10_2, Cluster_10_3, Cluster_10_4, Cluster_10_5, Cluster_10_6, Cluster_10_7, Cluster_10_8, Cluster_10_9",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9,198.951,14.105,8.773,0.857,5.7,6.4
2,Europe,Residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations=100, depth=6, learning_rate=0.1, loss_function=RMSE, verbose=False, random_seed=42, eval_metric=RMSE, early_stopping_rounds=20, subsample=0.8, colsample_bylevel=0.8, l2_leaf_reg=3, bootstrap_type=Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_10_0, Cluster_10_1, Cluster_10_2, Cluster_10_3, Cluster_10_4, Cluster_10_5, Cluster_10_6, Cluster_10_7, Cluster_10_8, Cluster_10_9",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9,3022.519,54.977,43.178,0.037,28.1,22.3
3,Europe,Non-residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations=100, depth=6, learning_rate=0.1, loss_function=RMSE, verbose=False, random_seed=42, eval_metric=RMSE, early_stopping_rounds=20, subsample=0.8, colsample_bylevel=0.8, l2_leaf_reg=3, bootstrap_type=Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_10_0, Cluster_10_1, Cluster_10_2, Cluster_10_3, Cluster_10_4, Cluster_10_5, Cluster_10_6, Cluster_10_7, Cluster_10_8, Cluster_10_9",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9,3422.399,58.501,46.445,0.212,22.9,19.7
4,Africa,Residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations=100, depth=6, learning_rate=0.1, loss_function=RMSE, verbose=False, random_seed=42, eval_metric=RMSE, early_stopping_rounds=20, subsample=0.8, colsample_bylevel=0.8, l2_leaf_reg=3, bootstrap_type=Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_10_0, Cluster_10_1, Cluster_10_2, Cluster_10_3, Cluster_10_4, Cluster_10_5, Cluster_10_6, Cluster_10_7, Cluster_10_8, Cluster_10_9",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9,79.775,8.932,5.51,0.516,6.6,7.4
5,Africa,Non-residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations=100, depth=6, learning_rate=0.1, loss_function=RMSE, verbose=False, random_seed=42, eval_metric=RMSE, early_stopping_rounds=20, subsample=0.8, colsample_bylevel=0.8, l2_leaf_reg=3, bootstrap_type=Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_10_0, Cluster_10_1, Cluster_10_2, Cluster_10_3, Cluster_10_4, Cluster_10_5, Cluster_10_6, Cluster_10_7, Cluster_10_8, Cluster_10_9",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9,157.637,12.555,4.519,-0.002,7.9,4.4
6,Central and South America,Residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations=100, depth=6, learning_rate=0.1, loss_function=RMSE, verbose=False, random_seed=42, eval_metric=RMSE, early_stopping_rounds=20, subsample=0.8, colsample_bylevel=0.8, l2_leaf_reg=3, bootstrap_type=Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_10_0, Cluster_10_1, Cluster_10_2, Cluster_10_3, Cluster_10_4, Cluster_10_5, Cluster_10_6, Cluster_10_7, Cluster_10_8, Cluster_10_9",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9,23.804,4.879,4.232,0.774,5.6,5.6
7,Central and South America,Non-residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations=100, depth=6, learning_rate=0.1, loss_function=RMSE, verbose=False, random_seed=42, eval_metric=RMSE, early_stopping_rounds=20, subsample=0.8, colsample_bylevel=0.8, l2_leaf_reg=3, bootstrap_type=Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_10_0, Cluster_10_1, Cluster_10_2, Cluster_10_3, Cluster_10_4, Cluster_10_5, Cluster_10_6, Cluster_10_7, Cluster_10_8, Cluster_10_9",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9,26.723,5.169,3.325,0.379,3.3,3.1
8,Northern America,Residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations=100, depth=6, learning_rate=0.1, loss_function=RMSE, verbose=False, random_seed=42, eval_metric=RMSE, early_stopping_rounds=20, subsample=0.8, colsample_bylevel=0.8, l2_leaf_reg=3, bootstrap_type=Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_10_0, Cluster_10_1, Cluster_10_2, Cluster_10_3, Cluster_10_4, Cluster_10_5, Cluster_10_6, Cluster_10_7, Cluster_10_8, Cluster_10_9",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9,1123.027,33.512,25.088,0.261,13.1,14.8
9,Northern America,Non-residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations=100, depth=6, learning_rate=0.1, loss_function=RMSE, verbose=False, random_seed=42, eval_metric=RMSE, early_stopping_rounds=20, subsample=0.8, colsample_bylevel=0.8, l2_leaf_reg=3, bootstrap_type=Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_10_0, Cluster_10_1, Cluster_10_2, Cluster_10_3, Cluster_10_4, Cluster_10_5, Cluster_10_6, Cluster_10_7, Cluster_10_8, Cluster_10_9",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9,3149.662,56.122,33.983,-0.657,10.4,12.5
10,Asia & Oceania,Residential EUI (kWh/m2/year),cross_domain,CatBoostRegressor,"iterations=100, depth=6, learning_rate=0.1, loss_function=RMSE, verbose=False, random_seed=42, eval_metric=RMSE, early_stopping_rounds=20, subsample=0.8, colsample_bylevel=0.8, l2_leaf_reg=3, bootstrap_type=Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_10_0, Cluster_10_1, Cluster_10_2, Cluster_10_3, Cluster_10_4, Cluster_10_5, Cluster_10_6, Cluster_10_7, Cluster_10_8, Cluster_10_9",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9,1265.283,35.571,22.398,0.416,24.0,25.5
