,Region,Target,Strategy,Model,Model Details,Features Used,Features Abbreviated,MSE,RMSE,MAE,R²,MAPE,WAPE
0,Asia & Oceania,Residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators = 100, max_depth = 10, min_samples_split = 2, min_samples_leaf = 1, max_features = sqrt, bootstrap = True, random_state = 42, n_jobs = -1","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,738.446,27.174,15.79,0.649,14.9,17.9
1,Asia & Oceania,Non-residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators = 100, max_depth = 10, min_samples_split = 2, min_samples_leaf = 1, max_features = sqrt, bootstrap = True, random_state = 42, n_jobs = -1","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,270.577,16.449,10.087,0.885,6.6,7.1
2,Europe,Residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators = 100, max_depth = 10, min_samples_split = 2, min_samples_leaf = 1, max_features = sqrt, bootstrap = True, random_state = 42, n_jobs = -1","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,2894.842,53.804,38.719,0.078,22.8,20.0
3,Europe,Non-residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators = 100, max_depth = 10, min_samples_split = 2, min_samples_leaf = 1, max_features = sqrt, bootstrap = True, random_state = 42, n_jobs = -1","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,3751.281,61.248,39.195,0.136,15.2,16.6
4,Africa,Residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators = 100, max_depth = 10, min_samples_split = 2, min_samples_leaf = 1, max_features = sqrt, bootstrap = True, random_state = 42, n_jobs = -1","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,407.811,20.194,11.071,-1.473,12.7,14.9
5,Africa,Non-residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators = 100, max_depth = 10, min_samples_split = 2, min_samples_leaf = 1, max_features = sqrt, bootstrap = True, random_state = 42, n_jobs = -1","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,180.066,13.419,6.034,-0.145,9.3,5.8
6,Central and South America,Residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators = 100, max_depth = 10, min_samples_split = 2, min_samples_leaf = 1, max_features = sqrt, bootstrap = True, random_state = 42, n_jobs = -1","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,62.644,7.915,4.302,0.408,6.0,5.7
7,Central and South America,Non-residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators = 100, max_depth = 10, min_samples_split = 2, min_samples_leaf = 1, max_features = sqrt, bootstrap = True, random_state = 42, n_jobs = -1","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,16.843,4.104,3.325,0.584,3.1,3.1
8,Northern America,Residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators = 100, max_depth = 10, min_samples_split = 2, min_samples_leaf = 1, max_features = sqrt, bootstrap = True, random_state = 42, n_jobs = -1","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,1820.01,42.662,29.825,-0.197,14.7,17.6
9,Northern America,Non-residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators = 100, max_depth = 10, min_samples_split = 2, min_samples_leaf = 1, max_features = sqrt, bootstrap = True, random_state = 42, n_jobs = -1","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,2131.257,46.166,29.14,-0.121,9.0,10.7
10,Asia & Oceania,Residential EUI (kWh/m2/year),cross_domain,RandomForestRegressor,"n_estimators = 100, max_depth = 10, min_samples_split = 2, min_samples_leaf = 1, max_features = sqrt, bootstrap = True, random_state = 42, n_jobs = -1","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,1190.757,34.507,25.551,0.434,34.5,28.9
