,Region,Target,Strategy,Model,Model Details,Features Used,Features Abbreviated,MSE,RMSE,MAE,R²,MAPE,WAPE
0,Asia & Oceania,Residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations = 100, depth = 6, learning_rate = 0.1, loss_function = RMSE, verbose = False, random_seed = 42, eval_metric = RMSE, early_stopping_rounds = 20, subsample = 0.8, colsample_bylevel = 0.8, l2_leaf_reg = 3, bootstrap_type = Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,907.683,30.128,15.52,0.568,14.5,17.5
1,Asia & Oceania,Non-residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations = 100, depth = 6, learning_rate = 0.1, loss_function = RMSE, verbose = False, random_seed = 42, eval_metric = RMSE, early_stopping_rounds = 20, subsample = 0.8, colsample_bylevel = 0.8, l2_leaf_reg = 3, bootstrap_type = Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,356.742,18.888,8.862,0.848,5.2,6.2
2,Europe,Residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations = 100, depth = 6, learning_rate = 0.1, loss_function = RMSE, verbose = False, random_seed = 42, eval_metric = RMSE, early_stopping_rounds = 20, subsample = 0.8, colsample_bylevel = 0.8, l2_leaf_reg = 3, bootstrap_type = Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,1442.614,37.982,27.848,0.54,16.4,14.4
3,Europe,Non-residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations = 100, depth = 6, learning_rate = 0.1, loss_function = RMSE, verbose = False, random_seed = 42, eval_metric = RMSE, early_stopping_rounds = 20, subsample = 0.8, colsample_bylevel = 0.8, l2_leaf_reg = 3, bootstrap_type = Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,3780.626,61.487,39.831,0.129,17.2,16.9
4,Africa,Residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations = 100, depth = 6, learning_rate = 0.1, loss_function = RMSE, verbose = False, random_seed = 42, eval_metric = RMSE, early_stopping_rounds = 20, subsample = 0.8, colsample_bylevel = 0.8, l2_leaf_reg = 3, bootstrap_type = Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,728.934,26.999,13.388,-3.421,15.3,18.0
5,Africa,Non-residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations = 100, depth = 6, learning_rate = 0.1, loss_function = RMSE, verbose = False, random_seed = 42, eval_metric = RMSE, early_stopping_rounds = 20, subsample = 0.8, colsample_bylevel = 0.8, l2_leaf_reg = 3, bootstrap_type = Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,207.095,14.391,6.429,-0.317,9.7,6.2
6,Central and South America,Residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations = 100, depth = 6, learning_rate = 0.1, loss_function = RMSE, verbose = False, random_seed = 42, eval_metric = RMSE, early_stopping_rounds = 20, subsample = 0.8, colsample_bylevel = 0.8, l2_leaf_reg = 3, bootstrap_type = Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,69.702,8.349,4.39,0.341,6.1,5.9
7,Central and South America,Non-residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations = 100, depth = 6, learning_rate = 0.1, loss_function = RMSE, verbose = False, random_seed = 42, eval_metric = RMSE, early_stopping_rounds = 20, subsample = 0.8, colsample_bylevel = 0.8, l2_leaf_reg = 3, bootstrap_type = Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,16.934,4.115,2.937,0.582,2.7,2.8
8,Northern America,Residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations = 100, depth = 6, learning_rate = 0.1, loss_function = RMSE, verbose = False, random_seed = 42, eval_metric = RMSE, early_stopping_rounds = 20, subsample = 0.8, colsample_bylevel = 0.8, l2_leaf_reg = 3, bootstrap_type = Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,1281.124,35.793,26.093,0.157,13.3,15.4
9,Northern America,Non-residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations = 100, depth = 6, learning_rate = 0.1, loss_function = RMSE, verbose = False, random_seed = 42, eval_metric = RMSE, early_stopping_rounds = 20, subsample = 0.8, colsample_bylevel = 0.8, l2_leaf_reg = 3, bootstrap_type = Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,1520.556,38.994,25.717,0.2,8.1,9.5
10,Asia & Oceania,Residential EUI (kWh/m2/year),cross_domain,CatBoostRegressor,"iterations = 100, depth = 6, learning_rate = 0.1, loss_function = RMSE, verbose = False, random_seed = 42, eval_metric = RMSE, early_stopping_rounds = 20, subsample = 0.8, colsample_bylevel = 0.8, l2_leaf_reg = 3, bootstrap_type = Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,1125.457,33.548,21.5,0.465,25.5,24.3
