,Region,Target,Strategy,Model,Model Details,Features Used,Features Abbreviated,MSE,RMSE,MAE,R²,MAPE,WAPE
0,Asia & Oceania,Residential EUI (kWh/m2/year),within_domain,KNeighborsRegressor,"n_neighbors = 5, weights = distance, algorithm = auto, leaf_size = 30, p = 2, metric = minkowski, n_jobs = -1","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew | Precip,1178.48,34.329,20.782,0.439,21.9,23.5
1,Asia & Oceania,Non-residential EUI (kWh/m2/year),within_domain,KNeighborsRegressor,"n_neighbors = 5, weights = distance, algorithm = auto, leaf_size = 30, p = 2, metric = minkowski, n_jobs = -1","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew | Precip,529.288,23.006,11.157,0.775,6.6,7.8
2,Europe,Residential EUI (kWh/m2/year),within_domain,KNeighborsRegressor,"n_neighbors = 5, weights = distance, algorithm = auto, leaf_size = 30, p = 2, metric = minkowski, n_jobs = -1","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew | Precip,2698.741,51.949,38.067,0.14,25.3,19.7
3,Europe,Non-residential EUI (kWh/m2/year),within_domain,KNeighborsRegressor,"n_neighbors = 5, weights = distance, algorithm = auto, leaf_size = 30, p = 2, metric = minkowski, n_jobs = -1","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew | Precip,3028.553,55.032,37.985,0.303,17.4,16.1
4,Africa,Residential EUI (kWh/m2/year),within_domain,KNeighborsRegressor,"n_neighbors = 5, weights = distance, algorithm = auto, leaf_size = 30, p = 2, metric = minkowski, n_jobs = -1","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew | Precip,128.667,11.343,6.952,0.22,8.2,9.4
5,Africa,Non-residential EUI (kWh/m2/year),within_domain,KNeighborsRegressor,"n_neighbors = 5, weights = distance, algorithm = auto, leaf_size = 30, p = 2, metric = minkowski, n_jobs = -1","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew | Precip,169.524,13.02,5.932,-0.078,9.2,5.7
6,Central and South America,Residential EUI (kWh/m2/year),within_domain,KNeighborsRegressor,"n_neighbors = 5, weights = distance, algorithm = auto, leaf_size = 30, p = 2, metric = minkowski, n_jobs = -1","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew | Precip,36.468,6.039,4.876,0.655,6.3,6.5
7,Central and South America,Non-residential EUI (kWh/m2/year),within_domain,KNeighborsRegressor,"n_neighbors = 5, weights = distance, algorithm = auto, leaf_size = 30, p = 2, metric = minkowski, n_jobs = -1","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew | Precip,33.43,5.782,4.179,0.174,4.0,3.9
8,Northern America,Residential EUI (kWh/m2/year),within_domain,KNeighborsRegressor,"n_neighbors = 5, weights = distance, algorithm = auto, leaf_size = 30, p = 2, metric = minkowski, n_jobs = -1","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew | Precip,1071.648,32.736,27.647,0.295,15.6,16.3
9,Northern America,Non-residential EUI (kWh/m2/year),within_domain,KNeighborsRegressor,"n_neighbors = 5, weights = distance, algorithm = auto, leaf_size = 30, p = 2, metric = minkowski, n_jobs = -1","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew | Precip,3176.935,56.364,36.509,-0.671,11.4,13.4
10,Asia & Oceania,Residential EUI (kWh/m2/year),cross_domain,KNeighborsRegressor,"n_neighbors = 5, weights = distance, algorithm = auto, leaf_size = 30, p = 2, metric = minkowski, n_jobs = -1","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew | Precip,1593.791,39.922,28.679,0.242,36.9,32.4
11,Asia & Oceania,Non-residential EUI (kWh/m2/year),cross_domain,KNeighborsRegressor,"n_neighbors = 5, weights = distance, algorithm = auto, leaf_size = 30, p = 2, metric = minkowski, n_jobs = -1","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew | Precip,2697.921,51.942,32.36,-0.148,20.1,22.7
12,Europe,Residential EUI (kWh/m2/year),cross_domain,KNeighborsRegressor,"n_neighbors = 5, weights = distance, algorithm = auto, leaf_size = 30, p = 2, metric = minkowski, n_jobs = -1","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew | Precip,3370.188,58.053,48.131,-0.074,27.9,24.9
