,Region,Target,Strategy,Model,Model Details,Features Used,Features Abbreviated,MSE,RMSE,MAE,R²,MAPE,WAPE
0,Asia & Oceania,Residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators = 100, max_depth = 10, min_samples_split = 2, min_samples_leaf = 1, max_features = sqrt, bootstrap = True, random_state = 42, n_jobs = -1","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew | Precip,824.877,28.721,18.5,0.608,20.2,20.9
1,Asia & Oceania,Non-residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators = 100, max_depth = 10, min_samples_split = 2, min_samples_leaf = 1, max_features = sqrt, bootstrap = True, random_state = 42, n_jobs = -1","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew | Precip,309.013,17.579,10.255,0.869,6.7,7.2
2,Europe,Residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators = 100, max_depth = 10, min_samples_split = 2, min_samples_leaf = 1, max_features = sqrt, bootstrap = True, random_state = 42, n_jobs = -1","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew | Precip,2566.911,50.665,35.087,0.182,21.7,18.1
3,Europe,Non-residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators = 100, max_depth = 10, min_samples_split = 2, min_samples_leaf = 1, max_features = sqrt, bootstrap = True, random_state = 42, n_jobs = -1","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew | Precip,3557.785,59.647,41.744,0.181,17.6,17.7
4,Africa,Residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators = 100, max_depth = 10, min_samples_split = 2, min_samples_leaf = 1, max_features = sqrt, bootstrap = True, random_state = 42, n_jobs = -1","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew | Precip,30.262,5.501,4.482,0.816,5.8,6.0
5,Africa,Non-residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators = 100, max_depth = 10, min_samples_split = 2, min_samples_leaf = 1, max_features = sqrt, bootstrap = True, random_state = 42, n_jobs = -1","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew | Precip,156.121,12.495,4.169,0.007,7.6,4.0
6,Central and South America,Residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators = 100, max_depth = 10, min_samples_split = 2, min_samples_leaf = 1, max_features = sqrt, bootstrap = True, random_state = 42, n_jobs = -1","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew | Precip,24.041,4.903,3.674,0.773,4.6,4.9
7,Central and South America,Non-residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators = 100, max_depth = 10, min_samples_split = 2, min_samples_leaf = 1, max_features = sqrt, bootstrap = True, random_state = 42, n_jobs = -1","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew | Precip,38.903,6.237,3.815,0.039,3.8,3.6
8,Northern America,Residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators = 100, max_depth = 10, min_samples_split = 2, min_samples_leaf = 1, max_features = sqrt, bootstrap = True, random_state = 42, n_jobs = -1","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew | Precip,1568.012,39.598,27.994,-0.032,14.0,16.6
9,Northern America,Non-residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators = 100, max_depth = 10, min_samples_split = 2, min_samples_leaf = 1, max_features = sqrt, bootstrap = True, random_state = 42, n_jobs = -1","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew | Precip,2120.028,46.044,28.866,-0.115,8.9,10.6
10,Asia & Oceania,Residential EUI (kWh/m2/year),cross_domain,RandomForestRegressor,"n_estimators = 100, max_depth = 10, min_samples_split = 2, min_samples_leaf = 1, max_features = sqrt, bootstrap = True, random_state = 42, n_jobs = -1","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew | Precip,1010.426,31.787,24.994,0.519,35.4,28.3
