,Region,Target,Strategy,Model,Model Details,Features Used,Features Abbreviated,MSE,RMSE,MAE,R²,MAPE,WAPE
0,Asia & Oceania,Residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations = 100, depth = 10, learning_rate = 0.05, loss_function = RMSE, verbose = False, random_seed = 42, eval_metric = MAPE, early_stopping_rounds = 20, subsample = 0.8, colsample_bylevel = 0.8, l2_leaf_reg = 3, bootstrap_type = Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew | Precip,639.029,25.279,15.599,0.696,15.3,17.6
1,Asia & Oceania,Non-residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations = 100, depth = 10, learning_rate = 0.05, loss_function = RMSE, verbose = False, random_seed = 42, eval_metric = MAPE, early_stopping_rounds = 20, subsample = 0.8, colsample_bylevel = 0.8, l2_leaf_reg = 3, bootstrap_type = Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew | Precip,287.673,16.961,8.547,0.878,4.9,6.0
2,Europe,Residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations = 100, depth = 10, learning_rate = 0.05, loss_function = RMSE, verbose = False, random_seed = 42, eval_metric = MAPE, early_stopping_rounds = 20, subsample = 0.8, colsample_bylevel = 0.8, l2_leaf_reg = 3, bootstrap_type = Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew | Precip,1952.973,44.192,30.824,0.378,18.9,15.9
3,Europe,Non-residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations = 100, depth = 10, learning_rate = 0.05, loss_function = RMSE, verbose = False, random_seed = 42, eval_metric = MAPE, early_stopping_rounds = 20, subsample = 0.8, colsample_bylevel = 0.8, l2_leaf_reg = 3, bootstrap_type = Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew | Precip,3496.691,59.133,38.297,0.195,16.1,16.3
4,Africa,Residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations = 100, depth = 10, learning_rate = 0.05, loss_function = RMSE, verbose = False, random_seed = 42, eval_metric = MAPE, early_stopping_rounds = 20, subsample = 0.8, colsample_bylevel = 0.8, l2_leaf_reg = 3, bootstrap_type = Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew | Precip,62.579,7.911,5.218,0.62,6.3,7.0
5,Africa,Non-residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations = 100, depth = 10, learning_rate = 0.05, loss_function = RMSE, verbose = False, random_seed = 42, eval_metric = MAPE, early_stopping_rounds = 20, subsample = 0.8, colsample_bylevel = 0.8, l2_leaf_reg = 3, bootstrap_type = Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew | Precip,150.194,12.255,4.096,0.045,7.5,4.0
6,Central and South America,Residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations = 100, depth = 10, learning_rate = 0.05, loss_function = RMSE, verbose = False, random_seed = 42, eval_metric = MAPE, early_stopping_rounds = 20, subsample = 0.8, colsample_bylevel = 0.8, l2_leaf_reg = 3, bootstrap_type = Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew | Precip,28.096,5.301,3.611,0.735,4.6,4.8
7,Central and South America,Non-residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations = 100, depth = 10, learning_rate = 0.05, loss_function = RMSE, verbose = False, random_seed = 42, eval_metric = MAPE, early_stopping_rounds = 20, subsample = 0.8, colsample_bylevel = 0.8, l2_leaf_reg = 3, bootstrap_type = Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew | Precip,18.886,4.346,3.132,0.533,3.0,3.0
8,Northern America,Residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations = 100, depth = 10, learning_rate = 0.05, loss_function = RMSE, verbose = False, random_seed = 42, eval_metric = MAPE, early_stopping_rounds = 20, subsample = 0.8, colsample_bylevel = 0.8, l2_leaf_reg = 3, bootstrap_type = Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew | Precip,774.394,27.828,21.33,0.49,11.3,12.6
9,Northern America,Non-residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations = 100, depth = 10, learning_rate = 0.05, loss_function = RMSE, verbose = False, random_seed = 42, eval_metric = MAPE, early_stopping_rounds = 20, subsample = 0.8, colsample_bylevel = 0.8, l2_leaf_reg = 3, bootstrap_type = Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew | Precip,1441.32,37.965,27.025,0.242,8.7,9.9
10,Asia & Oceania,Residential EUI (kWh/m2/year),cross_domain,CatBoostRegressor,"iterations = 100, depth = 10, learning_rate = 0.05, loss_function = RMSE, verbose = False, random_seed = 42, eval_metric = MAPE, early_stopping_rounds = 20, subsample = 0.8, colsample_bylevel = 0.8, l2_leaf_reg = 3, bootstrap_type = Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew | Precip,1160.096,34.06,24.834,0.448,32.2,28.1
