,Region,Target,Strategy,Model,Model Details,Features Used,Features Abbreviated,MSE,RMSE,MAE,R²,MAPE,WAPE
0,Asia & Oceania,Residential EUI (kWh/m2/year),within_domain,KNeighborsRegressor,n_neighbors=3,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,735.31,27.117,17.493,0.65,17.9,19.8
1,Asia & Oceania,Non-residential EUI (kWh/m2/year),within_domain,KNeighborsRegressor,n_neighbors=3,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,234.527,15.314,8.501,0.9,5.1,6.0
2,Europe,Residential EUI (kWh/m2/year),within_domain,KNeighborsRegressor,n_neighbors=3,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,2942.126,54.241,41.982,0.062,27.7,21.7
3,Europe,Non-residential EUI (kWh/m2/year),within_domain,KNeighborsRegressor,n_neighbors=3,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,5397.447,73.467,53.398,-0.243,24.8,22.7
4,Africa,Residential EUI (kWh/m2/year),within_domain,KNeighborsRegressor,n_neighbors=3,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,135.371,11.635,6.71,0.179,7.9,9.0
5,Africa,Non-residential EUI (kWh/m2/year),within_domain,KNeighborsRegressor,n_neighbors=3,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,169.94,13.036,5.428,-0.08,8.7,5.2
6,Central and South America,Residential EUI (kWh/m2/year),within_domain,KNeighborsRegressor,n_neighbors=3,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,36.607,6.05,4.778,0.654,6.4,6.4
7,Central and South America,Non-residential EUI (kWh/m2/year),within_domain,KNeighborsRegressor,n_neighbors=3,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,35.339,5.945,3.902,0.127,3.7,3.7
8,Northern America,Residential EUI (kWh/m2/year),within_domain,KNeighborsRegressor,n_neighbors=3,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,909.011,30.15,26.865,0.402,15.0,15.9
9,Northern America,Non-residential EUI (kWh/m2/year),within_domain,KNeighborsRegressor,n_neighbors=3,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,3082.706,55.522,39.07,-0.621,12.6,14.4
10,Asia & Oceania,Residential EUI (kWh/m2/year),cross_domain,KNeighborsRegressor,n_neighbors=3,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,1404.993,37.483,27.565,0.332,35.5,31.2
