,Region,Target,Strategy,Model,Model Details,Features Used,Features Abbreviated,MSE,RMSE,MAE,R²,MAPE,WAPE
0,Asia & Oceania,Residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations=100, depth=6, learning_rate=0.1, loss_function=RMSE, verbose=False, random_seed=42, eval_metric=RMSE, early_stopping_rounds=20, subsample=0.8, colsample_bylevel=0.8, l2_leaf_reg=3, bootstrap_type=Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,712.863,26.699,16.972,0.661,17.5,19.2
1,Asia & Oceania,Non-residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations=100, depth=6, learning_rate=0.1, loss_function=RMSE, verbose=False, random_seed=42, eval_metric=RMSE, early_stopping_rounds=20, subsample=0.8, colsample_bylevel=0.8, l2_leaf_reg=3, bootstrap_type=Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,405.45,20.136,9.078,0.828,5.3,6.4
2,Europe,Residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations=100, depth=6, learning_rate=0.1, loss_function=RMSE, verbose=False, random_seed=42, eval_metric=RMSE, early_stopping_rounds=20, subsample=0.8, colsample_bylevel=0.8, l2_leaf_reg=3, bootstrap_type=Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,2103.082,45.859,33.184,0.33,19.8,17.1
3,Europe,Non-residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations=100, depth=6, learning_rate=0.1, loss_function=RMSE, verbose=False, random_seed=42, eval_metric=RMSE, early_stopping_rounds=20, subsample=0.8, colsample_bylevel=0.8, l2_leaf_reg=3, bootstrap_type=Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,4084.026,63.906,42.126,0.059,18.9,17.9
4,Africa,Residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations=100, depth=6, learning_rate=0.1, loss_function=RMSE, verbose=False, random_seed=42, eval_metric=RMSE, early_stopping_rounds=20, subsample=0.8, colsample_bylevel=0.8, l2_leaf_reg=3, bootstrap_type=Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,104.702,10.232,6.823,0.365,8.3,9.2
5,Africa,Non-residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations=100, depth=6, learning_rate=0.1, loss_function=RMSE, verbose=False, random_seed=42, eval_metric=RMSE, early_stopping_rounds=20, subsample=0.8, colsample_bylevel=0.8, l2_leaf_reg=3, bootstrap_type=Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,156.059,12.492,4.8,0.008,8.1,4.6
6,Central and South America,Residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations=100, depth=6, learning_rate=0.1, loss_function=RMSE, verbose=False, random_seed=42, eval_metric=RMSE, early_stopping_rounds=20, subsample=0.8, colsample_bylevel=0.8, l2_leaf_reg=3, bootstrap_type=Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,27.295,5.224,3.884,0.742,5.1,5.2
7,Central and South America,Non-residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations=100, depth=6, learning_rate=0.1, loss_function=RMSE, verbose=False, random_seed=42, eval_metric=RMSE, early_stopping_rounds=20, subsample=0.8, colsample_bylevel=0.8, l2_leaf_reg=3, bootstrap_type=Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,13.963,3.737,2.784,0.655,2.6,2.6
8,Northern America,Residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations=100, depth=6, learning_rate=0.1, loss_function=RMSE, verbose=False, random_seed=42, eval_metric=RMSE, early_stopping_rounds=20, subsample=0.8, colsample_bylevel=0.8, l2_leaf_reg=3, bootstrap_type=Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,1171.225,34.223,27.059,0.229,14.2,16.0
9,Northern America,Non-residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations=100, depth=6, learning_rate=0.1, loss_function=RMSE, verbose=False, random_seed=42, eval_metric=RMSE, early_stopping_rounds=20, subsample=0.8, colsample_bylevel=0.8, l2_leaf_reg=3, bootstrap_type=Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,2538.924,50.388,42.441,-0.335,14.6,15.6
10,Asia & Oceania,Residential EUI (kWh/m2/year),cross_domain,CatBoostRegressor,"iterations=100, depth=6, learning_rate=0.1, loss_function=RMSE, verbose=False, random_seed=42, eval_metric=RMSE, early_stopping_rounds=20, subsample=0.8, colsample_bylevel=0.8, l2_leaf_reg=3, bootstrap_type=Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,1212.741,34.824,24.199,0.423,28.8,27.4
