,Region,Target,Strategy,Model,Model Details,Features Used,Features Abbreviated,MSE,RMSE,MAE,R²,MAPE,WAPE
0,Asia & Oceania,Residential EUI (kWh/m2/year),within_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,980.982,31.321,20.759,0.533,27.0,23.5
1,Asia & Oceania,Non-residential EUI (kWh/m2/year),within_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,994.227,31.531,20.199,0.577,13.4,14.2
2,Europe,Residential EUI (kWh/m2/year),within_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,7107.478,84.306,58.062,-1.265,43.6,30.0
3,Europe,Non-residential EUI (kWh/m2/year),within_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,7475.492,86.461,65.456,-0.722,36.8,27.8
4,Africa,Residential EUI (kWh/m2/year),within_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,142.555,11.94,8.643,0.135,11.1,11.6
5,Africa,Non-residential EUI (kWh/m2/year),within_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,140.243,11.842,5.446,0.108,8.5,5.3
6,Central and South America,Residential EUI (kWh/m2/year),within_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,40.125,6.334,5.06,0.621,6.7,6.8
7,Central and South America,Non-residential EUI (kWh/m2/year),within_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,38.456,6.201,5.352,0.05,5.1,5.0
8,Northern America,Residential EUI (kWh/m2/year),within_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,7165.123,84.647,71.3,-3.714,49.5,42.2
9,Northern America,Non-residential EUI (kWh/m2/year),within_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,106648.24,326.57,318.406,-55.095,116.0,117.1
10,Asia & Oceania,Residential EUI (kWh/m2/year),cross_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,1434.195,37.871,31.367,0.318,41.2,35.5
11,Asia & Oceania,Non-residential EUI (kWh/m2/year),cross_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,2328.518,48.255,30.903,0.009,18.8,21.7
12,Europe,Residential EUI (kWh/m2/year),cross_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,2262.898,47.57,37.81,0.279,22.8,19.5
13,Europe,Non-residential EUI (kWh/m2/year),cross_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,3322.685,57.643,42.943,0.235,20.9,18.2
14,Africa,Residential EUI (kWh/m2/year),cross_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,1593.228,39.915,33.726,-8.663,46.4,45.4
15,Africa,Non-residential EUI (kWh/m2/year),cross_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,4611.863,67.911,56.961,-28.32,56.8,55.0
16,Central and South America,Residential EUI (kWh/m2/year),cross_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,1194.45,34.561,30.92,-10.286,43.1,41.3
17,Central and South America,Non-residential EUI (kWh/m2/year),cross_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,4549.713,67.452,64.395,-111.404,61.5,60.7
18,Northern America,Residential EUI (kWh/m2/year),cross_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,1737.935,41.689,33.827,-0.143,18.1,20.0
19,Northern America,Non-residential EUI (kWh/m2/year),cross_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,12432.627,111.502,106.173,-5.539,38.1,39.0
20,Asia & Oceania,Residential EUI (kWh/m2/year),all_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,1018.545,31.915,23.649,0.516,33.3,26.7
21,Asia & Oceania,Non-residential EUI (kWh/m2/year),all_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,1348.527,36.722,23.041,0.426,14.2,16.2
22,Europe,Residential EUI (kWh/m2/year),all_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,2313.685,48.101,36.934,0.263,25.5,19.1
23,Europe,Non-residential EUI (kWh/m2/year),all_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,2977.667,54.568,38.949,0.314,20.0,16.5
24,Africa,Residential EUI (kWh/m2/year),all_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,498.614,22.33,18.905,-2.024,25.0,25.5
25,Africa,Non-residential EUI (kWh/m2/year),all_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,641.314,25.324,20.922,-3.077,23.5,20.2
26,Central and South America,Residential EUI (kWh/m2/year),all_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,193.549,13.912,11.501,-0.829,15.4,15.4
27,Central and South America,Non-residential EUI (kWh/m2/year),all_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,364.572,19.094,14.678,-8.007,14.4,13.8
28,Northern America,Residential EUI (kWh/m2/year),all_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,1318.094,36.306,29.541,0.133,15.8,17.5
29,Northern America,Non-residential EUI (kWh/m2/year),all_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,7804.219,88.341,81.094,-3.105,28.6,29.8
