,Region,Target,Strategy,Model,Model Details,Features Used,Features Abbreviated,MSE,RMSE,MAE,R²,MAPE,WAPE
0,Asia & Oceania,Residential EUI (kWh/m2/year),within_domain,KNeighborsRegressor,n_neighbors=1,"longitude_sin, longitude_cos, latitude_sin, latitude_cos",Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,1228.158,35.045,17.19,0.416,14.3,19.4
1,Asia & Oceania,Non-residential EUI (kWh/m2/year),within_domain,KNeighborsRegressor,n_neighbors=1,"longitude_sin, longitude_cos, latitude_sin, latitude_cos",Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,1803.422,42.467,17.017,0.233,8.6,12.0
2,Europe,Residential EUI (kWh/m2/year),within_domain,KNeighborsRegressor,n_neighbors=1,"longitude_sin, longitude_cos, latitude_sin, latitude_cos",Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,8732.746,93.449,70.193,-1.783,45.0,36.2
3,Europe,Non-residential EUI (kWh/m2/year),within_domain,KNeighborsRegressor,n_neighbors=1,"longitude_sin, longitude_cos, latitude_sin, latitude_cos",Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,8863.417,94.146,56.185,-1.041,23.4,23.8
4,Africa,Residential EUI (kWh/m2/year),within_domain,KNeighborsRegressor,n_neighbors=1,"longitude_sin, longitude_cos, latitude_sin, latitude_cos",Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,824.981,28.722,13.818,-4.004,15.7,18.6
5,Africa,Non-residential EUI (kWh/m2/year),within_domain,KNeighborsRegressor,n_neighbors=1,"longitude_sin, longitude_cos, latitude_sin, latitude_cos",Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,217.319,14.742,7.071,-0.382,10.2,6.8
6,Central and South America,Residential EUI (kWh/m2/year),within_domain,KNeighborsRegressor,n_neighbors=1,"longitude_sin, longitude_cos, latitude_sin, latitude_cos",Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,73.252,8.559,5.412,0.308,6.9,7.2
7,Central and South America,Non-residential EUI (kWh/m2/year),within_domain,KNeighborsRegressor,n_neighbors=1,"longitude_sin, longitude_cos, latitude_sin, latitude_cos",Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,18.668,4.321,2.714,0.539,2.5,2.6
8,Northern America,Residential EUI (kWh/m2/year),within_domain,KNeighborsRegressor,n_neighbors=1,"longitude_sin, longitude_cos, latitude_sin, latitude_cos",Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,258.605,16.081,13.752,0.83,9.5,8.1
9,Northern America,Non-residential EUI (kWh/m2/year),within_domain,KNeighborsRegressor,n_neighbors=1,"longitude_sin, longitude_cos, latitude_sin, latitude_cos",Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,1479.758,38.468,38.424,0.222,14.4,14.1
10,Asia & Oceania,Residential EUI (kWh/m2/year),cross_domain,KNeighborsRegressor,n_neighbors=1,"longitude_sin, longitude_cos, latitude_sin, latitude_cos",Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,1811.607,42.563,31.724,0.138,38.7,35.9
11,Asia & Oceania,Non-residential EUI (kWh/m2/year),cross_domain,KNeighborsRegressor,n_neighbors=1,"longitude_sin, longitude_cos, latitude_sin, latitude_cos",Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,3105.54,55.727,35.294,-0.321,20.7,24.8
12,Europe,Residential EUI (kWh/m2/year),cross_domain,KNeighborsRegressor,n_neighbors=1,"longitude_sin, longitude_cos, latitude_sin, latitude_cos",Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,7456.535,86.351,75.391,-1.376,36.9,38.9
13,Europe,Non-residential EUI (kWh/m2/year),cross_domain,KNeighborsRegressor,n_neighbors=1,"longitude_sin, longitude_cos, latitude_sin, latitude_cos",Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,14614.809,120.892,104.525,-2.366,40.0,44.4
14,Africa,Residential EUI (kWh/m2/year),cross_domain,KNeighborsRegressor,n_neighbors=1,"longitude_sin, longitude_cos, latitude_sin, latitude_cos",Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,2788.558,52.807,25.3,-15.913,28.5,34.1
15,Africa,Non-residential EUI (kWh/m2/year),cross_domain,KNeighborsRegressor,n_neighbors=1,"longitude_sin, longitude_cos, latitude_sin, latitude_cos",Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,948.234,30.793,15.313,-5.028,18.0,14.8
16,Central and South America,Residential EUI (kWh/m2/year),cross_domain,KNeighborsRegressor,n_neighbors=1,"longitude_sin, longitude_cos, latitude_sin, latitude_cos",Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,1821.833,42.683,35.25,-16.214,46.7,47.1
17,Central and South America,Non-residential EUI (kWh/m2/year),cross_domain,KNeighborsRegressor,n_neighbors=1,"longitude_sin, longitude_cos, latitude_sin, latitude_cos",Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,7636.352,87.386,68.648,-187.662,65.6,64.7
18,Northern America,Residential EUI (kWh/m2/year),cross_domain,KNeighborsRegressor,n_neighbors=1,"longitude_sin, longitude_cos, latitude_sin, latitude_cos",Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,5790.627,76.096,65.351,-2.81,35.7,38.6
19,Northern America,Non-residential EUI (kWh/m2/year),cross_domain,KNeighborsRegressor,n_neighbors=1,"longitude_sin, longitude_cos, latitude_sin, latitude_cos",Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,27873.74,166.954,161.16,-13.661,58.3,59.3
20,Asia & Oceania,Residential EUI (kWh/m2/year),all_domain,KNeighborsRegressor,n_neighbors=1,"longitude_sin, longitude_cos, latitude_sin, latitude_cos",Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,1316.849,36.288,18.88,0.374,16.3,21.3
21,Asia & Oceania,Non-residential EUI (kWh/m2/year),all_domain,KNeighborsRegressor,n_neighbors=1,"longitude_sin, longitude_cos, latitude_sin, latitude_cos",Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,2058.055,45.366,19.962,0.124,11.5,14.0
22,Europe,Residential EUI (kWh/m2/year),all_domain,KNeighborsRegressor,n_neighbors=1,"longitude_sin, longitude_cos, latitude_sin, latitude_cos",Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,8732.746,93.449,70.193,-1.783,45.0,36.2
23,Europe,Non-residential EUI (kWh/m2/year),all_domain,KNeighborsRegressor,n_neighbors=1,"longitude_sin, longitude_cos, latitude_sin, latitude_cos",Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,8863.417,94.146,56.185,-1.041,23.4,23.8
