,Region,Target,Strategy,Model,Model Details,Features Used,Features Abbreviated,MSE,RMSE,MAE,R²,MAPE,WAPE
0,Asia & Oceania,Residential EUI (kWh/m2/year),within_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.8, colsample_bytree=0.8, min_child_weight=1, random_state=42, objective=reg:squarederror","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,696.521,26.392,17.837,0.669,19.4,20.2
1,Asia & Oceania,Non-residential EUI (kWh/m2/year),within_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.8, colsample_bytree=0.8, min_child_weight=1, random_state=42, objective=reg:squarederror","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,420.649,20.51,9.685,0.821,5.5,6.8
2,Europe,Residential EUI (kWh/m2/year),within_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.8, colsample_bytree=0.8, min_child_weight=1, random_state=42, objective=reg:squarederror","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,3718.744,60.982,40.318,-0.185,24.9,20.8
3,Europe,Non-residential EUI (kWh/m2/year),within_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.8, colsample_bytree=0.8, min_child_weight=1, random_state=42, objective=reg:squarederror","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,3618.352,60.153,33.464,0.167,13.6,14.2
4,Africa,Residential EUI (kWh/m2/year),within_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.8, colsample_bytree=0.8, min_child_weight=1, random_state=42, objective=reg:squarederror","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,182.16,13.497,7.291,-0.105,8.8,9.8
5,Africa,Non-residential EUI (kWh/m2/year),within_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.8, colsample_bytree=0.8, min_child_weight=1, random_state=42, objective=reg:squarederror","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,156.241,12.5,4.411,0.007,7.8,4.3
6,Central and South America,Residential EUI (kWh/m2/year),within_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.8, colsample_bytree=0.8, min_child_weight=1, random_state=42, objective=reg:squarederror","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,27.163,5.212,3.534,0.743,4.5,4.7
7,Central and South America,Non-residential EUI (kWh/m2/year),within_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.8, colsample_bytree=0.8, min_child_weight=1, random_state=42, objective=reg:squarederror","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,33.745,5.809,3.838,0.166,3.8,3.6
8,Northern America,Residential EUI (kWh/m2/year),within_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.8, colsample_bytree=0.8, min_child_weight=1, random_state=42, objective=reg:squarederror","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,1226.989,35.028,27.653,0.193,14.5,16.3
9,Northern America,Non-residential EUI (kWh/m2/year),within_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.8, colsample_bytree=0.8, min_child_weight=1, random_state=42, objective=reg:squarederror","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,2807.308,52.984,43.903,-0.477,15.0,16.1
10,Asia & Oceania,Residential EUI (kWh/m2/year),cross_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.8, colsample_bytree=0.8, min_child_weight=1, random_state=42, objective=reg:squarederror","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,962.531,31.025,23.978,0.542,33.0,27.1
