,Region,Target,Strategy,Model,Model Details,Features Used,Features Abbreviated,MSE,RMSE,MAE,R²,MAPE,WAPE
0,Asia & Oceania,Residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators=100, max_depth=None, min_samples_split=2, min_samples_leaf=1, max_features=sqrt, bootstrap=True, random_state=42, n_jobs=-1","hdd_total_year, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos",HDD | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,653.427,25.562,16.341,0.689,17.3,18.5
1,Asia & Oceania,Non-residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators=100, max_depth=None, min_samples_split=2, min_samples_leaf=1, max_features=sqrt, bootstrap=True, random_state=42, n_jobs=-1","hdd_total_year, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos",HDD | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,335.133,18.307,9.699,0.857,6.2,6.8
2,Europe,Residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators=100, max_depth=None, min_samples_split=2, min_samples_leaf=1, max_features=sqrt, bootstrap=True, random_state=42, n_jobs=-1","hdd_total_year, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos",HDD | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,2449.527,49.493,37.076,0.219,23.2,19.1
3,Europe,Non-residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators=100, max_depth=None, min_samples_split=2, min_samples_leaf=1, max_features=sqrt, bootstrap=True, random_state=42, n_jobs=-1","hdd_total_year, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos",HDD | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,3503.754,59.193,39.501,0.193,17.3,16.8
4,Africa,Residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators=100, max_depth=None, min_samples_split=2, min_samples_leaf=1, max_features=sqrt, bootstrap=True, random_state=42, n_jobs=-1","hdd_total_year, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos",HDD | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,85.549,9.249,6.291,0.481,7.6,8.5
5,Africa,Non-residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators=100, max_depth=None, min_samples_split=2, min_samples_leaf=1, max_features=sqrt, bootstrap=True, random_state=42, n_jobs=-1","hdd_total_year, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos",HDD | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,160.871,12.683,4.857,-0.023,8.3,4.7
6,Central and South America,Residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators=100, max_depth=None, min_samples_split=2, min_samples_leaf=1, max_features=sqrt, bootstrap=True, random_state=42, n_jobs=-1","hdd_total_year, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos",HDD | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,21.155,4.599,3.56,0.8,4.7,4.8
7,Central and South America,Non-residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators=100, max_depth=None, min_samples_split=2, min_samples_leaf=1, max_features=sqrt, bootstrap=True, random_state=42, n_jobs=-1","hdd_total_year, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos",HDD | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,18.981,4.357,3.418,0.531,3.3,3.2
8,Northern America,Residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators=100, max_depth=None, min_samples_split=2, min_samples_leaf=1, max_features=sqrt, bootstrap=True, random_state=42, n_jobs=-1","hdd_total_year, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos",HDD | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,1414.51,37.61,28.488,0.069,15.0,16.8
9,Northern America,Non-residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators=100, max_depth=None, min_samples_split=2, min_samples_leaf=1, max_features=sqrt, bootstrap=True, random_state=42, n_jobs=-1","hdd_total_year, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos",HDD | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,2809.692,53.007,38.52,-0.478,12.5,14.2
10,Asia & Oceania,Residential EUI (kWh/m2/year),cross_domain,RandomForestRegressor,"n_estimators=100, max_depth=None, min_samples_split=2, min_samples_leaf=1, max_features=sqrt, bootstrap=True, random_state=42, n_jobs=-1","hdd_total_year, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos",HDD | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,1158.138,34.031,26.151,0.449,36.0,29.6
11,Asia & Oceania,Non-residential EUI (kWh/m2/year),cross_domain,RandomForestRegressor,"n_estimators=100, max_depth=None, min_samples_split=2, min_samples_leaf=1, max_features=sqrt, bootstrap=True, random_state=42, n_jobs=-1","hdd_total_year, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos",HDD | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,1055.278,32.485,22.708,0.551,14.6,16.0
12,Europe,Residential EUI (kWh/m2/year),cross_domain,RandomForestRegressor,"n_estimators=100, max_depth=None, min_samples_split=2, min_samples_leaf=1, max_features=sqrt, bootstrap=True, random_state=42, n_jobs=-1","hdd_total_year, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos",HDD | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,3043.04,55.164,46.887,0.03,26.0,24.2
13,Europe,Non-residential EUI (kWh/m2/year),cross_domain,RandomForestRegressor,"n_estimators=100, max_depth=None, min_samples_split=2, min_samples_leaf=1, max_features=sqrt, bootstrap=True, random_state=42, n_jobs=-1","hdd_total_year, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos",HDD | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,6665.082,81.64,52.61,-0.535,19.4,22.3
