,Region,Target,Strategy,Model,Model Details,Features Used,Features Abbreviated,MSE,RMSE,MAE,R²,MAPE,WAPE
0,Asia & Oceania,Residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations=300, depth=8, learning_rate=0.1, subsample=1.0, colsample_bylevel=0.9, l2_leaf_reg=3, random_seed=42, bootstrap_type=Bernoulli, loss_function=MAPE, eval_metric=MAPE, verbose=False","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,641.589,25.33,15.023,0.695,15.3,17.0
1,Asia & Oceania,Non-residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations=300, depth=8, learning_rate=0.1, subsample=1.0, colsample_bylevel=0.9, l2_leaf_reg=3, random_seed=42, bootstrap_type=Bernoulli, loss_function=MAPE, eval_metric=MAPE, verbose=False","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,728.999,27.0,13.956,0.69,7.7,9.8
2,Europe,Residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations=300, depth=8, learning_rate=0.1, subsample=1.0, colsample_bylevel=0.9, l2_leaf_reg=3, random_seed=42, bootstrap_type=Bernoulli, loss_function=MAPE, eval_metric=MAPE, verbose=False","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,1883.689,43.401,30.514,0.4,19.0,15.8
3,Europe,Non-residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations=300, depth=8, learning_rate=0.1, subsample=1.0, colsample_bylevel=0.9, l2_leaf_reg=3, random_seed=42, bootstrap_type=Bernoulli, loss_function=MAPE, eval_metric=MAPE, verbose=False","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,4648.296,68.178,38.694,-0.07,16.8,16.4
4,Africa,Residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations=300, depth=8, learning_rate=0.1, subsample=1.0, colsample_bylevel=0.9, l2_leaf_reg=3, random_seed=42, bootstrap_type=Bernoulli, loss_function=MAPE, eval_metric=MAPE, verbose=False","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,107.455,10.366,5.376,0.348,6.3,7.2
5,Africa,Non-residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations=300, depth=8, learning_rate=0.1, subsample=1.0, colsample_bylevel=0.9, l2_leaf_reg=3, random_seed=42, bootstrap_type=Bernoulli, loss_function=MAPE, eval_metric=MAPE, verbose=False","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,164.283,12.817,4.984,-0.044,8.4,4.8
6,Central and South America,Residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations=300, depth=8, learning_rate=0.1, subsample=1.0, colsample_bylevel=0.9, l2_leaf_reg=3, random_seed=42, bootstrap_type=Bernoulli, loss_function=MAPE, eval_metric=MAPE, verbose=False","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,23.747,4.873,3.696,0.776,4.8,4.9
7,Central and South America,Non-residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations=300, depth=8, learning_rate=0.1, subsample=1.0, colsample_bylevel=0.9, l2_leaf_reg=3, random_seed=42, bootstrap_type=Bernoulli, loss_function=MAPE, eval_metric=MAPE, verbose=False","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,18.122,4.257,3.172,0.552,3.0,3.0
8,Northern America,Residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations=300, depth=8, learning_rate=0.1, subsample=1.0, colsample_bylevel=0.9, l2_leaf_reg=3, random_seed=42, bootstrap_type=Bernoulli, loss_function=MAPE, eval_metric=MAPE, verbose=False","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,1308.075,36.167,27.641,0.139,14.7,16.3
9,Northern America,Non-residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations=300, depth=8, learning_rate=0.1, subsample=1.0, colsample_bylevel=0.9, l2_leaf_reg=3, random_seed=42, bootstrap_type=Bernoulli, loss_function=MAPE, eval_metric=MAPE, verbose=False","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,3784.652,61.52,42.035,-0.991,13.4,15.5
10,Asia & Oceania,Residential EUI (kWh/m2/year),cross_domain,CatBoostRegressor,"iterations=300, depth=8, learning_rate=0.1, subsample=1.0, colsample_bylevel=0.9, l2_leaf_reg=3, random_seed=42, bootstrap_type=Bernoulli, loss_function=MAPE, eval_metric=MAPE, verbose=False","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,938.346,30.632,24.062,0.554,36.2,27.2
