,Region,Target,Strategy,Model,Model Details,Features Used,Features Abbreviated,MSE,RMSE,MAE,R²,MAPE,WAPE
0,Asia & Oceania,Residential EUI (kWh/m2/year),within_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.9, colsample_bytree=0.7, min_child_weight=1, gamma=0.1, random_state=42","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,735.649,27.123,17.469,0.65,18.1,19.7
1,Asia & Oceania,Non-residential EUI (kWh/m2/year),within_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.9, colsample_bytree=0.7, min_child_weight=1, gamma=0.1, random_state=42","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,308.555,17.566,8.089,0.869,4.5,5.7
2,Europe,Residential EUI (kWh/m2/year),within_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.9, colsample_bytree=0.7, min_child_weight=1, gamma=0.1, random_state=42","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,3548.336,59.568,38.545,-0.131,23.4,19.9
3,Europe,Non-residential EUI (kWh/m2/year),within_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.9, colsample_bytree=0.7, min_child_weight=1, gamma=0.1, random_state=42","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,4799.02,69.275,41.548,-0.105,17.5,17.6
4,Africa,Residential EUI (kWh/m2/year),within_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.9, colsample_bytree=0.7, min_child_weight=1, gamma=0.1, random_state=42","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,167.916,12.958,7.191,-0.018,8.7,9.7
5,Africa,Non-residential EUI (kWh/m2/year),within_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.9, colsample_bytree=0.7, min_child_weight=1, gamma=0.1, random_state=42","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,159.152,12.616,4.556,-0.012,8.0,4.4
6,Central and South America,Residential EUI (kWh/m2/year),within_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.9, colsample_bytree=0.7, min_child_weight=1, gamma=0.1, random_state=42","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,25.006,5.001,3.494,0.764,4.4,4.7
7,Central and South America,Non-residential EUI (kWh/m2/year),within_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.9, colsample_bytree=0.7, min_child_weight=1, gamma=0.1, random_state=42","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,33.038,5.748,3.729,0.184,3.7,3.5
8,Northern America,Residential EUI (kWh/m2/year),within_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.9, colsample_bytree=0.7, min_child_weight=1, gamma=0.1, random_state=42","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,1259.656,35.492,27.956,0.171,14.6,16.5
9,Northern America,Non-residential EUI (kWh/m2/year),within_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.9, colsample_bytree=0.7, min_child_weight=1, gamma=0.1, random_state=42","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,2602.615,51.016,39.451,-0.369,13.3,14.5
10,Asia & Oceania,Residential EUI (kWh/m2/year),cross_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.9, colsample_bytree=0.7, min_child_weight=1, gamma=0.1, random_state=42","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,864.629,29.405,23.018,0.589,33.6,26.0
11,Asia & Oceania,Non-residential EUI (kWh/m2/year),cross_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.9, colsample_bytree=0.7, min_child_weight=1, gamma=0.1, random_state=42","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,1073.451,32.764,20.678,0.543,13.7,14.5
12,Europe,Residential EUI (kWh/m2/year),cross_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.9, colsample_bytree=0.7, min_child_weight=1, gamma=0.1, random_state=42","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,5158.152,71.82,61.261,-0.644,32.0,31.6
13,Europe,Non-residential EUI (kWh/m2/year),cross_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.9, colsample_bytree=0.7, min_child_weight=1, gamma=0.1, random_state=42","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,7080.631,84.146,56.981,-0.631,21.5,24.2
14,Africa,Residential EUI (kWh/m2/year),cross_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.9, colsample_bytree=0.7, min_child_weight=1, gamma=0.1, random_state=42","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,331.519,18.208,14.955,-1.011,20.6,20.1
15,Africa,Non-residential EUI (kWh/m2/year),cross_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.9, colsample_bytree=0.7, min_child_weight=1, gamma=0.1, random_state=42","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,260.121,16.128,10.345,-0.654,13.7,10.0
16,Central and South America,Residential EUI (kWh/m2/year),cross_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.9, colsample_bytree=0.7, min_child_weight=1, gamma=0.1, random_state=42","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,83.804,9.154,7.087,0.208,8.8,9.5
17,Central and South America,Non-residential EUI (kWh/m2/year),cross_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.9, colsample_bytree=0.7, min_child_weight=1, gamma=0.1, random_state=42","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,89.318,9.451,6.644,-1.207,6.5,6.3
18,Northern America,Residential EUI (kWh/m2/year),cross_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.9, colsample_bytree=0.7, min_child_weight=1, gamma=0.1, random_state=42","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,1491.24,38.617,33.905,0.019,19.7,20.0
19,Northern America,Non-residential EUI (kWh/m2/year),cross_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.9, colsample_bytree=0.7, min_child_weight=1, gamma=0.1, random_state=42","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,4432.013,66.573,59.426,-1.331,20.7,21.9
20,Asia & Oceania,Residential EUI (kWh/m2/year),all_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.9, colsample_bytree=0.7, min_child_weight=1, gamma=0.1, random_state=42","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,386.227,19.653,12.433,0.816,13.3,14.1
