,Region,Target,Strategy,Model,Model Details,Features Used,Features Abbreviated,MSE,RMSE,MAE,R²,MAPE,WAPE
0,Asia & Oceania,Residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators=10, max_depth=10, min_samples_split=2, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, Subnational HDI, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, longitude_cos, latitude_sin, latitude_cos",HDD | HDI | Income | Temp | Dew | Long_Cos | Lat_Sin | Lat_Cos,791.821,28.139,17.858,0.623,18.6,20.2
1,Asia & Oceania,Non-residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators=10, max_depth=10, min_samples_split=2, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, Subnational HDI, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, longitude_cos, latitude_sin, latitude_cos",HDD | HDI | Income | Temp | Dew | Long_Cos | Lat_Sin | Lat_Cos,329.721,18.158,8.61,0.86,5.0,6.0
2,Europe,Residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators=10, max_depth=10, min_samples_split=2, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, Subnational HDI, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, longitude_cos, latitude_sin, latitude_cos",HDD | HDI | Income | Temp | Dew | Long_Cos | Lat_Sin | Lat_Cos,3309.973,57.532,42.548,-0.055,26.8,22.0
3,Europe,Non-residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators=10, max_depth=10, min_samples_split=2, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, Subnational HDI, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, longitude_cos, latitude_sin, latitude_cos",HDD | HDI | Income | Temp | Dew | Long_Cos | Lat_Sin | Lat_Cos,2246.253,47.395,28.888,0.483,12.7,12.3
4,Africa,Residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators=10, max_depth=10, min_samples_split=2, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, Subnational HDI, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, longitude_cos, latitude_sin, latitude_cos",HDD | HDI | Income | Temp | Dew | Long_Cos | Lat_Sin | Lat_Cos,104.034,10.2,5.504,0.369,6.5,7.4
5,Africa,Non-residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators=10, max_depth=10, min_samples_split=2, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, Subnational HDI, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, longitude_cos, latitude_sin, latitude_cos",HDD | HDI | Income | Temp | Dew | Long_Cos | Lat_Sin | Lat_Cos,163.406,12.783,4.476,-0.039,7.9,4.3
6,Central and South America,Residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators=10, max_depth=10, min_samples_split=2, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, Subnational HDI, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, longitude_cos, latitude_sin, latitude_cos",HDD | HDI | Income | Temp | Dew | Long_Cos | Lat_Sin | Lat_Cos,28.941,5.38,3.891,0.727,4.9,5.2
7,Central and South America,Non-residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators=10, max_depth=10, min_samples_split=2, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, Subnational HDI, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, longitude_cos, latitude_sin, latitude_cos",HDD | HDI | Income | Temp | Dew | Long_Cos | Lat_Sin | Lat_Cos,29.772,5.456,3.624,0.264,3.3,3.4
8,Northern America,Residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators=10, max_depth=10, min_samples_split=2, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, Subnational HDI, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, longitude_cos, latitude_sin, latitude_cos",HDD | HDI | Income | Temp | Dew | Long_Cos | Lat_Sin | Lat_Cos,1014.483,31.851,26.697,0.333,15.1,15.8
9,Northern America,Non-residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators=10, max_depth=10, min_samples_split=2, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, Subnational HDI, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, longitude_cos, latitude_sin, latitude_cos",HDD | HDI | Income | Temp | Dew | Long_Cos | Lat_Sin | Lat_Cos,2261.676,47.557,37.449,-0.19,12.6,13.8
10,Asia & Oceania,Residential EUI (kWh/m2/year),cross_domain,RandomForestRegressor,"n_estimators=10, max_depth=10, min_samples_split=2, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, Subnational HDI, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, longitude_cos, latitude_sin, latitude_cos",HDD | HDI | Income | Temp | Dew | Long_Cos | Lat_Sin | Lat_Cos,1313.208,36.238,27.927,0.375,37.3,31.6
11,Asia & Oceania,Non-residential EUI (kWh/m2/year),cross_domain,RandomForestRegressor,"n_estimators=10, max_depth=10, min_samples_split=2, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, Subnational HDI, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, longitude_cos, latitude_sin, latitude_cos",HDD | HDI | Income | Temp | Dew | Long_Cos | Lat_Sin | Lat_Cos,1056.529,32.504,22.253,0.551,14.3,15.6
12,Europe,Residential EUI (kWh/m2/year),cross_domain,RandomForestRegressor,"n_estimators=10, max_depth=10, min_samples_split=2, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, Subnational HDI, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, longitude_cos, latitude_sin, latitude_cos",HDD | HDI | Income | Temp | Dew | Long_Cos | Lat_Sin | Lat_Cos,4892.27,69.945,62.834,-0.559,31.7,32.4
13,Europe,Non-residential EUI (kWh/m2/year),cross_domain,RandomForestRegressor,"n_estimators=10, max_depth=10, min_samples_split=2, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, Subnational HDI, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, longitude_cos, latitude_sin, latitude_cos",HDD | HDI | Income | Temp | Dew | Long_Cos | Lat_Sin | Lat_Cos,7128.815,84.432,56.471,-0.642,21.4,24.0
14,Africa,Residential EUI (kWh/m2/year),cross_domain,RandomForestRegressor,"n_estimators=10, max_depth=10, min_samples_split=2, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, Subnational HDI, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, longitude_cos, latitude_sin, latitude_cos",HDD | HDI | Income | Temp | Dew | Long_Cos | Lat_Sin | Lat_Cos,336.998,18.358,12.038,-1.044,16.0,16.2
15,Africa,Non-residential EUI (kWh/m2/year),cross_domain,RandomForestRegressor,"n_estimators=10, max_depth=10, min_samples_split=2, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, Subnational HDI, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, longitude_cos, latitude_sin, latitude_cos",HDD | HDI | Income | Temp | Dew | Long_Cos | Lat_Sin | Lat_Cos,194.441,13.944,5.898,-0.236,9.5,5.7
16,Central and South America,Residential EUI (kWh/m2/year),cross_domain,RandomForestRegressor,"n_estimators=10, max_depth=10, min_samples_split=2, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, Subnational HDI, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, longitude_cos, latitude_sin, latitude_cos",HDD | HDI | Income | Temp | Dew | Long_Cos | Lat_Sin | Lat_Cos,148.628,12.191,9.649,-0.404,12.0,12.9
17,Central and South America,Non-residential EUI (kWh/m2/year),cross_domain,RandomForestRegressor,"n_estimators=10, max_depth=10, min_samples_split=2, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, Subnational HDI, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, longitude_cos, latitude_sin, latitude_cos",HDD | HDI | Income | Temp | Dew | Long_Cos | Lat_Sin | Lat_Cos,98.735,9.937,5.941,-1.439,6.0,5.6
18,Northern America,Residential EUI (kWh/m2/year),cross_domain,RandomForestRegressor,"n_estimators=10, max_depth=10, min_samples_split=2, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, Subnational HDI, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, longitude_cos, latitude_sin, latitude_cos",HDD | HDI | Income | Temp | Dew | Long_Cos | Lat_Sin | Lat_Cos,1333.448,36.516,33.244,0.123,19.4,19.7
19,Northern America,Non-residential EUI (kWh/m2/year),cross_domain,RandomForestRegressor,"n_estimators=10, max_depth=10, min_samples_split=2, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, Subnational HDI, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, longitude_cos, latitude_sin, latitude_cos",HDD | HDI | Income | Temp | Dew | Long_Cos | Lat_Sin | Lat_Cos,3782.136,61.499,48.8,-0.989,16.4,17.9
20,Asia & Oceania,Residential EUI (kWh/m2/year),all_domain,RandomForestRegressor,"n_estimators=10, max_depth=10, min_samples_split=2, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, Subnational HDI, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, longitude_cos, latitude_sin, latitude_cos",HDD | HDI | Income | Temp | Dew | Long_Cos | Lat_Sin | Lat_Cos,689.261,26.254,17.487,0.672,19.9,19.8
21,Asia & Oceania,Non-residential EUI (kWh/m2/year),all_domain,RandomForestRegressor,"n_estimators=10, max_depth=10, min_samples_split=2, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, Subnational HDI, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, longitude_cos, latitude_sin, latitude_cos",HDD | HDI | Income | Temp | Dew | Long_Cos | Lat_Sin | Lat_Cos,427.178,20.668,10.611,0.818,6.2,7.5
22,Europe,Residential EUI (kWh/m2/year),all_domain,RandomForestRegressor,"n_estimators=10, max_depth=10, min_samples_split=2, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, Subnational HDI, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, longitude_cos, latitude_sin, latitude_cos",HDD | HDI | Income | Temp | Dew | Long_Cos | Lat_Sin | Lat_Cos,2774.223,52.671,40.906,0.116,24.6,21.1
23,Europe,Non-residential EUI (kWh/m2/year),all_domain,RandomForestRegressor,"n_estimators=10, max_depth=10, min_samples_split=2, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, Subnational HDI, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, longitude_cos, latitude_sin, latitude_cos",HDD | HDI | Income | Temp | Dew | Long_Cos | Lat_Sin | Lat_Cos,2653.954,51.517,29.488,0.389,13.8,12.5
24,Africa,Residential EUI (kWh/m2/year),all_domain,RandomForestRegressor,"n_estimators=10, max_depth=10, min_samples_split=2, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, Subnational HDI, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, longitude_cos, latitude_sin, latitude_cos",HDD | HDI | Income | Temp | Dew | Long_Cos | Lat_Sin | Lat_Cos,230.035,15.167,7.361,-0.395,8.8,9.9
25,Africa,Non-residential EUI (kWh/m2/year),all_domain,RandomForestRegressor,"n_estimators=10, max_depth=10, min_samples_split=2, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, Subnational HDI, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, longitude_cos, latitude_sin, latitude_cos",HDD | HDI | Income | Temp | Dew | Long_Cos | Lat_Sin | Lat_Cos,164.829,12.839,4.62,-0.048,8.1,4.5
