,Region,Target,Strategy,Model,Model Details,Features Used,Features Abbreviated,MSE,RMSE,MAE,R²,MAPE,WAPE
0,Asia & Oceania,Residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators=10, max_depth=10, min_samples_split=2, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, Subnational HDI, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, longitude_cos, latitude_sin, latitude_cos, pca_result",HDD | HDI | Income | Temp | Dew | Long_Cos | Lat_Sin | Lat_Cos | pca_result,781.652,27.958,18.401,0.639,19.3,21.0
1,Asia & Oceania,Non-residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators=10, max_depth=10, min_samples_split=2, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, Subnational HDI, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, longitude_cos, latitude_sin, latitude_cos, pca_result",HDD | HDI | Income | Temp | Dew | Long_Cos | Lat_Sin | Lat_Cos | pca_result,123.077,11.094,6.245,0.911,4.3,4.6
2,Europe,Residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators=10, max_depth=10, min_samples_split=2, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, Subnational HDI, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, longitude_cos, latitude_sin, latitude_cos, pca_result",HDD | HDI | Income | Temp | Dew | Long_Cos | Lat_Sin | Lat_Cos | pca_result,3737.706,61.137,46.383,-0.191,28.3,23.9
3,Europe,Non-residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators=10, max_depth=10, min_samples_split=2, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, Subnational HDI, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, longitude_cos, latitude_sin, latitude_cos, pca_result",HDD | HDI | Income | Temp | Dew | Long_Cos | Lat_Sin | Lat_Cos | pca_result,3862.443,62.149,33.501,0.111,13.2,14.2
4,Africa,Residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators=10, max_depth=10, min_samples_split=2, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, Subnational HDI, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, longitude_cos, latitude_sin, latitude_cos, pca_result",HDD | HDI | Income | Temp | Dew | Long_Cos | Lat_Sin | Lat_Cos | pca_result,113.098,10.635,5.919,0.314,6.9,8.0
5,Africa,Non-residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators=10, max_depth=10, min_samples_split=2, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, Subnational HDI, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, longitude_cos, latitude_sin, latitude_cos, pca_result",HDD | HDI | Income | Temp | Dew | Long_Cos | Lat_Sin | Lat_Cos | pca_result,162.595,12.751,4.426,-0.034,7.9,4.3
6,Central and South America,Residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators=10, max_depth=10, min_samples_split=2, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, Subnational HDI, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, longitude_cos, latitude_sin, latitude_cos, pca_result",HDD | HDI | Income | Temp | Dew | Long_Cos | Lat_Sin | Lat_Cos | pca_result,25.422,5.042,3.858,0.759,4.9,5.1
7,Central and South America,Non-residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators=10, max_depth=10, min_samples_split=2, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, Subnational HDI, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, longitude_cos, latitude_sin, latitude_cos, pca_result",HDD | HDI | Income | Temp | Dew | Long_Cos | Lat_Sin | Lat_Cos | pca_result,32.241,5.678,4.53,0.25,4.4,4.3
8,Northern America,Residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators=10, max_depth=10, min_samples_split=2, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, Subnational HDI, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, longitude_cos, latitude_sin, latitude_cos, pca_result",HDD | HDI | Income | Temp | Dew | Long_Cos | Lat_Sin | Lat_Cos | pca_result,1054.12,32.467,27.943,0.306,15.7,16.5
9,Northern America,Non-residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators=10, max_depth=10, min_samples_split=2, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, Subnational HDI, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, longitude_cos, latitude_sin, latitude_cos, pca_result",HDD | HDI | Income | Temp | Dew | Long_Cos | Lat_Sin | Lat_Cos | pca_result,2704.446,52.004,42.745,-0.422,14.6,15.7
10,Asia & Oceania,Residential EUI (kWh/m2/year),cross_domain,RandomForestRegressor,"n_estimators=10, max_depth=10, min_samples_split=2, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, Subnational HDI, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, longitude_cos, latitude_sin, latitude_cos, pca_result",HDD | HDI | Income | Temp | Dew | Long_Cos | Lat_Sin | Lat_Cos | pca_result,1324.057,36.388,27.674,0.388,38.0,31.6
11,Asia & Oceania,Non-residential EUI (kWh/m2/year),cross_domain,RandomForestRegressor,"n_estimators=10, max_depth=10, min_samples_split=2, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, Subnational HDI, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, longitude_cos, latitude_sin, latitude_cos, pca_result",HDD | HDI | Income | Temp | Dew | Long_Cos | Lat_Sin | Lat_Cos | pca_result,575.086,23.981,18.1,0.586,13.7,13.3
12,Europe,Residential EUI (kWh/m2/year),cross_domain,RandomForestRegressor,"n_estimators=10, max_depth=10, min_samples_split=2, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, Subnational HDI, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, longitude_cos, latitude_sin, latitude_cos, pca_result",HDD | HDI | Income | Temp | Dew | Long_Cos | Lat_Sin | Lat_Cos | pca_result,3973.989,63.04,55.048,-0.266,30.3,28.4
13,Europe,Non-residential EUI (kWh/m2/year),cross_domain,RandomForestRegressor,"n_estimators=10, max_depth=10, min_samples_split=2, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, Subnational HDI, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, longitude_cos, latitude_sin, latitude_cos, pca_result",HDD | HDI | Income | Temp | Dew | Long_Cos | Lat_Sin | Lat_Cos | pca_result,6930.882,83.252,50.911,-0.596,18.6,21.6
