,Region,Target,Strategy,Model,Model Details,Features Used,Features Abbreviated,MSE,RMSE,MAE,R²,MAPE,WAPE
0,Asia & Oceania,Residential EUI (kWh/m2/year),within_domain,LR Ridge,"Ridge, alpha=1.0","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_20_0, Cluster_20_1, Cluster_20_2, Cluster_20_3, Cluster_20_4, Cluster_20_5, Cluster_20_6, Cluster_20_7, Cluster_20_8, Cluster_20_9, Cluster_20_10, Cluster_20_11, Cluster_20_12, Cluster_20_13, Cluster_20_14, Cluster_20_15, Cluster_20_16, Cluster_20_17, Cluster_20_18, Cluster_20_19",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9 | Fuzzy C-means Image Cluster 10 | Fuzzy C-means Image Cluster 11 | Fuzzy C-means Image Cluster 12 | Fuzzy C-means Image Cluster 13 | Fuzzy C-means Image Cluster 14 | Fuzzy C-means Image Cluster 15 | Fuzzy C-means Image Cluster 16 | Fuzzy C-means Image Cluster 17 | Fuzzy C-means Image Cluster 18 | Fuzzy C-means Image Cluster 19,1005.899,31.716,21.888,0.535,28.1,25.0
1,Asia & Oceania,Non-residential EUI (kWh/m2/year),within_domain,LR Ridge,"Ridge, alpha=1.0","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_20_0, Cluster_20_1, Cluster_20_2, Cluster_20_3, Cluster_20_4, Cluster_20_5, Cluster_20_6, Cluster_20_7, Cluster_20_8, Cluster_20_9, Cluster_20_10, Cluster_20_11, Cluster_20_12, Cluster_20_13, Cluster_20_14, Cluster_20_15, Cluster_20_16, Cluster_20_17, Cluster_20_18, Cluster_20_19",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9 | Fuzzy C-means Image Cluster 10 | Fuzzy C-means Image Cluster 11 | Fuzzy C-means Image Cluster 12 | Fuzzy C-means Image Cluster 13 | Fuzzy C-means Image Cluster 14 | Fuzzy C-means Image Cluster 15 | Fuzzy C-means Image Cluster 16 | Fuzzy C-means Image Cluster 17 | Fuzzy C-means Image Cluster 18 | Fuzzy C-means Image Cluster 19,540.608,23.251,17.592,0.611,13.3,12.9
2,Europe,Residential EUI (kWh/m2/year),within_domain,LR Ridge,"Ridge, alpha=1.0","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_20_0, Cluster_20_1, Cluster_20_2, Cluster_20_3, Cluster_20_4, Cluster_20_5, Cluster_20_6, Cluster_20_7, Cluster_20_8, Cluster_20_9, Cluster_20_10, Cluster_20_11, Cluster_20_12, Cluster_20_13, Cluster_20_14, Cluster_20_15, Cluster_20_16, Cluster_20_17, Cluster_20_18, Cluster_20_19",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9 | Fuzzy C-means Image Cluster 10 | Fuzzy C-means Image Cluster 11 | Fuzzy C-means Image Cluster 12 | Fuzzy C-means Image Cluster 13 | Fuzzy C-means Image Cluster 14 | Fuzzy C-means Image Cluster 15 | Fuzzy C-means Image Cluster 16 | Fuzzy C-means Image Cluster 17 | Fuzzy C-means Image Cluster 18 | Fuzzy C-means Image Cluster 19,5990.225,77.397,58.429,-0.909,43.9,30.2
3,Europe,Non-residential EUI (kWh/m2/year),within_domain,LR Ridge,"Ridge, alpha=1.0","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_20_0, Cluster_20_1, Cluster_20_2, Cluster_20_3, Cluster_20_4, Cluster_20_5, Cluster_20_6, Cluster_20_7, Cluster_20_8, Cluster_20_9, Cluster_20_10, Cluster_20_11, Cluster_20_12, Cluster_20_13, Cluster_20_14, Cluster_20_15, Cluster_20_16, Cluster_20_17, Cluster_20_18, Cluster_20_19",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9 | Fuzzy C-means Image Cluster 10 | Fuzzy C-means Image Cluster 11 | Fuzzy C-means Image Cluster 12 | Fuzzy C-means Image Cluster 13 | Fuzzy C-means Image Cluster 14 | Fuzzy C-means Image Cluster 15 | Fuzzy C-means Image Cluster 16 | Fuzzy C-means Image Cluster 17 | Fuzzy C-means Image Cluster 18 | Fuzzy C-means Image Cluster 19,6043.617,77.741,59.725,-0.392,33.3,25.3
4,Africa,Residential EUI (kWh/m2/year),within_domain,LR Ridge,"Ridge, alpha=1.0","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_20_0, Cluster_20_1, Cluster_20_2, Cluster_20_3, Cluster_20_4, Cluster_20_5, Cluster_20_6, Cluster_20_7, Cluster_20_8, Cluster_20_9, Cluster_20_10, Cluster_20_11, Cluster_20_12, Cluster_20_13, Cluster_20_14, Cluster_20_15, Cluster_20_16, Cluster_20_17, Cluster_20_18, Cluster_20_19",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9 | Fuzzy C-means Image Cluster 10 | Fuzzy C-means Image Cluster 11 | Fuzzy C-means Image Cluster 12 | Fuzzy C-means Image Cluster 13 | Fuzzy C-means Image Cluster 14 | Fuzzy C-means Image Cluster 15 | Fuzzy C-means Image Cluster 16 | Fuzzy C-means Image Cluster 17 | Fuzzy C-means Image Cluster 18 | Fuzzy C-means Image Cluster 19,127.232,11.28,8.128,0.228,10.5,10.9
5,Africa,Non-residential EUI (kWh/m2/year),within_domain,LR Ridge,"Ridge, alpha=1.0","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_20_0, Cluster_20_1, Cluster_20_2, Cluster_20_3, Cluster_20_4, Cluster_20_5, Cluster_20_6, Cluster_20_7, Cluster_20_8, Cluster_20_9, Cluster_20_10, Cluster_20_11, Cluster_20_12, Cluster_20_13, Cluster_20_14, Cluster_20_15, Cluster_20_16, Cluster_20_17, Cluster_20_18, Cluster_20_19",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9 | Fuzzy C-means Image Cluster 10 | Fuzzy C-means Image Cluster 11 | Fuzzy C-means Image Cluster 12 | Fuzzy C-means Image Cluster 13 | Fuzzy C-means Image Cluster 14 | Fuzzy C-means Image Cluster 15 | Fuzzy C-means Image Cluster 16 | Fuzzy C-means Image Cluster 17 | Fuzzy C-means Image Cluster 18 | Fuzzy C-means Image Cluster 19,146.532,12.105,5.262,0.068,8.4,5.1
6,Central and South America,Residential EUI (kWh/m2/year),within_domain,LR Ridge,"Ridge, alpha=1.0","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_20_0, Cluster_20_1, Cluster_20_2, Cluster_20_3, Cluster_20_4, Cluster_20_5, Cluster_20_6, Cluster_20_7, Cluster_20_8, Cluster_20_9, Cluster_20_10, Cluster_20_11, Cluster_20_12, Cluster_20_13, Cluster_20_14, Cluster_20_15, Cluster_20_16, Cluster_20_17, Cluster_20_18, Cluster_20_19",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9 | Fuzzy C-means Image Cluster 10 | Fuzzy C-means Image Cluster 11 | Fuzzy C-means Image Cluster 12 | Fuzzy C-means Image Cluster 13 | Fuzzy C-means Image Cluster 14 | Fuzzy C-means Image Cluster 15 | Fuzzy C-means Image Cluster 16 | Fuzzy C-means Image Cluster 17 | Fuzzy C-means Image Cluster 18 | Fuzzy C-means Image Cluster 19,42.155,6.493,5.475,0.6,7.1,7.2
7,Central and South America,Non-residential EUI (kWh/m2/year),within_domain,LR Ridge,"Ridge, alpha=1.0","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_20_0, Cluster_20_1, Cluster_20_2, Cluster_20_3, Cluster_20_4, Cluster_20_5, Cluster_20_6, Cluster_20_7, Cluster_20_8, Cluster_20_9, Cluster_20_10, Cluster_20_11, Cluster_20_12, Cluster_20_13, Cluster_20_14, Cluster_20_15, Cluster_20_16, Cluster_20_17, Cluster_20_18, Cluster_20_19",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9 | Fuzzy C-means Image Cluster 10 | Fuzzy C-means Image Cluster 11 | Fuzzy C-means Image Cluster 12 | Fuzzy C-means Image Cluster 13 | Fuzzy C-means Image Cluster 14 | Fuzzy C-means Image Cluster 15 | Fuzzy C-means Image Cluster 16 | Fuzzy C-means Image Cluster 17 | Fuzzy C-means Image Cluster 18 | Fuzzy C-means Image Cluster 19,48.695,6.978,5.911,-0.132,5.6,5.6
8,Northern America,Residential EUI (kWh/m2/year),within_domain,LR Ridge,"Ridge, alpha=1.0","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_20_0, Cluster_20_1, Cluster_20_2, Cluster_20_3, Cluster_20_4, Cluster_20_5, Cluster_20_6, Cluster_20_7, Cluster_20_8, Cluster_20_9, Cluster_20_10, Cluster_20_11, Cluster_20_12, Cluster_20_13, Cluster_20_14, Cluster_20_15, Cluster_20_16, Cluster_20_17, Cluster_20_18, Cluster_20_19",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9 | Fuzzy C-means Image Cluster 10 | Fuzzy C-means Image Cluster 11 | Fuzzy C-means Image Cluster 12 | Fuzzy C-means Image Cluster 13 | Fuzzy C-means Image Cluster 14 | Fuzzy C-means Image Cluster 15 | Fuzzy C-means Image Cluster 16 | Fuzzy C-means Image Cluster 17 | Fuzzy C-means Image Cluster 18 | Fuzzy C-means Image Cluster 19,948.586,30.799,25.348,0.376,13.6,15.0
9,Northern America,Non-residential EUI (kWh/m2/year),within_domain,LR Ridge,"Ridge, alpha=1.0","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_20_0, Cluster_20_1, Cluster_20_2, Cluster_20_3, Cluster_20_4, Cluster_20_5, Cluster_20_6, Cluster_20_7, Cluster_20_8, Cluster_20_9, Cluster_20_10, Cluster_20_11, Cluster_20_12, Cluster_20_13, Cluster_20_14, Cluster_20_15, Cluster_20_16, Cluster_20_17, Cluster_20_18, Cluster_20_19",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9 | Fuzzy C-means Image Cluster 10 | Fuzzy C-means Image Cluster 11 | Fuzzy C-means Image Cluster 12 | Fuzzy C-means Image Cluster 13 | Fuzzy C-means Image Cluster 14 | Fuzzy C-means Image Cluster 15 | Fuzzy C-means Image Cluster 16 | Fuzzy C-means Image Cluster 17 | Fuzzy C-means Image Cluster 18 | Fuzzy C-means Image Cluster 19,4123.192,64.212,46.285,-1.169,15.0,17.0
10,Asia & Oceania,Residential EUI (kWh/m2/year),cross_domain,LR Ridge,"Ridge, alpha=1.0","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_20_0, Cluster_20_1, Cluster_20_2, Cluster_20_3, Cluster_20_4, Cluster_20_5, Cluster_20_6, Cluster_20_7, Cluster_20_8, Cluster_20_9, Cluster_20_10, Cluster_20_11, Cluster_20_12, Cluster_20_13, Cluster_20_14, Cluster_20_15, Cluster_20_16, Cluster_20_17, Cluster_20_18, Cluster_20_19",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9 | Fuzzy C-means Image Cluster 10 | Fuzzy C-means Image Cluster 11 | Fuzzy C-means Image Cluster 12 | Fuzzy C-means Image Cluster 13 | Fuzzy C-means Image Cluster 14 | Fuzzy C-means Image Cluster 15 | Fuzzy C-means Image Cluster 16 | Fuzzy C-means Image Cluster 17 | Fuzzy C-means Image Cluster 18 | Fuzzy C-means Image Cluster 19,1628.818,40.359,35.077,0.248,56.2,40.0
