,,,,,MAE,MAE,MAE,MAPE,MAPE,MAPE,MSE,MSE,MSE,RMSE,RMSE,RMSE,R²,R²,R²,WAPE,WAPE,WAPE
Strategy,,,,,All Domain,Cross Domain,Within Domain,All Domain,Cross Domain,Within Domain,All Domain,Cross Domain,Within Domain,All Domain,Cross Domain,Within Domain,All Domain,Cross Domain,Within Domain,All Domain,Cross Domain,Within Domain
Model,Target,Model Details,Features Used,Features Abbreviated,,,,,,,,,,,,,,,,,,
"KNN 
(Base line)",Non-residential,n_neighbors=1,"latitude, longitude",Lat | Long,34,76,23,16.1%,38.4%,11.7%,4040.6,11058.7,2196.8,48.0,91.0,34.4,-1.069,-32.965,-0.023,15.4%,39.2%,11.1%
"KNN 
(Base line)",Residential,n_neighbors=1,"latitude, longitude",Lat | Long,27,49,24,21.1%,37.2%,18.2%,2410.1,4679.9,2219.3,41.0,62.4,36.4,-1.257,-6.397,-0.854,20.3%,38.7%,17.8%
LR,Non-residential,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_1, Cluster_2, Cluster_3, Cluster_4, Cluster_5, Cluster_6, Cluster_7, Cluster_8, Cluster_9, Cluster_10, Cluster_11, Cluster_12, Cluster_13, Cluster_14, Cluster_15, Cluster_16, Cluster_17, Cluster_18, Cluster_19",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew | Precip | Pop_Dens | PCA | C1 | C2 | C3 | C4 | C5 | C6 | C7 | C8 | C9 | C10 | C11 | C12 | C13 | C14 | C15 | C16 | C17 | C18 | C19,39,59,57,21.9%,36.5%,29.9%,2935.9,5451.4,10171.0,45.3,66.1,72.2,-2.526,-16.310,-3.370,20.9%,35.4%,24.9%
LR,Residential,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_1, Cluster_2, Cluster_3, Cluster_4, Cluster_5, Cluster_6, Cluster_7, Cluster_8, Cluster_9, Cluster_10, Cluster_11, Cluster_12, Cluster_13, Cluster_14, Cluster_15, Cluster_16, Cluster_17, Cluster_18, Cluster_19",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew | Precip | Pop_Dens | PCA | C1 | C2 | C3 | C4 | C5 | C6 | C7 | C8 | C9 | C10 | C11 | C12 | C13 | C14 | C15 | C16 | C17 | C18 | C19,23,30,33,21.0%,30.0%,29.1%,1012.1,1512.4,4240.1,29.8,37.9,47.9,-0.573,-2.346,-1.360,19.6%,27.7%,24.2%
Lasso,Non-residential,"Lasso, alpha = 1.0","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_1, Cluster_2, Cluster_3, Cluster_4, Cluster_5, Cluster_6, Cluster_7, Cluster_8, Cluster_9, Cluster_10, Cluster_11, Cluster_12, Cluster_13, Cluster_14, Cluster_15, Cluster_16, Cluster_17, Cluster_18, Cluster_19",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew | Precip | Pop_Dens | PCA | C1 | C2 | C3 | C4 | C5 | C6 | C7 | C8 | C9 | C10 | C11 | C12 | C13 | C14 | C15 | C16 | C17 | C18 | C19,38,50,26,20.7%,29.7%,14.1%,2944.0,4323.4,1857.9,43.9,56.6,34.7,-2.194,-9.007,-0.120,19.5%,28.7%,12.5%
Lasso,Residential,"Lasso, alpha = 1.0","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_1, Cluster_2, Cluster_3, Cluster_4, Cluster_5, Cluster_6, Cluster_7, Cluster_8, Cluster_9, Cluster_10, Cluster_11, Cluster_12, Cluster_13, Cluster_14, Cluster_15, Cluster_16, Cluster_17, Cluster_18, Cluster_19",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew | Precip | Pop_Dens | PCA | C1 | C2 | C3 | C4 | C5 | C6 | C7 | C8 | C9 | C10 | C11 | C12 | C13 | C14 | C15 | C16 | C17 | C18 | C19,21,25,22,20.6%,26.2%,18.7%,898.3,1011.4,1311.0,26.9,30.1,29.1,0.095,-0.607,0.279,18.1%,22.7%,16.2%
Ridge,Non-residential,"Ridge, alpha=1.0","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_1, Cluster_2, Cluster_3, Cluster_4, Cluster_5, Cluster_6, Cluster_7, Cluster_8, Cluster_9, Cluster_10, Cluster_11, Cluster_12, Cluster_13, Cluster_14, Cluster_15, Cluster_16, Cluster_17, Cluster_18, Cluster_19",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew | Precip | Pop_Dens | PCA | C1 | C2 | C3 | C4 | C5 | C6 | C7 | C8 | C9 | C10 | C11 | C12 | C13 | C14 | C15 | C16 | C17 | C18 | C19,38,54,25,21.1%,33.7%,14.4%,2849.2,4742.4,2050.8,43.7,60.8,35.8,-2.264,-14.122,-0.136,19.9%,32.3%,12.5%
Ridge,Residential,"Ridge, alpha=1.0","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_1, Cluster_2, Cluster_3, Cluster_4, Cluster_5, Cluster_6, Cluster_7, Cluster_8, Cluster_9, Cluster_10, Cluster_11, Cluster_12, Cluster_13, Cluster_14, Cluster_15, Cluster_16, Cluster_17, Cluster_18, Cluster_19",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew | Precip | Pop_Dens | PCA | C1 | C2 | C3 | C4 | C5 | C6 | C7 | C8 | C9 | C10 | C11 | C12 | C13 | C14 | C15 | C16 | C17 | C18 | C19,22,30,24,20.7%,33.8%,20.6%,937.4,1374.1,1617.1,28.2,36.6,31.5,-0.156,-2.603,0.171,18.7%,29.5%,17.6%
