Region,Target,Strategy,Features Used,Features Abbreviated,MSE,R²,MAE,RMSE,MAPE,WAPE
Asia & Oceania,Residential EUI (kWh/m2/year),within_domain,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,950.337,0.548,20.588,30.828,25.648,23.276
Asia & Oceania,Non-residential EUI (kWh/m2/year),within_domain,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,941.421,0.599,21.135,30.683,14.483,14.847
Europe,Residential EUI (kWh/m2/year),within_domain,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,6790.801,-1.164,59.319,82.406,44.035,30.629
Europe,Non-residential EUI (kWh/m2/year),within_domain,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,9551.068,-1.2,63.985,97.73,38.45,27.158
Africa,Residential EUI (kWh/m2/year),within_domain,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,179.656,-0.09,7.2,13.404,8.759,9.697
Africa,Non-residential EUI (kWh/m2/year),within_domain,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,151.796,0.035,5.176,12.321,8.397,5.0
Central and South America,Residential EUI (kWh/m2/year),within_domain,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,113.805,-0.075,8.723,10.668,11.876,11.644
Central and South America,Non-residential EUI (kWh/m2/year),within_domain,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,82.925,-1.049,6.752,9.106,6.326,6.365
Northern America,Residential EUI (kWh/m2/year),within_domain,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,935.099,0.385,22.546,30.579,11.453,13.331
Northern America,Non-residential EUI (kWh/m2/year),within_domain,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,4611.826,-1.426,60.215,67.91,21.146,22.142
Asia & Oceania,Residential EUI (kWh/m2/year),cross_domain,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,2145.938,-0.021,40.975,46.324,66.743,46.324
