,,,,,MAE,MAE,MAE,MAPE,MAPE,MAPE,MSE,MSE,MSE,RMSE,RMSE,RMSE,R²,R²,R²,WAPE,WAPE,WAPE
Strategy,,,,,All Domain,Cross Domain,Within Domain,All Domain,Cross Domain,Within Domain,All Domain,Cross Domain,Within Domain,All Domain,Cross Domain,Within Domain,All Domain,Cross Domain,Within Domain,All Domain,Cross Domain,Within Domain
Model,Target,Model Details,Features Used,Features Abbreviated,,,,,,,,,,,,,,,,,,
"KNN 
(Base line)",Non-residential,n_neighbors=1,"longitude_sin, longitude_cos, latitude_sin, latitude_cos",Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,37,77,24,17.6%,40.5%,11.8%,4612.4,10835.7,2476.5,53.6,92.3,38.8,-1.226,-41.808,-0.086,16.9%,41.6%,11.9%
"KNN 
(Base line)",Residential,n_neighbors=1,"longitude_sin, longitude_cos, latitude_sin, latitude_cos",Long_Sin | Long_Cos | Lat_Sin | Lat_Cos,28,47,24,21.4%,37.3%,18.3%,2422.4,3933.8,2223.5,41.1,60.1,36.4,-1.270,-7.235,-0.847,20.6%,38.9%,17.9%
LR,Non-residential,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,36,60,83,20.1%,39.2%,36.0%,2627.3,5449.1,23059.3,44.8,70.6,92.5,-2.690,-29.004,-11.016,19.3%,38.9%,33.9%
LR,Residential,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,24,34,33,23.0%,34.3%,27.6%,1068.5,1644.5,3087.3,30.5,40.3,43.7,-0.388,-3.699,-0.738,20.8%,32.3%,22.8%
Lasso,Non-residential,"Lasso, alpha = 1.0","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,36,55,23,19.9%,34.4%,13.1%,2707.5,4630.3,1544.7,45.1,64.4,32.1,-2.574,-19.148,0.154,19.0%,34.1%,11.5%
Lasso,Residential,"Lasso, alpha = 1.0","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,22,27,22,21.0%,26.4%,18.9%,923.3,1086.9,1382.5,27.4,31.4,29.7,0.069,-0.847,0.240,18.5%,24.1%,16.3%
Ridge,Non-residential,"Ridge, alpha=1.0","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,36,59,26,20.1%,38.6%,14.6%,2629.7,5276.3,1957.3,44.8,69.4,35.4,-2.679,-27.912,0.013,19.3%,38.2%,12.8%
Ridge,Residential,"Ridge, alpha=1.0","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, longitude_sin, longitude_cos, latitude_sin, latitude_cos, population_density",HDD | CDD | GDP | URB | Paris | HDI | EDU | Income | Temp | Dew | Precip | Long_Sin | Long_Cos | Lat_Sin | Lat_Cos | Pop_Dens,23,32,23,22.3%,31.8%,19.7%,1025.9,1476.0,1559.1,29.7,38.0,30.8,-0.256,-2.755,0.185,20.2%,30.1%,16.8%
"RF
(Best)",Non-residential,"n_estimators=10, max_depth=10, min_samples_split=2, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, Subnational HDI, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, longitude_cos, latitude_sin, latitude_cos",HDD | HDI | Income | Temp | Dew | Long_Cos | Lat_Sin | Lat_Cos,19,28,17,9.5%,13.5%,8.3%,1318.4,2452.1,1006.2,29.4,40.5,26.3,0.193,-0.551,0.276,9.0%,13.8%,8.0%
"RF
(Best)",Residential,"n_estimators=10, max_depth=10, min_samples_split=2, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, Subnational HDI, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, longitude_cos, latitude_sin, latitude_cos",HDD | HDI | Income | Temp | Dew | Long_Cos | Lat_Sin | Lat_Cos,20,29,19,15.3%,23.3%,14.4%,953.9,1604.9,1049.8,26.7,34.6,26.6,0.237,-0.302,0.399,14.9%,22.6%,14.1%
