,strategy,building_type,mape_overall,mape,params,features,combination_idx
0,within_domain,all,13.43903091138412,,{'estimators': 10},"['hdd_total_year', 'cdd_total_year', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023']",0
1,within_domain,residential,13.43903091138412,15.163622955325039,{'estimators': 10},"['hdd_total_year', 'cdd_total_year', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023']",0
2,within_domain,non_residential,13.43903091138412,11.714438867443203,{'estimators': 10},"['hdd_total_year', 'cdd_total_year', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023']",0
3,cross_domain,all,19.01683380238205,,{'estimators': 10},"['hdd_total_year', 'cdd_total_year', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023']",0
4,cross_domain,residential,19.01683380238205,25.295671814458338,{'estimators': 10},"['hdd_total_year', 'cdd_total_year', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023']",0
5,cross_domain,non_residential,19.01683380238205,12.73799579030576,{'estimators': 10},"['hdd_total_year', 'cdd_total_year', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023']",0
6,all_domain,all,13.512683678109926,,{'estimators': 10},"['hdd_total_year', 'cdd_total_year', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023']",0
7,all_domain,residential,13.512683678109926,15.228301816993595,{'estimators': 10},"['hdd_total_year', 'cdd_total_year', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023']",0
8,all_domain,non_residential,13.512683678109926,11.79706553922626,{'estimators': 10},"['hdd_total_year', 'cdd_total_year', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023']",0
9,within_domain,all,12.56560084453222,,{'estimators': 30},"['hdd_total_year', 'cdd_total_year', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023']",1
10,within_domain,residential,12.56560084453222,14.073543488109195,{'estimators': 30},"['hdd_total_year', 'cdd_total_year', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023']",1
11,within_domain,non_residential,12.56560084453222,11.057658200955244,{'estimators': 30},"['hdd_total_year', 'cdd_total_year', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023']",1
12,cross_domain,all,19.1902145710455,,{'estimators': 30},"['hdd_total_year', 'cdd_total_year', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023']",1
13,cross_domain,residential,19.1902145710455,26.11599715555618,{'estimators': 30},"['hdd_total_year', 'cdd_total_year', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023']",1
14,cross_domain,non_residential,19.1902145710455,12.264431986534824,{'estimators': 30},"['hdd_total_year', 'cdd_total_year', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023']",1
15,all_domain,all,13.466054588948193,,{'estimators': 30},"['hdd_total_year', 'cdd_total_year', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023']",1
16,all_domain,residential,13.466054588948193,15.72590104765299,{'estimators': 30},"['hdd_total_year', 'cdd_total_year', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023']",1
17,all_domain,non_residential,13.466054588948193,11.206208130243398,{'estimators': 30},"['hdd_total_year', 'cdd_total_year', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023']",1
