,strategy,building_type,mape_overall,mape,params,features,combination_idx
0,within_domain,all,11.862298458146778,,{'iterations': 100},"['hdd_total_year', 'cdd_total_year', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023']",0
1,within_domain,residential,11.862298458146778,13.329868898847103,{'iterations': 100},"['hdd_total_year', 'cdd_total_year', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023']",0
2,within_domain,non_residential,11.862298458146778,10.394728017446452,{'iterations': 100},"['hdd_total_year', 'cdd_total_year', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023']",0
3,cross_domain,all,19.269422455675247,,{'iterations': 100},"['hdd_total_year', 'cdd_total_year', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023']",0
4,cross_domain,residential,19.269422455675247,23.420257882902206,{'iterations': 100},"['hdd_total_year', 'cdd_total_year', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023']",0
5,cross_domain,non_residential,19.269422455675247,15.118587028448292,{'iterations': 100},"['hdd_total_year', 'cdd_total_year', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023']",0
6,all_domain,all,12.71891189823858,,{'iterations': 100},"['hdd_total_year', 'cdd_total_year', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023']",0
7,all_domain,residential,12.71891189823858,14.744439962936625,{'iterations': 100},"['hdd_total_year', 'cdd_total_year', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023']",0
8,all_domain,non_residential,12.71891189823858,10.693383833540539,{'iterations': 100},"['hdd_total_year', 'cdd_total_year', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023']",0
9,within_domain,all,12.028735703558095,,{'iterations': 200},"['hdd_total_year', 'cdd_total_year', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023']",1
10,within_domain,residential,12.028735703558095,13.675198170964725,{'iterations': 200},"['hdd_total_year', 'cdd_total_year', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023']",1
11,within_domain,non_residential,12.028735703558095,10.382273236151464,{'iterations': 200},"['hdd_total_year', 'cdd_total_year', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023']",1
12,cross_domain,all,18.4290277175948,,{'iterations': 200},"['hdd_total_year', 'cdd_total_year', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023']",1
13,cross_domain,residential,18.4290277175948,22.46736371536645,{'iterations': 200},"['hdd_total_year', 'cdd_total_year', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023']",1
14,cross_domain,non_residential,18.4290277175948,14.39069171982315,{'iterations': 200},"['hdd_total_year', 'cdd_total_year', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023']",1
15,all_domain,all,12.50526812515108,,{'iterations': 200},"['hdd_total_year', 'cdd_total_year', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023']",1
16,all_domain,residential,12.50526812515108,14.353578369891903,{'iterations': 200},"['hdd_total_year', 'cdd_total_year', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023']",1
17,all_domain,non_residential,12.50526812515108,10.656957880410255,{'iterations': 200},"['hdd_total_year', 'cdd_total_year', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023']",1
18,within_domain,all,11.819431305010555,,{'iterations': 300},"['hdd_total_year', 'cdd_total_year', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023']",2
19,within_domain,residential,11.819431305010555,13.450247434317266,{'iterations': 300},"['hdd_total_year', 'cdd_total_year', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023']",2
20,within_domain,non_residential,11.819431305010555,10.188615175703845,{'iterations': 300},"['hdd_total_year', 'cdd_total_year', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023']",2
21,cross_domain,all,18.438557819343153,,{'iterations': 300},"['hdd_total_year', 'cdd_total_year', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023']",2
22,cross_domain,residential,18.438557819343153,22.201976191377007,{'iterations': 300},"['hdd_total_year', 'cdd_total_year', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023']",2
23,cross_domain,non_residential,18.438557819343153,14.6751394473093,{'iterations': 300},"['hdd_total_year', 'cdd_total_year', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023']",2
24,all_domain,all,12.404615209790371,,{'iterations': 300},"['hdd_total_year', 'cdd_total_year', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023']",2
25,all_domain,residential,12.404615209790371,14.306220058773027,{'iterations': 300},"['hdd_total_year', 'cdd_total_year', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023']",2
26,all_domain,non_residential,12.404615209790371,10.503010360807716,{'iterations': 300},"['hdd_total_year', 'cdd_total_year', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023']",2
