Region,Target,Strategy,Model,Features Used,Features Abbreviated,MSE,R²,MAE,RMSE,MAPE,WAPE
Asia & Oceania,Residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"nearest_hdd, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,833.79,0.73,18.67,28.88,18.75,18.7
Asia & Oceania,Non-residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"nearest_hdd, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,596.4,0.71,17.36,24.42,12.25,12.12
Europe,Residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"nearest_hdd, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,2882.02,0.38,43.64,53.68,27.01,21.26
Europe,Non-residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"nearest_hdd, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,3930.52,0.12,47.93,62.69,27.31,22.04
Africa,Residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"nearest_hdd, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,26.83,0.23,4.2,5.18,6.21,6.08
Africa,Non-residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"nearest_hdd, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,174.87,0.02,4.56,13.22,8.6,4.47
Central and South America,Residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"nearest_hdd, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,134.04,0.45,9.77,11.58,11.93,12.02
Central and South America,Non-residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"nearest_hdd, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,70.4,-0.28,6.85,8.39,6.78,6.55
Northern America,Residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"nearest_hdd, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,768.66,0.14,25.72,27.72,15.57,14.96
Northern America,Non-residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"nearest_hdd, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,2514.84,-5.03,44.16,50.15,17.4,17.25
Total,Residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"nearest_hdd, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,929.068,0.38599999999999995,20.4,25.408,15.894,14.604000000000003
Total,Non-residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"nearest_hdd, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,1457.406,-0.892,24.171999999999997,31.774,14.468,12.485999999999999
