Region,Target,Strategy,Model,Features Used,Features Abbreviated,MSE,R²,MAE,RMSE,MAPE,WAPE
Asia & Oceania,Residential EUI (kWh/m2/year),Cross-Domain,Linear Regression,"nearest_hdd, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,3507.62,-0.05,46.1,59.23,73.58,50.21
Asia & Oceania,Non-residential EUI (kWh/m2/year),Cross-Domain,Linear Regression,"nearest_hdd, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,28985.18,-15.4,129.15,170.25,106.96,96.9
Europe,Residential EUI (kWh/m2/year),Cross-Domain,Linear Regression,"nearest_hdd, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,4843.73,0.16,54.66,69.6,34.77,26.03
Europe,Non-residential EUI (kWh/m2/year),Cross-Domain,Linear Regression,"nearest_hdd, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,5997.01,0.2,52.9,77.44,25.41,23.2
Africa,Residential EUI (kWh/m2/year),Cross-Domain,Linear Regression,"nearest_hdd, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,370.22,-1.4,14.78,19.24,19.78,20.69
Africa,Non-residential EUI (kWh/m2/year),Cross-Domain,Linear Regression,"nearest_hdd, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,2170.15,-30.98,40.93,46.58,38.98,39.0
Central and South America,Residential EUI (kWh/m2/year),Cross-Domain,Linear Regression,"nearest_hdd, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,339.4,-0.17,15.19,18.42,19.08,18.6
Central and South America,Non-residential EUI (kWh/m2/year),Cross-Domain,Linear Regression,"nearest_hdd, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,1921.0,-26.6,39.44,43.83,38.74,37.62
Northern America,Residential EUI (kWh/m2/year),Cross-Domain,Linear Regression,"nearest_hdd, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,1555.58,-0.62,36.24,39.44,21.67,22.01
Northern America,Non-residential EUI (kWh/m2/year),Cross-Domain,Linear Regression,"nearest_hdd, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,9290.5,-6.22,89.23,96.39,35.34,36.15
Total,Residential EUI (kWh/m2/year),Cross-Domain,Linear Regression,"nearest_hdd, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,2123.3099999999995,-0.4159999999999999,33.394,41.186,33.775999999999996,27.508
Total,Non-residential EUI (kWh/m2/year),Cross-Domain,Linear Regression,"nearest_hdd, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,9672.768,-15.8,70.33000000000001,86.898,49.086,46.574000000000005
