Region,Target,Strategy,Model,Features Used,Features Abbreviated,MSE,R²,MAE,RMSE,MAPE,WAPE
Asia & Oceania,Residential EUI (kWh/m2/year),Domain-Adaptation,Linear Regression,"nearest_hdd, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,2583.23,0.29,25.57,50.83,25.56,27.53
Asia & Oceania,Non-residential EUI (kWh/m2/year),Domain-Adaptation,Linear Regression,"nearest_hdd, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,1153.4,-0.43,23.9,33.96,19.46,18.81
Europe,Residential EUI (kWh/m2/year),Domain-Adaptation,Linear Regression,"nearest_hdd, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,2960.8,0.07,47.79,54.41,27.18,21.5
Europe,Non-residential EUI (kWh/m2/year),Domain-Adaptation,Linear Regression,"nearest_hdd, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,2826.47,-0.0,34.8,53.16,23.6,16.5
Africa,Residential EUI (kWh/m2/year),Domain-Adaptation,Linear Regression,"nearest_hdd, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,397.43,-1.65,13.34,19.94,16.97,18.45
Africa,Non-residential EUI (kWh/m2/year),Domain-Adaptation,Linear Regression,"nearest_hdd, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,349.75,-36.99,14.27,18.7,13.47,13.57
Central and South America,Residential EUI (kWh/m2/year),Domain-Adaptation,Linear Regression,"nearest_hdd, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,215.28,-0.13,12.1,14.67,16.25,15.7
Central and South America,Non-residential EUI (kWh/m2/year),Domain-Adaptation,Linear Regression,"nearest_hdd, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,518.14,-7.3,18.29,22.76,18.29,17.54
Northern America,Residential EUI (kWh/m2/year),Domain-Adaptation,Linear Regression,"nearest_hdd, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,1437.88,-0.23,36.62,37.92,20.3,20.43
Northern America,Non-residential EUI (kWh/m2/year),Domain-Adaptation,Linear Regression,"nearest_hdd, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,9473.61,-21.34,93.91,97.33,34.72,34.99
Total,Residential EUI (kWh/m2/year),Domain-Adaptation,Linear Regression,"nearest_hdd, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,1518.9240000000002,-0.32999999999999996,27.083999999999996,35.553999999999995,21.252,20.722
Total,Non-residential EUI (kWh/m2/year),Domain-Adaptation,Linear Regression,"nearest_hdd, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,2864.2740000000003,-13.212,37.034,45.182,21.907999999999998,20.282
