Region,Target,Strategy,Model,Features Used,Features Abbreviated,MSE,R²,MAE,RMSE,MAPE,WAPE
Asia & Oceania,Residential EUI (kWh/m2/year),Domain-Adaptation,Linear Regression,"HDD_total_year, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,2496.0,0.31,24.22,49.96,23.59,26.07
Asia & Oceania,Non-residential EUI (kWh/m2/year),Domain-Adaptation,Linear Regression,"HDD_total_year, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,1039.09,-0.29,23.12,32.23,18.62,18.19
Europe,Residential EUI (kWh/m2/year),Domain-Adaptation,Linear Regression,"HDD_total_year, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,2883.49,0.1,49.41,53.7,26.08,22.23
Europe,Non-residential EUI (kWh/m2/year),Domain-Adaptation,Linear Regression,"HDD_total_year, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,2716.54,0.04,38.28,52.12,23.95,18.16
Africa,Residential EUI (kWh/m2/year),Domain-Adaptation,Linear Regression,"HDD_total_year, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,346.94,-1.31,12.25,18.63,15.49,16.94
Africa,Non-residential EUI (kWh/m2/year),Domain-Adaptation,Linear Regression,"HDD_total_year, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,314.35,-33.15,13.96,17.73,13.17,13.27
Central and South America,Residential EUI (kWh/m2/year),Domain-Adaptation,Linear Regression,"HDD_total_year, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,150.38,0.21,10.84,12.26,14.88,14.07
Central and South America,Non-residential EUI (kWh/m2/year),Domain-Adaptation,Linear Regression,"HDD_total_year, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,418.55,-5.71,16.76,20.46,16.86,16.07
Northern America,Residential EUI (kWh/m2/year),Domain-Adaptation,Linear Regression,"HDD_total_year, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,1783.65,-0.52,41.32,42.23,22.99,23.05
Northern America,Non-residential EUI (kWh/m2/year),Domain-Adaptation,Linear Regression,"HDD_total_year, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,10087.75,-22.79,97.78,100.44,36.24,36.44
Total,Residential EUI (kWh/m2/year),Domain-Adaptation,Linear Regression,"HDD_total_year, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,1532.0919999999999,-0.242,27.607999999999997,35.355999999999995,20.605999999999998,20.472
Total,Non-residential EUI (kWh/m2/year),Domain-Adaptation,Linear Regression,"HDD_total_year, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,2915.256,-12.379999999999999,37.980000000000004,44.596,21.768,20.426
