Region,Target,Strategy,Model,Features Used,Features Abbreviated,MSE,R²,MAE,RMSE,MAPE,WAPE
Asia & Oceania,Residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"HDD_total_year, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,920.44,0.7,18.79,30.34,18.31,18.81
Asia & Oceania,Non-residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"HDD_total_year, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,640.27,0.69,18.14,25.3,12.38,12.67
Europe,Residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"HDD_total_year, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,2860.6,0.39,43.27,53.48,26.74,21.08
Europe,Non-residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"HDD_total_year, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,3419.09,0.23,44.28,58.47,24.75,20.36
Africa,Residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"HDD_total_year, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,21.69,0.38,3.9,4.66,5.77,5.66
Africa,Non-residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"HDD_total_year, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,178.98,-0.0,4.25,13.38,8.38,4.17
Central and South America,Residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"HDD_total_year, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,142.15,0.42,9.98,11.92,12.22,12.28
Central and South America,Non-residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"HDD_total_year, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,72.49,-0.32,7.01,8.51,6.93,6.7
Northern America,Residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"HDD_total_year, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,1056.13,-0.18,29.93,32.5,18.41,17.41
Northern America,Non-residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"HDD_total_year, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,2172.24,-4.21,41.76,46.61,16.44,16.31
Total,Residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"HDD_total_year, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,1000.202,0.34199999999999997,21.174,26.579999999999995,16.29,15.047999999999998
Total,Non-residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"HDD_total_year, GDP_2022, Urbanization_Rate_2022, latitude, longitude, Population_2023, Paris_Agreement",HDD | GDP | URB | Lat | Long | Pop | Paris,1296.614,-0.7220000000000001,23.088,30.453999999999997,13.776000000000002,12.042000000000002
