Region,Target,Strategy,Model,Features Used,Features Abbreviated,MSE,R²,MAE,RMSE,MAPE,WAPE
Asia & Oceania,Residential EUI (kWh/m2/year),All-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement",HDD | GDP | URB | Lat | Long | Paris,2923.74,0.19,30.31,54.07,36.6,32.63
Asia & Oceania,Non-residential EUI (kWh/m2/year),All-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement",HDD | GDP | URB | Lat | Long | Paris,1126.01,-0.4,24.28,33.56,19.29,19.11
Europe,Residential EUI (kWh/m2/year),All-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement",HDD | GDP | URB | Lat | Long | Paris,3311.92,-0.04,52.53,57.55,27.14,23.64
Europe,Non-residential EUI (kWh/m2/year),All-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement",HDD | GDP | URB | Lat | Long | Paris,3413.36,-0.21,43.01,58.42,26.76,20.4
Africa,Residential EUI (kWh/m2/year),All-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement",HDD | GDP | URB | Lat | Long | Paris,485.95,-2.24,17.21,22.04,23.01,23.81
Africa,Non-residential EUI (kWh/m2/year),All-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement",HDD | GDP | URB | Lat | Long | Paris,357.38,-37.82,15.04,18.9,14.23,14.31
Central and South America,Residential EUI (kWh/m2/year),All-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement",HDD | GDP | URB | Lat | Long | Paris,356.99,-0.88,17.54,18.89,24.34,22.76
Central and South America,Non-residential EUI (kWh/m2/year),All-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement",HDD | GDP | URB | Lat | Long | Paris,462.8,-6.41,19.67,21.51,19.52,18.86
Northern America,Residential EUI (kWh/m2/year),All-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement",HDD | GDP | URB | Lat | Long | Paris,2132.76,-0.82,44.96,46.18,24.98,25.08
Northern America,Non-residential EUI (kWh/m2/year),All-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement",HDD | GDP | URB | Lat | Long | Paris,12388.59,-28.22,108.57,111.3,40.28,40.46
Total,Residential EUI (kWh/m2/year),All-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement",HDD | GDP | URB | Lat | Long | Paris,1842.2720000000002,-0.758,32.510000000000005,39.746,27.214,25.584
Total,Non-residential EUI (kWh/m2/year),All-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement",HDD | GDP | URB | Lat | Long | Paris,3549.6279999999997,-14.612,42.114,48.738,24.016,22.628000000000004
