Region,Target,Strategy,Model,Features Used,Features Abbreviated,MSE,R²,MAE,RMSE,MAPE,WAPE
Asia & Oceania,Residential EUI (kWh/m2/year),Cross-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement",HDD | GDP | URB | Lat | Long | Paris,2162.89,0.36,32.62,46.51,42.9,35.54
Asia & Oceania,Non-residential EUI (kWh/m2/year),Cross-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement",HDD | GDP | URB | Lat | Long | Paris,1553.87,0.12,24.35,39.42,16.22,18.27
Europe,Residential EUI (kWh/m2/year),Cross-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement",HDD | GDP | URB | Lat | Long | Paris,6124.95,-0.07,62.37,78.26,37.8,29.71
Europe,Non-residential EUI (kWh/m2/year),Cross-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement",HDD | GDP | URB | Lat | Long | Paris,5717.32,0.23,54.67,75.61,28.77,23.98
Africa,Residential EUI (kWh/m2/year),Cross-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement",HDD | GDP | URB | Lat | Long | Paris,477.52,-2.1,16.89,21.85,23.28,23.64
Africa,Non-residential EUI (kWh/m2/year),Cross-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement",HDD | GDP | URB | Lat | Long | Paris,426.67,-5.29,16.57,20.66,16.36,15.79
Central and South America,Residential EUI (kWh/m2/year),Cross-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement",HDD | GDP | URB | Lat | Long | Paris,563.76,-0.94,18.89,23.74,25.0,23.12
Central and South America,Non-residential EUI (kWh/m2/year),Cross-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement",HDD | GDP | URB | Lat | Long | Paris,1448.38,-19.81,34.49,38.06,33.98,32.89
Northern America,Residential EUI (kWh/m2/year),Cross-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement",HDD | GDP | URB | Lat | Long | Paris,2166.04,-1.26,43.84,46.54,26.46,26.62
Northern America,Non-residential EUI (kWh/m2/year),Cross-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement",HDD | GDP | URB | Lat | Long | Paris,11884.01,-8.23,101.75,109.01,40.53,41.22
Total,Residential EUI (kWh/m2/year),Cross-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement",HDD | GDP | URB | Lat | Long | Paris,2299.032,-0.8019999999999999,34.922,43.38,31.088,27.726
Total,Non-residential EUI (kWh/m2/year),Cross-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement",HDD | GDP | URB | Lat | Long | Paris,4206.05,-6.596000000000001,46.366,56.552,27.171999999999997,26.43
