Region,Target,Strategy,Model,Features Used,Features Abbreviated,MSE,R²,MAE,RMSE,MAPE,WAPE
Asia & Oceania,Residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement",HDD | GDP | URB | Lat | Long | Paris,1287.11,0.58,23.29,35.88,25.62,23.32
Asia & Oceania,Non-residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement",HDD | GDP | URB | Lat | Long | Paris,650.01,0.68,18.13,25.5,12.2,12.66
Europe,Residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement",HDD | GDP | URB | Lat | Long | Paris,2694.86,0.42,39.85,51.91,25.77,19.41
Europe,Non-residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement",HDD | GDP | URB | Lat | Long | Paris,3906.56,0.12,46.17,62.5,27.85,21.23
Africa,Residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement",HDD | GDP | URB | Lat | Long | Paris,31.14,0.11,4.73,5.58,6.85,6.85
Africa,Non-residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement",HDD | GDP | URB | Lat | Long | Paris,178.38,0.0,4.23,13.36,8.36,4.16
Central and South America,Residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement",HDD | GDP | URB | Lat | Long | Paris,165.13,0.32,10.73,12.85,13.03,13.2
Central and South America,Non-residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement",HDD | GDP | URB | Lat | Long | Paris,56.78,-0.03,5.42,7.54,5.54,5.18
Northern America,Residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement",HDD | GDP | URB | Lat | Long | Paris,1056.13,-0.18,29.93,32.5,18.41,17.41
Northern America,Non-residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement",HDD | GDP | URB | Lat | Long | Paris,2172.24,-4.21,41.76,46.61,16.44,16.31
Total,Residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement",HDD | GDP | URB | Lat | Long | Paris,1046.874,0.25000000000000006,21.706,27.743999999999993,17.936,16.038
Total,Non-residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement",HDD | GDP | URB | Lat | Long | Paris,1392.7939999999999,-0.688,23.142000000000003,31.101999999999997,14.078,11.907999999999998
