Region,Target,Strategy,Model,Features Used,Features Abbreviated,MSE,R²,MAE,RMSE,MAPE,WAPE
Asia & Oceania,Residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,984.14,0.53,20.68,31.37,25.67,23.37
Asia & Oceania,Non-residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,912.26,0.61,20.99,30.2,14.41,14.74
Europe,Residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,6790.8,-1.16,59.32,82.41,44.04,30.63
Europe,Non-residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,9551.07,-1.2,63.99,97.73,38.45,27.16
Africa,Residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,181.34,-0.1,7.3,13.47,8.91,9.83
Africa,Non-residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,152.48,0.03,5.03,12.35,8.27,4.86
Central and South America,Residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,114.55,-0.08,8.63,10.7,11.75,11.53
Central and South America,Non-residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,81.28,-1.01,6.73,9.02,6.3,6.34
Northern America,Residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,986.51,0.35,24.51,31.41,12.74,14.49
Northern America,Non-residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,7476.17,-2.93,85.92,86.46,31.95,31.59
Total,Residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,1811.468,-0.09199999999999997,24.088,33.872,20.622,17.97
Total,Non-residential EUI (kWh/m2/year),Within-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,3634.6520000000005,-0.9,36.532000000000004,47.152,19.875999999999998,16.938
