Region,Target,Strategy,Model,Features Used,Features Abbreviated,MSE,R²,MAE,RMSE,MAPE,WAPE
Asia & Oceania,Residential EUI (kWh/m2/year),Within-Domain,KNN,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,1235.6,0.41,20.97,35.15,21.57,23.7
Asia & Oceania,Non-residential EUI (kWh/m2/year),Within-Domain,KNN,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,411.71,0.82,10.46,20.29,6.09,7.35
Europe,Residential EUI (kWh/m2/year),Within-Domain,KNN,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,2692.99,0.14,44.29,51.89,28.08,22.87
Europe,Non-residential EUI (kWh/m2/year),Within-Domain,KNN,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,2761.94,0.36,39.52,52.55,17.78,16.77
Africa,Residential EUI (kWh/m2/year),Within-Domain,KNN,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,129.18,0.22,6.9,11.37,8.22,9.29
Africa,Non-residential EUI (kWh/m2/year),Within-Domain,KNN,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,168.98,-0.07,5.51,13.0,8.88,5.33
Central and South America,Residential EUI (kWh/m2/year),Within-Domain,KNN,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,48.42,0.54,5.22,6.96,7.07,6.97
Central and South America,Non-residential EUI (kWh/m2/year),Within-Domain,KNN,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,58.76,-0.45,4.43,7.67,4.11,4.18
Northern America,Residential EUI (kWh/m2/year),Within-Domain,KNN,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,1114.66,0.27,23.74,33.39,12.05,14.03
Northern America,Non-residential EUI (kWh/m2/year),Within-Domain,KNN,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,3783.53,-0.99,45.68,61.51,14.95,16.8
Total,Residential EUI (kWh/m2/year),Within-Domain,KNN,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,1044.1699999999998,0.316,20.223999999999997,27.752,15.398,15.372
Total,Non-residential EUI (kWh/m2/year),Within-Domain,KNN,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,1436.984,-0.06600000000000002,21.119999999999997,31.004,10.362,10.085999999999999
