Region,Target,Strategy,Model,Features Used,Features Abbreviated,MSE,R²,MAE,RMSE,MAPE,WAPE
Asia & Oceania,Residential EUI (kWh/m2/year),All-Domain,KNN,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,1252.92,0.4,20.16,35.4,19.84,22.79
Asia & Oceania,Non-residential EUI (kWh/m2/year),All-Domain,KNN,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,532.84,0.77,11.64,23.08,7.64,8.18
Europe,Residential EUI (kWh/m2/year),All-Domain,KNN,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,3069.23,0.02,45.43,55.4,27.9,23.46
Europe,Non-residential EUI (kWh/m2/year),All-Domain,KNN,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,3045.36,0.3,37.18,55.18,15.97,15.78
Africa,Residential EUI (kWh/m2/year),All-Domain,KNN,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,146.4,0.11,7.13,12.1,8.27,9.6
Africa,Non-residential EUI (kWh/m2/year),All-Domain,KNN,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,170.01,-0.08,5.69,13.04,9.03,5.49
Central and South America,Residential EUI (kWh/m2/year),All-Domain,KNN,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,59.93,0.43,5.99,7.74,8.36,8.0
Central and South America,Non-residential EUI (kWh/m2/year),All-Domain,KNN,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,41.06,-0.01,3.59,6.41,3.33,3.38
Northern America,Residential EUI (kWh/m2/year),All-Domain,KNN,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,682.92,0.55,22.01,26.13,12.19,13.02
Northern America,Non-residential EUI (kWh/m2/year),All-Domain,KNN,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,2662.54,-0.4,36.62,51.6,11.81,13.47
Total,Residential EUI (kWh/m2/year),All-Domain,KNN,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,1042.28,0.302,20.144,27.353999999999996,15.311999999999998,15.374
Total,Non-residential EUI (kWh/m2/year),All-Domain,KNN,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,1290.3619999999999,0.11600000000000002,18.944,29.861999999999995,9.556000000000001,9.260000000000002
