Region,Target,Strategy,Model,Features Used,Features Abbreviated,MSE,R²,MAE,RMSE,MAPE,WAPE
Asia & Oceania,Residential EUI (kWh/m2/year),Cross-Domain,KNN,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,2507.38,0.25,31.17,50.07,36.01,33.95
Asia & Oceania,Non-residential EUI (kWh/m2/year),Cross-Domain,KNN,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,940.53,0.47,18.26,30.67,12.84,13.7
Europe,Residential EUI (kWh/m2/year),Cross-Domain,KNN,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,5364.08,0.07,55.87,73.24,30.39,26.61
Europe,Non-residential EUI (kWh/m2/year),Cross-Domain,KNN,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,6944.17,0.07,53.35,83.33,22.59,23.4
Africa,Residential EUI (kWh/m2/year),Cross-Domain,KNN,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,893.02,-4.79,24.71,29.88,35.12,34.58
Africa,Non-residential EUI (kWh/m2/year),Cross-Domain,KNN,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,134.59,-0.98,7.64,11.6,8.55,7.28
Central and South America,Residential EUI (kWh/m2/year),Cross-Domain,KNN,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,985.72,-2.39,24.18,31.4,28.67,29.6
Central and South America,Non-residential EUI (kWh/m2/year),Cross-Domain,KNN,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,3436.53,-48.38,33.99,58.62,35.06,32.42
Northern America,Residential EUI (kWh/m2/year),Cross-Domain,KNN,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,2716.33,-1.83,48.76,52.12,29.23,29.61
Northern America,Non-residential EUI (kWh/m2/year),Cross-Domain,KNN,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,5888.86,-3.57,64.29,76.74,25.35,26.04
Total,Residential EUI (kWh/m2/year),Cross-Domain,KNN,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,2493.3059999999996,-1.738,36.938,47.342,31.883999999999997,30.870000000000005
Total,Non-residential EUI (kWh/m2/year),Cross-Domain,KNN,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,3468.936,-10.478,35.50600000000001,52.19199999999999,20.878000000000004,20.568
