Region,Target,Strategy,Model,Features Used,Features Abbreviated,MSE,R²,MAE,RMSE,MAPE,WAPE
Asia & Oceania,Residential EUI (kWh/m2/year),All-Domain,KNN,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,1097.28,0.48,18.24,33.13,17.98,20.62
Asia & Oceania,Non-residential EUI (kWh/m2/year),All-Domain,KNN,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,580.85,0.75,11.71,24.1,7.53,8.23
Europe,Residential EUI (kWh/m2/year),All-Domain,KNN,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,3069.23,0.02,45.43,55.4,27.9,23.46
Europe,Non-residential EUI (kWh/m2/year),All-Domain,KNN,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,3045.36,0.3,37.18,55.18,15.97,15.78
Africa,Residential EUI (kWh/m2/year),All-Domain,KNN,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,162.27,0.02,7.6,12.74,8.92,10.24
Africa,Non-residential EUI (kWh/m2/year),All-Domain,KNN,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,178.47,-0.13,6.23,13.36,9.54,6.01
Central and South America,Residential EUI (kWh/m2/year),All-Domain,KNN,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,57.41,0.46,6.2,7.58,8.67,8.28
Central and South America,Non-residential EUI (kWh/m2/year),All-Domain,KNN,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,98.31,-1.43,6.25,9.92,5.76,5.89
Northern America,Residential EUI (kWh/m2/year),All-Domain,KNN,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,682.92,0.55,22.01,26.13,12.19,13.02
Northern America,Non-residential EUI (kWh/m2/year),All-Domain,KNN,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,2662.54,-0.4,36.62,51.6,11.81,13.47
Total,Residential EUI (kWh/m2/year),All-Domain,KNN,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,1013.8220000000001,0.306,19.896,26.996,15.132,15.124
Total,Non-residential EUI (kWh/m2/year),All-Domain,KNN,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,1313.106,-0.182,19.598000000000003,30.832,10.122,9.876
