Region,Target,Strategy,Model,Features Used,Features Abbreviated,MSE,R²,MAE,RMSE,MAPE,WAPE
Asia & Oceania,Residential EUI (kWh/m2/year),All-Domain,Linear Regression,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,1045.12,0.5,22.07,32.33,33.12,24.95
Asia & Oceania,Non-residential EUI (kWh/m2/year),All-Domain,Linear Regression,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,1251.55,0.47,22.25,35.38,14.06,15.63
Europe,Residential EUI (kWh/m2/year),All-Domain,Linear Regression,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,2670.84,0.15,42.36,51.68,27.5,21.87
Europe,Non-residential EUI (kWh/m2/year),All-Domain,Linear Regression,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,3096.72,0.29,42.02,55.65,21.45,17.84
Africa,Residential EUI (kWh/m2/year),All-Domain,Linear Regression,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,556.47,-2.38,15.89,23.59,19.39,21.4
Africa,Non-residential EUI (kWh/m2/year),All-Domain,Linear Regression,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,501.44,-2.19,18.25,22.39,20.47,17.63
Central and South America,Residential EUI (kWh/m2/year),All-Domain,Linear Regression,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,332.31,-2.14,14.93,18.23,21.28,19.93
Central and South America,Non-residential EUI (kWh/m2/year),All-Domain,Linear Regression,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,197.46,-3.88,11.97,14.05,11.68,11.29
Northern America,Residential EUI (kWh/m2/year),All-Domain,Linear Regression,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,2687.85,-0.77,46.21,51.84,25.79,27.32
Northern America,Non-residential EUI (kWh/m2/year),All-Domain,Linear Regression,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,12778.48,-5.72,109.4,113.04,39.64,40.23
Total,Residential EUI (kWh/m2/year),All-Domain,Linear Regression,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,1458.518,-0.9280000000000002,28.292,35.534000000000006,25.415999999999997,23.094
Total,Non-residential EUI (kWh/m2/year),All-Domain,Linear Regression,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,3565.1299999999997,-2.206,40.778000000000006,48.102,21.46,20.523999999999997
