Region,Target,Strategy,Model,Features Used,Features Abbreviated,MSE,R²,MAE,RMSE,MAPE,WAPE
Asia & Oceania,Residential EUI (kWh/m2/year),Cross-Domain,KNN,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,2512.15,0.25,31.16,50.12,36.28,33.94
Asia & Oceania,Non-residential EUI (kWh/m2/year),Cross-Domain,KNN,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,1047.66,0.41,18.56,32.37,12.97,13.93
Europe,Residential EUI (kWh/m2/year),Cross-Domain,KNN,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,5357.37,0.07,55.8,73.19,30.34,26.58
Europe,Non-residential EUI (kWh/m2/year),Cross-Domain,KNN,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,6972.83,0.07,53.72,83.5,22.79,23.56
Africa,Residential EUI (kWh/m2/year),Cross-Domain,KNN,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,865.67,-4.61,23.53,29.42,33.21,32.92
Africa,Non-residential EUI (kWh/m2/year),Cross-Domain,KNN,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,134.12,-0.98,7.97,11.58,8.84,7.59
Central and South America,Residential EUI (kWh/m2/year),Cross-Domain,KNN,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,828.07,-1.85,22.2,28.78,25.47,27.17
Central and South America,Non-residential EUI (kWh/m2/year),Cross-Domain,KNN,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,3003.81,-42.16,32.23,54.81,32.83,30.74
Northern America,Residential EUI (kWh/m2/year),Cross-Domain,KNN,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,2584.65,-1.69,45.04,50.84,26.48,27.35
Northern America,Non-residential EUI (kWh/m2/year),Cross-Domain,KNN,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,5311.55,-3.13,60.85,72.88,23.84,24.65
Total,Residential EUI (kWh/m2/year),Cross-Domain,KNN,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,2429.582,-1.566,35.546,46.470000000000006,30.356,29.592000000000002
Total,Non-residential EUI (kWh/m2/year),Cross-Domain,KNN,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,3293.994,-9.158,34.666,51.028,20.253999999999998,20.094
