Region,Target,Strategy,Model,Features Used,Features Abbreviated,MSE,R²,MAE,RMSE,MAPE,WAPE
Asia & Oceania,Residential EUI (kWh/m2/year),Cross-Domain,Linear Regression,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,2711.23,0.19,40.24,52.07,61.54,43.83
Asia & Oceania,Non-residential EUI (kWh/m2/year),Cross-Domain,Linear Regression,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,1341.85,0.24,26.79,36.63,19.37,20.1
Europe,Residential EUI (kWh/m2/year),Cross-Domain,Linear Regression,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,5533.93,0.04,58.06,74.39,35.33,27.66
Europe,Non-residential EUI (kWh/m2/year),Cross-Domain,Linear Regression,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,5507.64,0.26,51.89,74.21,26.8,22.76
Africa,Residential EUI (kWh/m2/year),Cross-Domain,Linear Regression,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,960.74,-5.23,26.5,31.0,36.77,37.09
Africa,Non-residential EUI (kWh/m2/year),Cross-Domain,Linear Regression,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,1923.2,-27.34,35.44,43.85,34.34,33.77
Central and South America,Residential EUI (kWh/m2/year),Cross-Domain,Linear Regression,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,1014.54,-2.49,28.11,31.85,36.26,34.4
Central and South America,Non-residential EUI (kWh/m2/year),Cross-Domain,Linear Regression,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,2428.4,-33.89,46.03,49.28,45.07,43.9
Northern America,Residential EUI (kWh/m2/year),Cross-Domain,Linear Regression,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,2428.5,-1.53,46.61,49.28,28.2,28.3
Northern America,Non-residential EUI (kWh/m2/year),Cross-Domain,Linear Regression,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,10453.49,-7.12,94.51,102.24,37.53,38.28
Total,Residential EUI (kWh/m2/year),Cross-Domain,Linear Regression,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,2529.7879999999996,-1.8039999999999998,39.90400000000001,47.718,39.62,34.256
Total,Non-residential EUI (kWh/m2/year),Cross-Domain,Linear Regression,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,4330.916,-13.570000000000002,50.932,61.242,32.622,31.762
