Region,Target,Strategy,Model,Features Used,Features Abbreviated,MSE,R²,MAE,RMSE,MAPE,WAPE
Asia & Oceania,Residential EUI (kWh/m2/year),Within-Domain,KNN,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,1030.27,0.51,19.48,32.1,19.78,22.02
Asia & Oceania,Non-residential EUI (kWh/m2/year),Within-Domain,KNN,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,456.26,0.81,10.55,21.36,5.98,7.41
Europe,Residential EUI (kWh/m2/year),Within-Domain,KNN,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,2692.99,0.14,44.29,51.89,28.08,22.87
Europe,Non-residential EUI (kWh/m2/year),Within-Domain,KNN,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,2761.94,0.36,39.52,52.55,17.78,16.77
Africa,Residential EUI (kWh/m2/year),Within-Domain,KNN,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,127.76,0.23,6.74,11.3,7.98,9.08
Africa,Non-residential EUI (kWh/m2/year),Within-Domain,KNN,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,162.65,-0.03,5.34,12.75,8.66,5.16
Central and South America,Residential EUI (kWh/m2/year),Within-Domain,KNN,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,43.49,0.59,4.95,6.59,6.79,6.61
Central and South America,Non-residential EUI (kWh/m2/year),Within-Domain,KNN,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,61.86,-0.53,4.63,7.87,4.29,4.37
Northern America,Residential EUI (kWh/m2/year),Within-Domain,KNN,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,1246.71,0.18,30.18,35.31,16.74,17.85
Northern America,Non-residential EUI (kWh/m2/year),Within-Domain,KNN,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,2753.28,-0.45,31.98,52.47,9.8,11.76
Total,Residential EUI (kWh/m2/year),Within-Domain,KNN,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,1028.244,0.32999999999999996,21.127999999999997,27.438,15.874,15.686000000000002
Total,Non-residential EUI (kWh/m2/year),Within-Domain,KNN,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,1239.1979999999999,0.03199999999999997,18.404000000000003,29.4,9.302000000000001,9.094
