,Region,Target,Strategy,Model,Model Details,Features Used,Features Abbreviated,MSE,RMSE,MAE,R²,MAPE,WAPE
0,Asia & Oceania,Residential EUI (kWh/m2/year),within_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.8, colsample_bytree=0.8, min_child_weight=1, random_state=42, objective=reg:squarederror","hdd_total_year, cdd_total_year, Urbanization_Rate_2022, latitude, longitude, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | URB | Lat | Long | HDI | EDU | Income | Temp | Dew | Precip,652.004,25.534,17.373,0.699,18.2,19.8
1,Asia & Oceania,Non-residential EUI (kWh/m2/year),within_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.8, colsample_bytree=0.8, min_child_weight=1, random_state=42, objective=reg:squarederror","hdd_total_year, cdd_total_year, Urbanization_Rate_2022, latitude, longitude, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | URB | Lat | Long | HDI | EDU | Income | Temp | Dew | Precip,109.476,10.463,6.43,0.921,4.5,4.7
2,Europe,Residential EUI (kWh/m2/year),within_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.8, colsample_bytree=0.8, min_child_weight=1, random_state=42, objective=reg:squarederror","hdd_total_year, cdd_total_year, Urbanization_Rate_2022, latitude, longitude, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | URB | Lat | Long | HDI | EDU | Income | Temp | Dew | Precip,3738.105,61.14,44.362,-0.191,27.4,22.9
3,Europe,Non-residential EUI (kWh/m2/year),within_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.8, colsample_bytree=0.8, min_child_weight=1, random_state=42, objective=reg:squarederror","hdd_total_year, cdd_total_year, Urbanization_Rate_2022, latitude, longitude, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | URB | Lat | Long | HDI | EDU | Income | Temp | Dew | Precip,3989.223,63.16,39.233,0.081,16.7,16.7
4,Africa,Residential EUI (kWh/m2/year),within_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.8, colsample_bytree=0.8, min_child_weight=1, random_state=42, objective=reg:squarederror","hdd_total_year, cdd_total_year, Urbanization_Rate_2022, latitude, longitude, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | URB | Lat | Long | HDI | EDU | Income | Temp | Dew | Precip,140.177,11.84,6.811,0.15,8.4,9.2
5,Africa,Non-residential EUI (kWh/m2/year),within_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.8, colsample_bytree=0.8, min_child_weight=1, random_state=42, objective=reg:squarederror","hdd_total_year, cdd_total_year, Urbanization_Rate_2022, latitude, longitude, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | URB | Lat | Long | HDI | EDU | Income | Temp | Dew | Precip,156.046,12.492,4.691,0.008,8.0,4.5
6,Central and South America,Residential EUI (kWh/m2/year),within_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.8, colsample_bytree=0.8, min_child_weight=1, random_state=42, objective=reg:squarederror","hdd_total_year, cdd_total_year, Urbanization_Rate_2022, latitude, longitude, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | URB | Lat | Long | HDI | EDU | Income | Temp | Dew | Precip,25.157,5.016,3.552,0.761,4.5,4.7
7,Central and South America,Non-residential EUI (kWh/m2/year),within_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.8, colsample_bytree=0.8, min_child_weight=1, random_state=42, objective=reg:squarederror","hdd_total_year, cdd_total_year, Urbanization_Rate_2022, latitude, longitude, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | URB | Lat | Long | HDI | EDU | Income | Temp | Dew | Precip,47.035,6.858,4.517,-0.094,4.4,4.3
8,Northern America,Residential EUI (kWh/m2/year),within_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.8, colsample_bytree=0.8, min_child_weight=1, random_state=42, objective=reg:squarederror","hdd_total_year, cdd_total_year, Urbanization_Rate_2022, latitude, longitude, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | URB | Lat | Long | HDI | EDU | Income | Temp | Dew | Precip,1540.246,39.246,31.056,-0.013,16.3,18.4
9,Northern America,Non-residential EUI (kWh/m2/year),within_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.8, colsample_bytree=0.8, min_child_weight=1, random_state=42, objective=reg:squarederror","hdd_total_year, cdd_total_year, Urbanization_Rate_2022, latitude, longitude, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | URB | Lat | Long | HDI | EDU | Income | Temp | Dew | Precip,2204.606,46.953,46.401,-0.16,17.1,17.1
10,Asia & Oceania,Residential EUI (kWh/m2/year),cross_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.8, colsample_bytree=0.8, min_child_weight=1, random_state=42, objective=reg:squarederror","hdd_total_year, cdd_total_year, Urbanization_Rate_2022, latitude, longitude, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | URB | Lat | Long | HDI | EDU | Income | Temp | Dew | Precip,850.489,29.163,23.127,0.607,33.1,26.4
