,,,,,MAE,MAE,MAE,MAPE,MAPE,MAPE,MSE,MSE,MSE,RMSE,RMSE,RMSE,R²,R²,R²,WAPE,WAPE,WAPE
Strategy,,,,,All Domain,Cross Domain,Within Domain,All Domain,Cross Domain,Within Domain,All Domain,Cross Domain,Within Domain,All Domain,Cross Domain,Within Domain,All Domain,Cross Domain,Within Domain,All Domain,Cross Domain,Within Domain
Model,Target,Model Details,Features Used,Features Abbreviated,,,,,,,,,,,,,,,,,,
"KNN 
(Base line)",Non-residential,n_neighbors=1,"latitude, longitude",Lat | Long,34,76,23,16.1%,38.4%,11.7%,4040.6,11058.7,2196.8,48.0,91.0,34.4,-1.069,-32.965,-0.023,15.4%,39.2%,11.1%
"KNN 
(Base line)",Residential,n_neighbors=1,"latitude, longitude",Lat | Long,27,49,24,21.1%,37.2%,18.2%,2410.1,4679.9,2219.3,41.0,62.4,36.4,-1.257,-6.397,-0.854,20.3%,38.7%,17.8%
LR,Non-residential,No regularization,"hdd_total_year, cdd_total_year, Urbanization_Rate_2022, latitude, longitude, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | URB | Lat | Long | HDI | EDU | Income | Temp | Dew | Precip,37,52,22,20.4%,30.6%,12.1%,3059.7,4811.2,1059.9,44.4,60.2,27.8,-2.078,-9.683,0.112,19.3%,29.4%,11.1%
LR,Residential,No regularization,"hdd_total_year, cdd_total_year, Urbanization_Rate_2022, latitude, longitude, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | URB | Lat | Long | HDI | EDU | Income | Temp | Dew | Precip,24,31,26,23.0%,35.0%,21.6%,1058.2,1541.2,1693.2,30.5,38.9,33.5,-0.467,-3.188,-0.204,20.9%,30.6%,19.4%
Lasso,Non-residential,"Lasso, alpha = 1.0","hdd_total_year, cdd_total_year, Urbanization_Rate_2022, latitude, longitude, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | URB | Lat | Long | HDI | EDU | Income | Temp | Dew | Precip,37,49,18,20.1%,28.6%,10.4%,2988.3,4372.1,987.8,44.0,56.6,26.9,-1.946,-7.257,0.227,18.9%,27.6%,9.6%
Lasso,Residential,"Lasso, alpha = 1.0","hdd_total_year, cdd_total_year, Urbanization_Rate_2022, latitude, longitude, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | URB | Lat | Long | HDI | EDU | Income | Temp | Dew | Precip,22,25,19,21.3%,26.4%,15.8%,932.3,1032.5,789.4,27.7,30.6,24.4,0.023,-0.668,0.447,18.9%,22.9%,14.8%
Ridge,Non-residential,"Ridge, alpha=1.0","hdd_total_year, cdd_total_year, Urbanization_Rate_2022, latitude, longitude, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | URB | Lat | Long | HDI | EDU | Income | Temp | Dew | Precip,37,51,20,20.5%,30.2%,11.0%,3053.4,4714.7,1099.1,44.4,59.4,28.2,-2.067,-9.221,0.095,19.2%,29.1%,10.3%
Ridge,Residential,"Ridge, alpha=1.0","hdd_total_year, cdd_total_year, Urbanization_Rate_2022, latitude, longitude, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | URB | Lat | Long | HDI | EDU | Income | Temp | Dew | Precip,24,29,19,22.6%,32.3%,16.0%,1026.5,1360.7,788.2,29.9,36.4,24.7,-0.349,-2.251,0.412,20.5%,27.9%,15.0%
RF,Non-residential,"n_estimators=30, max_depth=5, min_samples_split=10, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, cdd_total_year, Urbanization_Rate_2022, latitude, longitude, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | URB | Lat | Long | HDI | EDU | Income | Temp | Dew | Precip,21,29,17,10.4%,13.8%,8.2%,1527.4,2487.3,1296.9,31.1,39.2,28.1,0.095,-0.358,0.212,10.1%,13.8%,8.2%
RF,Residential,"n_estimators=30, max_depth=5, min_samples_split=10, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, cdd_total_year, Urbanization_Rate_2022, latitude, longitude, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | URB | Lat | Long | HDI | EDU | Income | Temp | Dew | Precip,19,25,20,15.2%,21.2%,14.5%,927.2,1222.4,1057.7,25.9,30.4,27.0,0.409,0.081,0.388,14.5%,19.8%,14.5%
XGB,Non-residential,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.8, colsample_bytree=0.8, min_child_weight=1, random_state=42, objective=reg:squarederror","hdd_total_year, cdd_total_year, Urbanization_Rate_2022, latitude, longitude, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | URB | Lat | Long | HDI | EDU | Income | Temp | Dew | Precip,21,26,20,9.9%,12.8%,10.1%,1954.4,2198.2,1301.3,33.8,38.0,28.0,0.047,-0.290,0.151,9.9%,13.0%,9.5%
XGB,Residential,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.8, colsample_bytree=0.8, min_child_weight=1, random_state=42, objective=reg:squarederror","hdd_total_year, cdd_total_year, Urbanization_Rate_2022, latitude, longitude, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023",HDD | CDD | URB | Lat | Long | HDI | EDU | Income | Temp | Dew | Precip,18,29,21,13.0%,23.2%,15.0%,1037.8,1732.2,1219.1,25.5,34.6,28.6,0.426,-0.207,0.281,12.9%,22.0%,15.0%
